input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,csp_domains_,webserver,final_url,tls_wildcard_certificate
https://o1092205.ingest.sentry.io,,404,14,o1092205.ingest.sentry.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-28T00:00:00Z,2023-08-28T23:59:59Z,"CN=ingest.sentry.io, O=Sentry, L=San Francisco, ST=California, C=US",ingest.sentry.io,Sentry,*.ingest.sentry.io,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,09f7eca5b74f3bef8c24850fb5c66b66,1e34a43142ffa0bfd23f2a2609ecb8833f8e1745c9248506817c563d2e97219c,ctls,o1092205.ingest.sentry.io,443,https://o1092205.ingest.sentry.io:443,https,text/plain,GET,34.120.195.249,/,870045881,34.120.195.249,Nginx,2,False,google,True,,nginx,,True
info.pggm.nl,Wij zijn PGGM. Een vaste waarde in zorg en welzijn | PGGM,200,321435,www.pggm.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-06-03T00:00:00Z,2023-06-21T23:59:59Z,"CN=www.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",www.pggm.nl,PGGM N.V.,pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3dd5ffba069ed4e6c9a13f07e0f901c5,c438343c29f5529a6e1888a4e85db5a1052eaec3004ef0266de6fcf137a7e0bd,ctls,www.pggm.nl,80,http://info.pggm.nl:80,http,text/html,GET,145.4.229.29,/,109156272,145.4.229.29,HSTS,2540,False,,,*.youtube-nocookie.com,cloudflare,https://www.pggm.nl/,
jaarplan.pggm.nl,,200,501,jaarplan.pggm.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-09-28T00:00:00Z,2023-10-29T23:59:59Z,"CN=jaarplan.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",jaarplan.pggm.nl,PGGM N.V.,jaarplan.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,123bbe39e49d4a10f3a7367a9e08e358,6e45b3070bb16f7870159f2323e2bd45b2c1141853b2dcb62f75df67a63ce03e,ctls,jaarplan.pggm.nl,443,https://jaarplan.pggm.nl:443,https,text/html,GET,84.22.103.134,/,-1840324437,2a02:2770:8:0:21a:4aff:feb3:538,Nginx,9,False,,,,nginx,https://jaarplan.pggm.nl/users/sign_in,
ledenvoordelen.pggm.nl,"Oeps, pagina niet gevonden | PGGM",404,275274,www.pggm.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-06-03T00:00:00Z,2023-06-21T23:59:59Z,"CN=www.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",www.pggm.nl,PGGM N.V.,pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3dd5ffba069ed4e6c9a13f07e0f901c5,c438343c29f5529a6e1888a4e85db5a1052eaec3004ef0266de6fcf137a7e0bd,ctls,www.pggm.nl,80,http://ledenvoordelen.pggm.nl:80,http,text/html,GET,145.4.229.29,/,-567759856,145.4.229.29,HSTS,1677,False,,,*.googleapis.com,cloudflare,https://www.pggm.nl/leden,
leo.pggm.nl,Sign in to your account,200,200759,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,443,https://leo.pggm.nl:443,https,text/html,GET,213.214.123.34,/,2097151698,213.214.123.34,HSTS,174,False,,,,,https://login.microsoftonline.com/9e3ee5fe-3a99-45db-ac6e-691e86febef3/saml2?SAMLRequest=jVJLj9MwEP4rke%2BJ82iyidVWKlshKi1QbQsHLsixJ60lP4LH4fHvcZNFKgdW3KzxfPM9ZtbIjR7ZbgpX%2BwzfJsCQ%2FDTaIps%2FNmTyljmOCpnlBpAFwU6790%2BszHI2eheccJrcQV5HcETwQTlLksN%2BQ7428qEt67yRrRj6h7ooV32X81ULQkjRyrbtqo6XvK0lST6Dx4jckDgowhEnOFgM3IZYyssqzeu0LM5Fy4qCVc0XkuyjG2V5mFHXEEZklGp3UTYzSniHbgjOamUhE87QDiqAeoC04l2XrmrZp1w0kDZdAW0zQA9DRW8eS5Ls%2Fhh5dBYnA%2F4E%2FrsS8On56Y4KXDZeLiazmmqDlMeUlwEUx%2BURGTAbr%2BN9L0mOL8G%2BUVYqe3k9035pQvbufD6mx4%2BnM9mub8PZnJHf%2Fp8cA4FLHvhNzZre49fLjXyIzIf90WklfiVvnTc8%2FFtYkRVzRcl0mFvZZHEEoQYFcZc7rd2PRw88wIYEPwGh24X071vc%2FgY%3D&RelayState=https%3A%2F%2Fleo.pggm.nl%2Flms%2Fauth%2Fsaml2%2Flogin.php&SigAlg=http%3A%2F%2Fwww.w3.org%2F2001%2F04%2Fxmldsig-more%23rsa-sha256&Signature=hJQFACdyTFE2bna2yQmilVMrNoKSO0j33BS4fpHkNWJ4%2BNnkVFqDVDrJMGfvb4qqjPtnqDKTmlP9a4%2FfASxF3%2FXNKIQC1eO%2Bcetw5Acz6vQALIUkqqfL5ChPMaikorqFFXTFGojmty%2FseIgyonU8hpHLJYZwBZdfd%2BqZuXW%2BjcQZLVIaMW654JUkbmAQsCamRXJrc34e4bgJhiqbPb5No%2BKv%2Bx0A%2FZEW67zKw9LHCb%2BzD3IJ6CN74flhWdZxqAWQM8Ry2mSvkNuffloeBJp068iY1Dd0C8Vq4dAXTixk9GgkqtZz2ZpLpEHeMY5yr%2Fu7E0tMofhME3oYSBQNDE5M8w%3D%3D,
medischeverklaring.pggm.nl,Wij zijn PGGM. Een vaste waarde in zorg en welzijn | PGGM,200,321435,www.pggm.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-06-03T00:00:00Z,2023-06-21T23:59:59Z,"CN=www.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",www.pggm.nl,PGGM N.V.,pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3dd5ffba069ed4e6c9a13f07e0f901c5,c438343c29f5529a6e1888a4e85db5a1052eaec3004ef0266de6fcf137a7e0bd,ctls,www.pggm.nl,80,http://medischeverklaring.pggm.nl:80,http,text/html,GET,145.4.229.29,/,-1766227532,145.4.229.29,HSTS,2540,False,,,https://connexys-3045.my.salesforce-sites.com,cloudflare,https://www.pggm.nl/,
pggm.nl,Wij zijn PGGM. Een vaste waarde in zorg en welzijn | PGGM,200,321435,www.pggm.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-06-03T00:00:00Z,2023-06-21T23:59:59Z,"CN=www.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",www.pggm.nl,PGGM N.V.,pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3dd5ffba069ed4e6c9a13f07e0f901c5,c438343c29f5529a6e1888a4e85db5a1052eaec3004ef0266de6fcf137a7e0bd,ctls,www.pggm.nl,443,https://pggm.nl:443,https,text/html,GET,104.19.191.28,/,177723031,104.19.191.28,HSTS,2540,False,cloudflare,True,*.analytics.google.com,cloudflare,https://www.pggm.nl/,
redirect.pggm.nl,Wij zijn PGGM. Een vaste waarde in zorg en welzijn | PGGM,200,321435,www.pggm.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-06-03T00:00:00Z,2023-06-21T23:59:59Z,"CN=www.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",www.pggm.nl,PGGM N.V.,pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3dd5ffba069ed4e6c9a13f07e0f901c5,c438343c29f5529a6e1888a4e85db5a1052eaec3004ef0266de6fcf137a7e0bd,ctls,www.pggm.nl,80,http://redirect.pggm.nl:80,http,text/html,GET,145.4.229.29,/,-507890877,145.4.229.29,HSTS,2540,False,,,https://connexys-3045.my.salesforce-sites.com,cloudflare,https://www.pggm.nl/,
releasedoc.a.pggm.nl,Web App - Unavailable,403,1892,releasedoc.a.pggm.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-27T00:00:00Z,2024-01-26T23:59:59Z,"CN=releasedoc.a.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",releasedoc.a.pggm.nl,PGGM N.V.,releasedoc.a.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ccbbfe574c725dd48ff15dab42f1f75a,29b106475655beef25f65edc10c419fab550686054c30ebaf28ac40d372023b2,ctls,releasedoc.a.pggm.nl,443,https://releasedoc.a.pggm.nl:443,https,text/html,GET,20.50.2.56,/,-237335256,20.50.2.56,,74,False,azure,True,,,,
releasedoc.pggm.nl,Web App - Unavailable,403,1892,releasedoc.pggm.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-01-05T08:49:42Z,2024-01-05T08:49:42Z,"CN=releasedoc.pggm.nl, OU=IFS, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",releasedoc.pggm.nl,PGGM N.V.,releasedoc.pggm.nl,"CN=PGGM Intranet Issuing1 CA, DC=pggm-intra, DC=intern, DC=pggm-intra, DC=intern",PGGM Intranet Issuing1 CA,,f5dcee824b8ecacd034f88708a6e9ce7,9c724f6e6acfc5037fdcb7246664c121382ee943c25613090bdebffaa08652ba,ctls,releasedoc.pggm.nl,443,https://releasedoc.pggm.nl:443,https,text/html,GET,20.50.2.42,/,-237335256,20.50.2.42,,74,False,azure,True,,,,
services.pggm.nl,Not Found,404,315,services.pggm.nl,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2022-07-21T00:00:00Z,2023-08-21T23:59:59Z,"CN=services.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",services.pggm.nl,PGGM N.V.,services.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5ef53f625962b0016edb9cb156ce9a87,9673e43c97a88467d96442ca021a5f560aa326cd2a4decfd1423f15f4a9b963f,ctls,services.pggm.nl,443,https://services.pggm.nl:443,https,text/html,GET,145.4.229.32,/,225052475,145.4.229.32,HSTS,7,False,,,,,,
sfe.pggm.nl,PGGM,200,4392,sfe.pggm.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-10T00:00:00Z,2024-05-21T23:59:59Z,"CN=sfe.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",sfe.pggm.nl,PGGM N.V.,sfe.pggm.nl,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,c11ced1544dbf2f29fc19dca9eed8ac0,4e2e02fffb6b4a8c419453765e2e271c3ee41f1372c5b899cc09195374634799,ctls,sfe.pggm.nl,443,https://sfe.pggm.nl:443,https,text/html,GET,3.124.99.75,/,-904044196,3.124.99.75,Python,14,False,,,wss://sfe.pggm.nl/,nginx,https://sfe.pggm.nl/account/login/?next=/account/two-factor/verify/%3Fnext%3D/portal/dashboard/,
upawse-m.t.pggm.nl,403 - Forbidden: Access is denied.,403,1233,upawse-m.t.pggm.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-07-21T00:00:00Z,2023-08-21T23:59:59Z,"CN=upawse-m.t.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",upawse-m.t.pggm.nl,PGGM N.V.,upawse-m.t.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1fe51c08e1697223ed227ef68c0f6fde,bdfbe9f79ab9ebab0e2763965d4130f4a9201e46df3b28291668ef914be8023e,ctls,upawse-m.t.pggm.nl,443,https://upawse-m.t.pggm.nl:443,https,text/html,GET,145.4.238.28,/,1631801191,145.4.238.28,HSTS,30,False,,,,,,
upawse.pggm.nl,403 - Forbidden: Access is denied.,403,1233,upawse.pggm.nl,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,,2022-07-21T00:00:00Z,2023-08-21T23:59:59Z,"CN=upawse.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",upawse.pggm.nl,PGGM N.V.,upawse.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,375505731e582c219df7a9c4dd4256d2,f67d9763e7a90be259e779f6c7b3fb34f8a0340f35fd65b9f2ca4b910ac7920b,ctls,upawse.pggm.nl,443,https://upawse.pggm.nl:443,https,text/html,GET,145.4.229.39,/,1631801191,145.4.229.39,HSTS,30,False,,,,,,
workplace.pggm.nl,VMware Horizon,200,6813,workplace.pggm.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-09-28T00:00:00Z,2023-10-29T23:59:59Z,"CN=workplace.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",workplace.pggm.nl,PGGM N.V.,workplace.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2e7a9054483f5a0094e065f1d87e9878,318055749d609a3e047bf71025d8501a01d1a10aa503d2d4a3f137d921366528,ctls,workplace.pggm.nl,443,https://workplace.pggm.nl:443,https,text/html,GET,82.201.70.219,/,1274734426,82.201.70.219,Java,107,False,,,,,,
www.pggm.nl,Wij zijn PGGM. Een vaste waarde in zorg en welzijn | PGGM,200,321435,www.pggm.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-06-03T00:00:00Z,2023-06-21T23:59:59Z,"CN=www.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",www.pggm.nl,PGGM N.V.,pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3dd5ffba069ed4e6c9a13f07e0f901c5,c438343c29f5529a6e1888a4e85db5a1052eaec3004ef0266de6fcf137a7e0bd,ctls,www.pggm.nl,443,https://www.pggm.nl:443,https,text/html,GET,104.19.191.28,/,-2055473470,104.19.191.28,HSTS,2540,False,cloudflare,True,https://connexys-3045.my.salesforce.com,cloudflare,,
