input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,lines,failed,tech_
ext-lb-pool-1.aws.staging.test-socrata.com,403 Forbidden,403,118,www.tylertech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T00:00:00Z,2023-09-07T23:59:59Z,"CN=*.tylertech.com, O=Tyler Technologies\, Inc., L=Plano, ST=Texas, C=US",*.tylertech.com,"Tyler Technologies, Inc.",tylertech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f47ee24f89985f70ec8daae1fc2238,dc024c0382b94c8da452b46e9708f463a7aeb71f8b84ac79f10407b37858091a,True,ctls,www.tylertech.com,443,https://ext-lb-pool-1.aws.staging.test-socrata.com:443,https,awselb/2.0,text/html,GET,52.42.215.110,/,-1840324437,https://www.tylertech.com/products/socrata,52.42.100.74,7,False,
fpyhnazykv.cust.staging.test-socrata.com,403 Forbidden,403,118,www.tylertech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T00:00:00Z,2023-09-07T23:59:59Z,"CN=*.tylertech.com, O=Tyler Technologies\, Inc., L=Plano, ST=Texas, C=US",*.tylertech.com,"Tyler Technologies, Inc.",tylertech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f47ee24f89985f70ec8daae1fc2238,dc024c0382b94c8da452b46e9708f463a7aeb71f8b84ac79f10407b37858091a,True,ctls,www.tylertech.com,443,https://fpyhnazykv.cust.staging.test-socrata.com:443,https,awselb/2.0,text/html,GET,52.42.100.74,/,-1840324437,https://www.tylertech.com/products/socrata,52.42.215.110,7,False,
gavzeihbny.cust.test-socrata.com,403 Forbidden,403,118,www.tylertech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T00:00:00Z,2023-09-07T23:59:59Z,"CN=*.tylertech.com, O=Tyler Technologies\, Inc., L=Plano, ST=Texas, C=US",*.tylertech.com,"Tyler Technologies, Inc.",tylertech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f47ee24f89985f70ec8daae1fc2238,dc024c0382b94c8da452b46e9708f463a7aeb71f8b84ac79f10407b37858091a,True,ctls,www.tylertech.com,443,https://gavzeihbny.cust.test-socrata.com:443,https,awselb/2.0,text/html,GET,52.42.100.74,/,-1840324437,https://www.tylertech.com/products/socrata,52.42.215.110,7,False,
geo1.online.test-socrata.com,403 Forbidden,403,118,www.tylertech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T00:00:00Z,2023-09-07T23:59:59Z,"CN=*.tylertech.com, O=Tyler Technologies\, Inc., L=Plano, ST=Texas, C=US",*.tylertech.com,"Tyler Technologies, Inc.",tylertech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f47ee24f89985f70ec8daae1fc2238,dc024c0382b94c8da452b46e9708f463a7aeb71f8b84ac79f10407b37858091a,True,ctls,www.tylertech.com,443,https://geo1.online.test-socrata.com:443,https,awselb/2.0,text/html,GET,52.42.215.110,/,-1840324437,https://www.tylertech.com/products/socrata,52.42.100.74,7,False,
googleproxy-66-249-93-93.test-socrata.com,403 Forbidden,403,118,www.tylertech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T00:00:00Z,2023-09-07T23:59:59Z,"CN=*.tylertech.com, O=Tyler Technologies\, Inc., L=Plano, ST=Texas, C=US",*.tylertech.com,"Tyler Technologies, Inc.",tylertech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f47ee24f89985f70ec8daae1fc2238,dc024c0382b94c8da452b46e9708f463a7aeb71f8b84ac79f10407b37858091a,True,ctls,www.tylertech.com,443,https://googleproxy-66-249-93-93.test-socrata.com:443,https,awselb/2.0,text/html,GET,52.42.100.74,/,-1840324437,https://www.tylertech.com/products/socrata,52.42.215.110,7,False,
h-9nlq2nh-development-vq2wyu.test-socrata.com,403 Forbidden,403,118,www.tylertech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T00:00:00Z,2023-09-07T23:59:59Z,"CN=*.tylertech.com, O=Tyler Technologies\, Inc., L=Plano, ST=Texas, C=US",*.tylertech.com,"Tyler Technologies, Inc.",tylertech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f47ee24f89985f70ec8daae1fc2238,dc024c0382b94c8da452b46e9708f463a7aeb71f8b84ac79f10407b37858091a,True,ctls,www.tylertech.com,443,https://h-9nlq2nh-development-vq2wyu.test-socrata.com:443,https,awselb/2.0,text/html,GET,52.42.100.74,/,-1840324437,https://www.tylertech.com/products/socrata,52.42.215.110,7,False,
httpsopendata.test-socrata.com,403 Forbidden,403,118,www.tylertech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T00:00:00Z,2023-09-07T23:59:59Z,"CN=*.tylertech.com, O=Tyler Technologies\, Inc., L=Plano, ST=Texas, C=US",*.tylertech.com,"Tyler Technologies, Inc.",tylertech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f47ee24f89985f70ec8daae1fc2238,dc024c0382b94c8da452b46e9708f463a7aeb71f8b84ac79f10407b37858091a,True,ctls,www.tylertech.com,443,https://httpsopendata.test-socrata.com:443,https,awselb/2.0,text/html,GET,52.42.215.110,/,-1840324437,https://www.tylertech.com/products/socrata,52.42.100.74,7,False,
ikkome.test-socrata.com,403 Forbidden,403,118,www.tylertech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T00:00:00Z,2023-09-07T23:59:59Z,"CN=*.tylertech.com, O=Tyler Technologies\, Inc., L=Plano, ST=Texas, C=US",*.tylertech.com,"Tyler Technologies, Inc.",tylertech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f47ee24f89985f70ec8daae1fc2238,dc024c0382b94c8da452b46e9708f463a7aeb71f8b84ac79f10407b37858091a,True,ctls,www.tylertech.com,443,https://ikkome.test-socrata.com:443,https,awselb/2.0,text/html,GET,52.42.215.110,/,-1840324437,https://www.tylertech.com/products/socrata,52.42.100.74,7,False,
jzscqjzeop.john.test-socrata.com,403 Forbidden,403,118,www.tylertech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T00:00:00Z,2023-09-07T23:59:59Z,"CN=*.tylertech.com, O=Tyler Technologies\, Inc., L=Plano, ST=Texas, C=US",*.tylertech.com,"Tyler Technologies, Inc.",tylertech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f47ee24f89985f70ec8daae1fc2238,dc024c0382b94c8da452b46e9708f463a7aeb71f8b84ac79f10407b37858091a,True,ctls,www.tylertech.com,443,https://jzscqjzeop.john.test-socrata.com:443,https,awselb/2.0,text/html,GET,52.42.215.110,/,-1840324437,https://www.tylertech.com/products/socrata,52.42.100.74,7,False,
marcs-stack.aws-us-west-2-staging.test-socrata.com,403 Forbidden,403,118,www.tylertech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T00:00:00Z,2023-09-07T23:59:59Z,"CN=*.tylertech.com, O=Tyler Technologies\, Inc., L=Plano, ST=Texas, C=US",*.tylertech.com,"Tyler Technologies, Inc.",tylertech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f47ee24f89985f70ec8daae1fc2238,dc024c0382b94c8da452b46e9708f463a7aeb71f8b84ac79f10407b37858091a,True,ctls,www.tylertech.com,443,https://marcs-stack.aws-us-west-2-staging.test-socrata.com:443,https,awselb/2.0,text/html,GET,52.42.100.74,/,-1840324437,https://www.tylertech.com/products/socrata,52.42.215.110,7,False,
markw-cert.test-socrata.com,403 Forbidden,403,118,www.tylertech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T00:00:00Z,2023-09-07T23:59:59Z,"CN=*.tylertech.com, O=Tyler Technologies\, Inc., L=Plano, ST=Texas, C=US",*.tylertech.com,"Tyler Technologies, Inc.",tylertech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f47ee24f89985f70ec8daae1fc2238,dc024c0382b94c8da452b46e9708f463a7aeb71f8b84ac79f10407b37858091a,True,ctls,www.tylertech.com,443,https://markw-cert.test-socrata.com:443,https,awselb/2.0,text/html,GET,52.42.100.74,/,-1840324437,https://www.tylertech.com/products/socrata,52.42.215.110,7,False,
markw-nasa.test-socrata.com,403 Forbidden,403,118,www.tylertech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T00:00:00Z,2023-09-07T23:59:59Z,"CN=*.tylertech.com, O=Tyler Technologies\, Inc., L=Plano, ST=Texas, C=US",*.tylertech.com,"Tyler Technologies, Inc.",tylertech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f47ee24f89985f70ec8daae1fc2238,dc024c0382b94c8da452b46e9708f463a7aeb71f8b84ac79f10407b37858091a,True,ctls,www.tylertech.com,443,https://markw-nasa.test-socrata.com:443,https,awselb/2.0,text/html,GET,52.42.100.74,/,-1840324437,https://www.tylertech.com/products/socrata,52.42.215.110,7,False,
markw.test-socrata.com,403 Forbidden,403,118,www.tylertech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T00:00:00Z,2023-09-07T23:59:59Z,"CN=*.tylertech.com, O=Tyler Technologies\, Inc., L=Plano, ST=Texas, C=US",*.tylertech.com,"Tyler Technologies, Inc.",tylertech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f47ee24f89985f70ec8daae1fc2238,dc024c0382b94c8da452b46e9708f463a7aeb71f8b84ac79f10407b37858091a,True,ctls,www.tylertech.com,443,https://markw.test-socrata.com:443,https,awselb/2.0,text/html,GET,52.42.215.110,/,-1840324437,https://www.tylertech.com/products/socrata,52.42.100.74,7,False,
mchui.test-socrata.com,Tyler Data & Insights,200,436404,mchui.test-socrata.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-27T15:46:06Z,2024-05-28T15:46:05Z,CN=*.test-socrata.com,*.test-socrata.com,,test-socrata.com,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,2056515042e159dd347d928776a7f6fc,e29161e2ac6dd0fda848b92bb134118f701c553944cc2b920a642cc8265da8a4,True,ctls,mchui.test-socrata.com,443,https://mchui.test-socrata.com:443,https,nginx,text/html,GET,52.42.215.110,/,-1840324437,https://mchui.test-socrata.com/login,52.42.100.74,294,False,Ruby on Rails
newcitydata.john.test-socrata.com,403 Forbidden,403,118,www.tylertech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T00:00:00Z,2023-09-07T23:59:59Z,"CN=*.tylertech.com, O=Tyler Technologies\, Inc., L=Plano, ST=Texas, C=US",*.tylertech.com,"Tyler Technologies, Inc.",tylertech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f47ee24f89985f70ec8daae1fc2238,dc024c0382b94c8da452b46e9708f463a7aeb71f8b84ac79f10407b37858091a,True,ctls,www.tylertech.com,443,https://newcitydata.john.test-socrata.com:443,https,awselb/2.0,text/html,GET,52.42.100.74,/,-1840324437,https://www.tylertech.com/products/socrata,52.42.215.110,7,False,
opendata-demo.test-socrata.com,Open Baltimore | City of Baltimore's Open Data Catalog,200,669702,opendata-demo.test-socrata.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-27T15:46:06Z,2024-05-28T15:46:05Z,CN=*.test-socrata.com,*.test-socrata.com,,test-socrata.com,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,2056515042e159dd347d928776a7f6fc,e29161e2ac6dd0fda848b92bb134118f701c553944cc2b920a642cc8265da8a4,True,ctls,opendata-demo.test-socrata.com,443,https://opendata-demo.test-socrata.com:443,https,nginx,text/html,GET,52.42.100.74,/,-1840324437,,52.42.215.110,2737,False,Ruby on Rails
opendata.demo.test-socrata.com,403 Forbidden,403,118,www.tylertech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T00:00:00Z,2023-09-07T23:59:59Z,"CN=*.tylertech.com, O=Tyler Technologies\, Inc., L=Plano, ST=Texas, C=US",*.tylertech.com,"Tyler Technologies, Inc.",tylertech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f47ee24f89985f70ec8daae1fc2238,dc024c0382b94c8da452b46e9708f463a7aeb71f8b84ac79f10407b37858091a,True,ctls,www.tylertech.com,443,https://opendata.demo.test-socrata.com:443,https,awselb/2.0,text/html,GET,52.42.100.74,/,-1840324437,https://www.tylertech.com/products/socrata,52.42.215.110,7,False,
opendata.test-socrata.com,Socrata,200,1037102,opendata.test-socrata.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-06-02T23:59:59Z,CN=*.test-socrata.com,*.test-socrata.com,,*.test-socrata.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d4fe6b4569aff1d21caf9bdbf186c4c6,263a370cfb5da253892b5cc6eb8247bcb534382fd0d48aef99a6f4be44026c49,True,ctls,opendata.test-socrata.com,443,https://opendata.test-socrata.com:443,https,nginx,text/html,GET,35.80.195.36,/,-1840324437,,52.10.234.89,6525,False,Ruby on Rails
ruby-nsdnet-jb.test-socrata.com,403 Forbidden,403,118,www.tylertech.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-15T00:00:00Z,2023-09-07T23:59:59Z,"CN=*.tylertech.com, O=Tyler Technologies\, Inc., L=Plano, ST=Texas, C=US",*.tylertech.com,"Tyler Technologies, Inc.",tylertech.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,48f47ee24f89985f70ec8daae1fc2238,dc024c0382b94c8da452b46e9708f463a7aeb71f8b84ac79f10407b37858091a,True,ctls,www.tylertech.com,443,https://ruby-nsdnet-jb.test-socrata.com:443,https,awselb/2.0,text/html,GET,52.42.100.74,/,-1840324437,https://www.tylertech.com/products/socrata,52.42.215.110,7,False,
sandtana.test-socrata.com,Tyler Data & Insights,200,436336,sandtana.test-socrata.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-27T15:46:06Z,2024-05-28T15:46:05Z,CN=*.test-socrata.com,*.test-socrata.com,,test-socrata.com,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,2056515042e159dd347d928776a7f6fc,e29161e2ac6dd0fda848b92bb134118f701c553944cc2b920a642cc8265da8a4,True,ctls,sandtana.test-socrata.com,443,https://sandtana.test-socrata.com:443,https,nginx,text/html,GET,52.42.215.110,/,-1840324437,https://sandtana.test-socrata.com/login,52.42.100.74,294,False,Ruby on Rails
sarab-scgc.test-socrata.com,Tyler Data & Insights,200,437605,sarab-scgc.test-socrata.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-27T15:46:06Z,2024-05-28T15:46:05Z,CN=*.test-socrata.com,*.test-socrata.com,,test-socrata.com,"CN=AlphaSSL CA - SHA256 - G4, O=GlobalSign nv-sa, C=BE",AlphaSSL CA - SHA256 - G4,GlobalSign nv-sa,2056515042e159dd347d928776a7f6fc,e29161e2ac6dd0fda848b92bb134118f701c553944cc2b920a642cc8265da8a4,True,ctls,sarab-scgc.test-socrata.com,443,https://sarab-scgc.test-socrata.com:443,https,nginx,text/html,GET,52.42.100.74,/,-1840324437,https://sarab-scgc.test-socrata.com/login,52.42.215.110,305,False,Ruby on Rails
