new,host,ttl,a,aaaa,soa,status_code,mx,ns,txt,cname,caa
[x],docs.polygon.lido.fi,236,"185.199.110.153, 185.199.111.153, 185.199.108.153, 185.199.109.153","2606:50c0:8003::153, 2606:50c0:8000::153, 2606:50c0:8002::153, 2606:50c0:8001::153","{'name': 'github.io', 'ns': 'ns-1622.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'github.io', 'ns': 'dns1.p05.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1647625169, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'github.io', 'ns': 'dns1.p05.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1647625169, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'github.io', 'ns': 'ns-1622.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,lidofinance.github.io,"digicert.com, letsencrypt.org, sectigo.com"
[x],docs.solana.lido.fi,120,"185.199.108.153, 185.199.111.153, 185.199.109.153, 185.199.110.153","2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8000::153, 2606:50c0:8001::153","{'name': 'github.io', 'ns': 'dns1.p05.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1647625169, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'github.io', 'ns': 'dns1.p05.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1647625169, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'github.io', 'ns': 'dns1.p05.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1647625169, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}",NOERROR,,"dns1.p05.nsone.net, dns2.p05.nsone.net, dns3.p05.nsone.net, dns4.p05.nsone.net, ns-1339.awsdns-39.org, ns-1622.awsdns-10.co.uk, ns-393.awsdns-49.com, ns-692.awsdns-22.net",,lidofinance.github.io,"digicert.com, letsencrypt.org, sectigo.com"
[x],docs.terra.lido.fi,300,"185.199.109.153, 185.199.110.153, 185.199.108.153, 185.199.111.153","2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8000::153","{'name': 'github.io', 'ns': 'dns1.p05.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1647625169, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'github.io', 'ns': 'dns1.p05.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1647625169, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'github.io', 'ns': 'ns-1622.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'github.io', 'ns': 'dns1.p05.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1647625169, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}",NOERROR,,,,lidofinance.github.io,
[x],easytrack.lido.fi,300,"104.18.24.198, 104.18.25.198",,"{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],eth-api.lido.fi,170,,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5","{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],feeds.lido.fi,300,,"2606:4700::6812:19c6, 2606:4700::6812:18c6","{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],fees-monitoring.lido.fi,300,"104.18.25.198, 104.18.24.198","2606:4700::6812:18c6, 2606:4700::6812:19c6","{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],governance-herald.lido.fi,300,"76.76.21.61, 76.76.21.98",,"{'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}",NOERROR,,,,"cname.super.so, cname.vercel-dns.com","sectigo.com, letsencrypt.org, globalsign.com"
[x],grafana-new.lido.fi,300,,"2606:4700::6812:18c6, 2606:4700::6812:19c6","{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],grafana-polygon.lido.fi,300,"104.18.24.198, 104.18.25.198","2606:4700::6812:18c6, 2606:4700::6812:19c6","{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],grafana-solana.lido.fi,300,"104.18.25.198, 104.18.24.198","2606:4700::6812:19c6, 2606:4700::6812:18c6","{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],grafana.lido.fi,300,"104.18.25.198, 104.18.24.198","2606:4700::6812:19c6, 2606:4700::6812:18c6","{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],help.lido.fi,300,"104.18.25.198, 104.18.24.198","2606:4700::6812:18c6, 2606:4700::6812:19c6","{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],ipfs.lido.fi,300,,"2606:4700::6812:18c6, 2606:4700::6812:19c6","{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],kusama.lido.fi,1800,,,"{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],lego.lido.fi,187,"104.18.25.198, 104.18.24.198","2606:4700::6812:19c6, 2606:4700::6812:18c6","{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343855174, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
