new,host,ttl,a,aaaa,soa,ns,status_code,cname,cdn,cdn-name,caa,mx,txt
,api.staging.joinclubhouse.com,300,"104.18.2.241, 104.18.3.241","2606:4700::6812:3f1, 2606:4700::6812:2f1","{'name': 'staging.joinclubhouse.com', 'ns': 'melina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345319847, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'staging.joinclubhouse.com', 'ns': 'melina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345319847, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'staging.joinclubhouse.com', 'ns': 'melina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345319847, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'staging.joinclubhouse.com', 'ns': 'melina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345319847, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,,,,,
,blog.clubhouse.com,300,151.101.47.7,2a04:4e42:8e::775,"{'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}",,NOERROR,"joinclubhouse.ghost.io, ghost.map.fastly.net",True,fastly,"sectigo.com, digicert.com, letsencrypt.org",,
,community.clubhouse.com,300,"76.76.21.61, 76.76.21.22",,"{'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}",,NOERROR,"cname.super.so, cname.vercel-dns.com",,,"letsencrypt.org, globalsign.com, sectigo.com",,
,community.joinclubhouse.com,211,,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5","{'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,,,,,
,cookies.clubhouse.com,229,,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5","{'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345411033, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345411033, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345411033, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345411033, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,,,,,
,creatorfirst.clubhouse.com,300,"104.18.21.69, 104.18.20.69","2606:4700::6812:1445, 2606:4700::6812:1545","{'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345411033, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345411033, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345411033, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,,,,,
,creatorfirst.joinclubhouse.com,300,"104.18.31.107, 104.18.30.107","2606:4700::6812:1e6b, 2606:4700::6812:1f6b","{'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,,,,,
,ec2.clubhouseapi.com,276,"104.18.104.232, 104.18.105.232",,"{'name': 'clubhouseapi.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345120255, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouseapi.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345120255, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouseapi.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345120255, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouseapi.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345120255, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouseapi.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345120255, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,,,,,
,go.clubhouse.com,239,,,"{'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345411033, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345411033, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345411033, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345411033, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,,,,,
,images.clubhouseapi.com,300,"104.18.104.232, 104.18.105.232","2606:4700::6812:69e8, 2606:4700::6812:68e8","{'name': 'clubhouseapi.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345120255, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouseapi.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345120255, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,,,,,
,images.staging.clubhouseapi.com,300,"104.18.26.82, 104.18.27.82","2606:4700::6812:1a52, 2606:4700::6812:1b52","{'name': 'staging.clubhouseapi.com', 'ns': 'melina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344595087, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'staging.clubhouseapi.com', 'ns': 'melina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344595087, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'staging.clubhouseapi.com', 'ns': 'melina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344595087, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'staging.clubhouseapi.com', 'ns': 'melina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2344595087, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,,,,,
,ios-staging.clubhouse.com,300,,"2606:4700::6812:1545, 2606:4700::6812:1445","{'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345411033, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345411033, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345411033, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'clubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2345411033, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,,,,,
,ios-staging.joinclubhouse.com,300,"104.18.30.107, 104.18.31.107","2606:4700::6812:1f6b, 2606:4700::6812:1e6b","{'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,,,,,
,ios.joinclubhouse.com,300,"104.18.31.107, 104.18.30.107","2606:4700::6812:1f6b, 2606:4700::6812:1e6b","{'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,,,,,
,newsletter.clubhouse.com,300,"76.76.21.93, 76.76.21.22",,"{'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560354, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 14400}",,NOERROR,"cname.super.so, cname.vercel-dns.com",,,,,
,o1.ptr382.joinclubhouse.com,120,149.72.152.124,,"{'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,,,,,
,o2.ptr102.joinclubhouse.com,120,168.245.14.236,,"{'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'joinclubhouse.com', 'ns': 'adrian.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2339398505, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,NOERROR,,,,,,
