new,host,a,cname,soa,status_code,mx,ns,txt,aaaa,cdn,cdn-name,caa
[x],155-9-72-34.dev.buffer.com,"52.54.124.215, 54.145.245.164, 52.86.92.6, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],1596529085319.picsart.studio,185.53.177.12,,,NOERROR,mail.h-email.net,"ns1.parkingcrew.net, ns2.parkingcrew.net",,,,,
[x],16-04-3.dev.buffer.com,"52.54.124.215, 54.145.245.164, 52.86.92.6, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-112-46.dev.buffer.com,"52.204.84.145, 52.54.124.215, 52.86.92.6, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-116-38.dev.buffer.com,"52.54.124.215, 54.145.245.164, 52.204.84.145, 52.86.92.6",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-116-52.dev.buffer.com,"54.145.245.164, 52.86.92.6, 52.204.84.145, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-119-67.dev.buffer.com,"54.145.245.164, 52.86.92.6, 52.204.84.145, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-119-99.dev.buffer.com,"54.145.245.164, 52.86.92.6, 52.54.124.215, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-121-76.picsart.studio,185.53.177.12,,,NOERROR,mail.h-email.net,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 ip6:fd1b:212c:a5f9::/48 -all,,,,
[x],17-121-122-49.dev.buffer.com,"54.145.245.164, 52.86.92.6, 52.54.124.215, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-122-66.dev.buffer.com,"52.54.124.215, 52.204.84.145, 52.86.92.6, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-122-90.dev.buffer.com,"52.86.92.6, 52.204.84.145, 54.145.245.164, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-123-37.dev.buffer.com,"52.54.124.215, 52.86.92.6, 52.204.84.145, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-123-6.dev.buffer.com,"52.54.124.215, 54.145.245.164, 52.86.92.6, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],17-121-125-86.picsart.studio,185.53.177.12,,,NOERROR,mail.h-email.net,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 ip6:fd1b:212c:a5f9::/48 -all,,,,
[x],17-58-102-1.dev.buffer.com,"52.54.124.215, 52.86.92.6, 54.145.245.164, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],176cffe3-c64b-4.dev.buffer.com,"54.145.245.164, 52.86.92.6, 52.54.124.215, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],18-6-7.dev.buffer.com,"52.204.84.145, 52.54.124.215, 54.145.245.164, 52.86.92.6",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],1fwww-06.dev.buffer.com,"54.145.245.164, 52.54.124.215, 52.86.92.6, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],1irknwwveg.dev.buffer.com,"54.145.245.164, 52.54.124.215, 52.86.92.6, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],1picsartcom.picsart.studio,"104.247.81.12, 13.248.158.159, 76.223.21.9",,,NOERROR,mail.h-email.net,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 ip6:fd1b:212c:a5f9::/48 -all,,,,
[x],2-5-6.dev.buffer.com,"52.204.84.145, 52.86.92.6, 52.54.124.215, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],20pass.dev.buffer.com,"52.54.124.215, 54.145.245.164, 52.86.92.6, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],263-6-1.dev.buffer.com,"52.204.84.145, 54.145.245.164, 52.86.92.6, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],2bfb.dev.buffer.com,"54.145.245.164, 52.54.124.215, 52.86.92.6, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],33-14-3.dev.buffer.com,"52.86.92.6, 54.145.245.164, 52.204.84.145, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],39-09.dev.buffer.com,"52.54.124.215, 52.86.92.6, 52.204.84.145, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3newhm.dev.buffer.com,"52.54.124.215, 52.86.92.6, 52.204.84.145, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],3s2f.dev.buffer.com,"52.54.124.215, 52.86.92.6, 52.204.84.145, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,,,
[x],4-45-7.dev.buffer.com,"52.204.84.145, 52.54.124.215, 52.86.92.6, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],42a6.dev.buffer.com,"52.204.84.145, 52.86.92.6, 54.145.245.164, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],45-6-99.dev.buffer.com,"52.54.124.215, 54.145.245.164, 52.204.84.145, 52.86.92.6",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],45-75-8.dev.buffer.com,"52.86.92.6, 52.204.84.145, 54.145.245.164, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],45-81-2.dev.buffer.com,"54.145.245.164, 52.204.84.145, 52.54.124.215, 52.86.92.6",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],452awebmail8.dev.buffer.com,"52.86.92.6, 52.54.124.215, 52.204.84.145, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],463d.dev.buffer.com,"52.54.124.215, 52.86.92.6, 54.145.245.164, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],46f7.dev.buffer.com,"52.204.84.145, 52.54.124.215, 52.86.92.6, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],474f.dev.buffer.com,"52.86.92.6, 52.204.84.145, 54.145.245.164, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],48-1-0-5.dev.buffer.com,"54.145.245.164, 52.54.124.215, 52.86.92.6, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4d85.dev.buffer.com,"52.54.124.215, 52.86.92.6, 52.204.84.145, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4ea6.dev.buffer.com,"52.86.92.6, 52.204.84.145, 54.145.245.164, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],4f5c.dev.buffer.com,"52.54.124.215, 52.86.92.6, 52.204.84.145, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],5-3-63.dev.buffer.com,"54.145.245.164, 52.54.124.215, 52.86.92.6, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],5-71-4-4.dev.buffer.com,"52.86.92.6, 52.204.84.145, 52.54.124.215, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],517-9-0.dev.buffer.com,"52.204.84.145, 54.145.245.164, 52.86.92.6, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],52-2-5.dev.buffer.com,"52.54.124.215, 52.204.84.145, 54.145.245.164, 52.86.92.6",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],54-0-7-0.dev.buffer.com,"52.54.124.215, 52.86.92.6, 54.145.245.164, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],55-4-6.dev.buffer.com,,a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],55-4-61.dev.buffer.com,"52.54.124.215, 54.145.245.164, 52.86.92.6, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],551-7.dev.buffer.com,"52.54.124.215, 52.204.84.145, 52.86.92.6, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],56-1-1.dev.buffer.com,"54.145.245.164, 52.86.92.6, 52.204.84.145, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,,,
[x],6-93-8.dev.buffer.com,"52.86.92.6, 52.204.84.145, 54.145.245.164, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],62-56.dev.buffer.com,"52.204.84.145, 54.145.245.164, 52.86.92.6, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],63-5-8-6.dev.buffer.com,"52.204.84.145, 54.145.245.164, 52.54.124.215, 52.86.92.6",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],64-37-2.dev.buffer.com,"52.54.124.215, 52.204.84.145, 54.145.245.164, 52.86.92.6",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],64-67.dev.buffer.com,"52.54.124.215, 52.204.84.145, 54.145.245.164, 52.86.92.6",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],640ae97b.dev.buffer.com,"52.54.124.215, 52.204.84.145, 52.86.92.6, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],65-2-6-0.dev.buffer.com,"54.145.245.164, 52.54.124.215, 52.86.92.6, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],66-9-4.dev.buffer.com,"54.145.245.164, 52.54.124.215, 52.86.92.6, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],69-171-244-75.dev.buffer.com,"54.145.245.164, 52.204.84.145, 52.86.92.6, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],69-171-244-94.dev.buffer.com,"52.86.92.6, 54.145.245.164, 52.54.124.215, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],6c71-4dfa.dev.buffer.com,"52.86.92.6, 54.145.245.164, 52.54.124.215, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],6ual.dev.buffer.com,"52.86.92.6, 52.204.84.145, 54.145.245.164, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],7-9-8-4-4.dev.buffer.com,"52.204.84.145, 54.145.245.164, 52.54.124.215, 52.86.92.6",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],742-91.dev.buffer.com,"54.145.245.164, 52.86.92.6, 52.54.124.215, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],780-7.dev.buffer.com,"54.145.245.164, 52.204.84.145, 52.54.124.215, 52.86.92.6",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],79-13.dev.buffer.com,"52.54.124.215, 52.204.84.145, 54.145.245.164, 52.86.92.6",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],790-7.dev.buffer.com,,a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],7fmzj02.dev.buffer.com,,a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],7wj93.dev.buffer.com,"52.54.124.215, 52.204.84.145, 54.145.245.164, 52.86.92.6",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],7wkc7.dev.buffer.com,"52.54.124.215, 52.204.84.145, 52.86.92.6, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],7zzzj02.dev.buffer.com,"52.86.92.6, 54.145.245.164, 52.54.124.215, 52.204.84.145",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],822-3.dev.buffer.com,"52.86.92.6, 52.54.124.215, 52.204.84.145, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],857-4-52.dev.buffer.com,,a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],8fgraph-1.picsart.studio,"104.247.81.12, 13.248.158.159, 76.223.21.9",,,NOERROR,mail.h-email.net,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 ip6:fd1b:212c:a5f9::/48 -all,,,,
[x],95-0-5.dev.buffer.com,"52.86.92.6, 54.145.245.164, 52.204.84.145, 52.54.124.215",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],95-2.dev.buffer.com,,a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],987-9.dev.buffer.com,"52.54.124.215, 52.86.92.6, 52.204.84.145, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],999df1ce.dev.buffer.com,"52.204.84.145, 54.145.245.164, 52.54.124.215, 52.86.92.6",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],9bb5.dev.buffer.com,,a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],a-96-118-40-76.dev.buffer.com,,a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],a-96-119-16-10.picsart.studio,,,,NOERROR,mail.h-email.net,"ns1.parkingcrew.net, ns2.parkingcrew.net",,,,,
[x],a-96-119-228-57.dev.buffer.com,"52.204.84.145, 52.54.124.215, 52.86.92.6, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],a-96-119-32-55.picsart.studio,185.53.177.12,,,NOERROR,mail.h-email.net,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 ip6:fd1b:212c:a5f9::/48 -all,,,,
[x],a1a-vlan20.dev.buffer.com,"52.54.124.215, 52.204.84.145, 54.145.245.164, 52.86.92.6",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],a3e-1-1-2.dev.buffer.com,"52.54.124.215, 52.86.92.6, 52.204.84.145, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],aarbamrcee02.dev.buffer.com,"52.54.124.215, 52.86.92.6, 52.204.84.145, 54.145.245.164",a2aa9117d068f4b00a7e0afd391bc55f-553729439.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
