input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,tls_expired,tls_mismatched,final_url,cdn_name,cdn,tls_emails_,tls_wildcard_certificate,location
api.ideal.ing.nl,403 Forbidden,403,154,api.ideal.ing.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-30T10:59:44Z,2023-08-30T10:59:43Z,"CN=api.ideal.ing.nl, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.ideal.ing.nl,ING Groep N.V.,www.api.ideal.ing.nl,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",f77cd63e804350c22cd25051a56c0769,2227be23ba0e2ec864b62fe7d267f50f4442a47daa8fbfe2f656a954ac247a33,ctls,api.ideal.ing.nl,443,https://api.ideal.ing.nl:443,https,,text/html,GET,145.221.214.227,/,1680097694,145.221.182.227,HSTS,8,False,https:,,,,,,,,
api.ing.com,403 Forbidden,403,154,api.ing.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-19T12:14:45Z,2023-08-06T12:14:45Z,"CN=api.ing.com, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.ing.com,ING Groep N.V.,www.api.ing.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",d4b4c8a875633017efc5fe69fd3862a1,ea4501a07e7a2a62b68231c69d2d017b7eda08c6944fe880965845de39d9c6d3,ctls,api.ing.com,443,https://api.ing.com:443,https,,text/html,GET,145.221.213.229,/,1680097694,145.221.181.229,HSTS,8,False,https:,,,,,,,,
api.inlogcodes.mijn.ing.nl,403 Forbidden,403,154,api.inlogcodes.mijn.ing.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-20T12:20:27Z,2023-07-14T12:20:27Z,"CN=api.inlogcodes.mijn.ing.nl, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.inlogcodes.mijn.ing.nl,ING Groep N.V.,www.api.inlogcodes.mijn.ing.nl,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",003ab52f52b3e593e01e6787e2942959,3edba8d843732495a3376d1e4cfe5cf6dd59aaa712e02dbfe8b9f6845985bc05,ctls,api.inlogcodes.mijn.ing.nl,443,https://api.inlogcodes.mijn.ing.nl:443,https,,text/html,GET,145.221.181.226,/,1680097694,145.221.213.226,HSTS,8,False,https:,,,,,,,,
api.intermediairs.ing.nl,403 Forbidden,403,154,api.intermediairs.ing.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-18T08:37:30Z,2023-11-09T08:37:30Z,"CN=api.intermediairs.ing.nl, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.intermediairs.ing.nl,ING Groep N.V.,www.api.intermediairs.ing.nl,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",06376feb5f2a610de5d422883fcc92c0,3a34e7eb4c0c869059a20ec05e0897fbcaaf9fbf831da8546e0ee52c743e733a,ctls,api.intermediairs.ing.nl,443,https://api.intermediairs.ing.nl:443,https,,text/html,GET,145.221.181.190,/,1680097694,145.221.213.190,HSTS,8,False,https:,,,,,,,,
api.intermediairzakelijk.ing.nl,403 Forbidden,403,154,api.intermediairzakelijk.ing.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-24T09:09:07Z,2023-11-26T09:09:07Z,"CN=api.intermediairzakelijk.ing.nl, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.intermediairzakelijk.ing.nl,ING Groep N.V.,dcr.api.intermediairzakelijk.ing.nl,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",ea7e29912baea07c5364349b048af683,7841edcf5294575d8fef35ebc451bb3eedd32ed166d681902ea3ec92c697a438,ctls,api.intermediairzakelijk.ing.nl,443,https://api.intermediairzakelijk.ing.nl:443,https,,text/html,GET,145.221.213.195,/,1680097694,145.221.181.195,HSTS,8,False,https:,,,,,,,,
api.mc.ing.nl,403 Forbidden,403,154,api.mc.ing.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-26T13:07:09Z,2023-07-31T13:07:09Z,"CN=api.mc.ing.nl, serialNumber=33031431, businessCategory=Private Organization, O=ING BANK N.V., jurisdictionCountry=NL, L=Amsterdam, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.mc.ing.nl,ING BANK N.V.,api.www.ing.nl,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",6e85f18e82c6a638c32fe970a2958c61,05b4b48f80bca4738f361261909481ba87a753250a9b62b7bc787c234b1461a5,ctls,api.mc.ing.nl,443,https://api.mc.ing.nl:443,https,,text/html,GET,145.221.180.243,/,1680097694,145.221.212.243,HSTS,8,False,https:,,,,,,,,
api.mijn.demo.ing.nl,403 Forbidden,403,154,api.mijn.demo.ing.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-23T11:17:40Z,2023-09-03T11:17:40Z,"CN=api.mijn.demo.ing.nl, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.mijn.demo.ing.nl,ING Groep N.V.,www.api.mijn.demo.ing.nl,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",9dd3ffce3a44270e9bc073c9a8124463,d35e56e2271113ec8c111db3482706166c76aa134fb6c801598b3f3e925dd841,ctls,api.mijn.demo.ing.nl,443,https://api.mijn.demo.ing.nl:443,https,,text/html,GET,145.221.37.190,/,1680097694,145.221.41.190,HSTS,8,False,https:,,,,,,,,
api.mijnzakelijk.ing.nl,403 Forbidden,403,154,api.mijnzakelijk.ing.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-12T12:38:27Z,2023-07-22T12:38:27Z,"CN=api.mijnzakelijk.ing.nl, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.mijnzakelijk.ing.nl,ING Groep N.V.,www.api.mijnzakelijk.ing.nl,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",940916feabc0b1a27b560f643cb69fda,0bc7a912e69399c290f1bcf7308b8ae8a86abe6b45e7a9d92fd30155904f2223,ctls,api.mijnzakelijk.ing.nl,443,https://api.mijnzakelijk.ing.nl:443,https,,text/html,GET,145.221.213.228,/,1680097694,145.221.181.228,HSTS,8,False,https:,,,,,,,,
api.mobile.ing.com,403 Forbidden,403,154,api.mobile.ing.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-31T13:31:03Z,2023-08-31T13:31:03Z,"CN=api.mobile.ing.com, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.mobile.ing.com,ING Groep N.V.,www.api.mobile.ing.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",e8664304f91dc3652eb116f8cea6fefd,9c1f2cb313fc907d6e856bfacd01556bc7c7009a134375bab1c36722f1404833,ctls,api.mobile.ing.com,443,https://api.mobile.ing.com:443,https,,text/html,GET,145.221.37.236,/,1680097694,145.221.41.236,HSTS,8,False,https:,,,,,,,,
api.mobile.ing.nl,403 Forbidden,403,154,api.mobile.ing.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-12T12:41:37Z,2023-07-24T12:41:37Z,"CN=api.mobile.ing.nl, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.mobile.ing.nl,ING Groep N.V.,www.api.mobile.ing.nl,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",548a48cc19b28aa7bdf1b947d4bfb7e4,2bddfc644d4888f026374234bac795c2fa173b61ef3b77931ebcebfa7feddd55,ctls,api.mobile.ing.nl,443,https://api.mobile.ing.nl:443,https,,text/html,GET,145.221.37.237,/,1680097694,145.221.41.237,HSTS,8,False,https:,,,,,,,,
api.mobile.investments.ing.nl,403 Forbidden,403,154,api.mobile.investments.ing.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-04T07:19:49Z,2023-12-04T07:19:49Z,"CN=api.mobile.investments.ing.nl, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.mobile.investments.ing.nl,ING Groep N.V.,dcr.api.mobile.investments.ing.nl,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",eece54dc26903dd59249cb95815b3617,234d20edaa00b4c842b8f8682e0b28951d289b6e5a4f0bbd1dfb0aa4d2930944,ctls,api.mobile.investments.ing.nl,443,https://api.mobile.investments.ing.nl:443,https,,text/html,GET,145.221.41.209,/,1680097694,145.221.37.209,HSTS,8,False,https:,,,,,,,,
api.mobile.mybank.ing.com,403 Forbidden,403,154,api.mobile.mybank.ing.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2019-05-01T13:01:36Z,2021-05-01T13:31:34Z,"CN=api.mobile.mybank.ing.com, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.mobile.mybank.ing.com,ING Groep N.V.,www.api.mobile.mybank.ing.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",a7b81568999b92e8e0cb6ae0cce85cac,2c104204232b857c432026b16f2c92792de3402c1b3d7731dff97b21a00b8464,ctls,api.mobile.mybank.ing.com,443,https://api.mobile.mybank.ing.com:443,https,,text/html,GET,145.221.213.209,/,1680097694,145.221.181.209,HSTS,8,False,https:,True,,,,,,,
api.myaccount.ing.com,403 Forbidden,403,154,api.myaccount.ing.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-25T07:55:53Z,2023-08-06T07:55:53Z,"CN=api.myaccount.ing.com, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.myaccount.ing.com,ING Groep N.V.,www.api.myaccount.ing.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",62265add7739f8706e61c0f56a9d04f4,580154f1dc77eb628a6e7d73d56f87a1bf04dfb8475002642bfda0db73f2c36e,ctls,api.myaccount.ing.com,443,https://api.myaccount.ing.com:443,https,,text/html,GET,145.221.213.230,/,1680097694,145.221.181.230,HSTS,8,False,https:,,,,,,,,
api.myaccount.ing.nl,ING - Error message,403,547,api.myaccount.ing.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-25T07:55:53Z,2023-08-06T07:55:53Z,"CN=api.myaccount.ing.com, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.myaccount.ing.com,ING Groep N.V.,www.api.myaccount.ing.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",62265add7739f8706e61c0f56a9d04f4,580154f1dc77eb628a6e7d73d56f87a1bf04dfb8475002642bfda0db73f2c36e,ctls,api.myaccount.ing.nl,443,https://api.myaccount.ing.nl:443,https,,text/html,GET,145.221.213.230,/,49968535,145.221.181.230,,12,False,,,True,,,,,,
api.myaccount.sandbox.ing.com,401 Authorization Required,401,180,api.myaccount.sandbox.ing.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-25T11:17:51Z,2024-05-07T11:17:51Z,"CN=api.myaccount.sandbox.ing.com, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.myaccount.sandbox.ing.com,ING Groep N.V.,www.api.myaccount.sandbox.ing.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",4dd8b000822015f342aacb972bd3c8eb,b8a67cd40e05f830a8f2834da0bd1e9613e04b3b710004baa46a2c8f62c103e6,ctls,api.myaccount.sandbox.ing.com,443,https://api.myaccount.sandbox.ing.com:443,https,,text/html,GET,145.221.181.237,/,-1205321495,145.221.213.237,HSTS,8,False,https:,,,,,,,,
