new,host,a,cname,soa,status_code,cdn,cdn-name,ns,aaaa,txt,mx,ptr,has_internal_ips,internal_ips,caa
[x],accept-www.live-events.ing.nl,23.212.203.15,"campaigns-acc.edgekey.net, e4944.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,,
[x],accept.elba01.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accept.elba02.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],acceptance.ing.com,23.212.203.15,"corporateapps-acc.edgekey.net, e4944.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,,
[x],acceptation.cbbrandportal.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],acceptation.dms.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],acceptation.im.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.api.ing.com,"145.221.216.178, 145.221.184.178",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.commercial.ing.com,"145.221.185.151, 145.221.217.151",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.connective.services.ing.com,"145.221.217.9, 145.221.185.9",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.extnotify.ing.com,"145.221.216.151, 145.221.184.151",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.feedback.ing.com,"145.221.184.99, 145.221.216.99",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.gdn.ing.com,"145.221.185.145, 145.221.217.145",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.ideal-portal.ing.nl,"145.221.217.90, 145.221.185.90",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.ideal.ing.nl,"145.221.184.211, 145.221.216.211",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.inlogcodes.mijn.ing.nl,"145.221.216.237, 145.221.184.237",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.intermediairs.ing.nl,"145.221.185.111, 145.221.217.111",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,,,,,,
[x],accp.intermediairzakelijk.ing.nl,"145.221.185.57, 145.221.217.57",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.isabel.services.be.ing.com,"145.221.217.10, 145.221.185.10",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.mijn.ing.nl,"145.221.216.233, 145.221.184.233",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.mobile.ing.nl,"145.221.217.107, 145.221.185.107",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.mobile.mybank.ing.com,"145.221.184.29, 145.221.216.29",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.myaccount.ing.com,"145.221.184.216, 145.221.216.216",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.outbound.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.psrv.ing.com,"145.221.216.187, 145.221.184.187",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,,,,,,
[x],accp.sunrise.ing.nl,52.151.95.196,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,True,azure,,,v=spf1 -all,,,,,
[x],accp.tradefinance.ing.nl,"145.221.217.117, 145.221.185.117",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.transactional.ing.com,"145.221.217.164, 145.221.185.164",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],accp.up.transactional.ing.com,"145.221.185.166, 145.221.217.166",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],admin-locator.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],adventskalender.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],annualreports.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],annualreview.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],annualreview2013.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.cgpj.ing.com,"145.221.217.162, 145.221.185.162",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.engagementsuite.ing.com,"145.221.217.156, 145.221.185.156",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.essmsresponses.ing.com,"145.221.185.113, 145.221.217.113",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.eu.globalping.ing.com,"145.221.185.89, 145.221.217.89",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.ideal-acquiring.ing.nl,"145.221.217.198, 145.221.185.198",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.ideal-portal.ing.nl,"145.221.185.91, 145.221.217.91",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.intermediairs.ing.nl,"145.221.185.85, 145.221.217.85",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.intermediairzakelijk.ing.nl,"145.221.185.58, 145.221.217.58",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.mc.ing.nl,"145.221.184.174, 145.221.216.174",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.mijn.ing.nl,"145.221.184.175, 145.221.216.175",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.mijnzakelijk.ing.nl,"145.221.216.176, 145.221.184.176",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.mobile.ing.com,"145.221.184.177, 145.221.216.177",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.mobile.investments.ing.nl,"145.221.184.136, 145.221.216.136",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.mobile.mybank.ing.com,"145.221.216.38, 145.221.184.38",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.myaccount.ing.com,"145.221.184.181, 145.221.216.181",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.mybank.ing.com,"145.221.216.41, 145.221.184.41",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.nrc.esaeat.ing.com,"145.221.217.94, 145.221.185.94",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.tax.esaeat.ing.com,"145.221.217.95, 145.221.185.95",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.tradefinance.ing.nl,"145.221.185.116, 145.221.217.116",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp.transactional.ing.com,"145.221.217.170, 145.221.185.170",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.accp2.mobile.ing.com,"145.221.216.204, 145.221.184.204",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.dev.mobile.investments.ing.nl,145.221.184.11,wpr.api.dev.mobile.investments.ing.nl,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.developer.ing.com,"145.221.37.233, 145.221.41.233",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.engagementsuite.ing.com,"145.221.213.183, 145.221.181.183",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.eu.globalping.ing.com,"145.221.41.251, 145.221.37.251",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.feedback.ing.com,"145.221.181.215, 145.221.213.215",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.ideal-portal.ing.nl,"145.221.182.236, 145.221.214.236",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.ideal.ing.nl,"145.221.182.227, 145.221.214.227",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,,,,,,
[x],api.ing.com,"145.221.181.229, 145.221.213.229",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,,,,,,
[x],api.inlogcodes.mijn.ing.nl,"145.221.213.226, 145.221.181.226",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,,,,,,
[x],api.intermediairs.ing.nl,"145.221.181.190, 145.221.213.190",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.intermediairzakelijk.ing.nl,"145.221.181.195, 145.221.213.195",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.lab.mybank.ing.com,"145.221.216.106, 145.221.184.106",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.mc.ing.nl,"145.221.180.243, 145.221.212.243",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.mijn.demo.ing.nl,"145.221.41.190, 145.221.37.190",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.mijn.ing.nl,"145.221.181.227, 145.221.213.227",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,,,,,,
[x],api.mijnzakelijk.ing.nl,"145.221.213.228, 145.221.181.228",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,,,,,,
[x],api.mobile.ing.com,"145.221.37.236, 145.221.41.236",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.mobile.ing.nl,"145.221.41.237, 145.221.37.237",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.mobile.investments.ing.nl,"145.221.41.209, 145.221.37.209",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.mobile.mybank.ing.com,"145.221.181.209, 145.221.213.209",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.myaccount.ing.com,"145.221.213.230, 145.221.181.230",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.myaccount.sandbox.ing.com,"145.221.213.237, 145.221.181.237",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.nrc.esaeat.ing.com,"145.221.213.178, 145.221.181.178",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.rentepunten.ing.nl,160.92.57.172,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.sandbox.ideal-portal.ing.nl,"145.221.214.222, 145.221.182.222",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.sandbox.ing.com,"145.221.41.235, 145.221.37.235",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.services.ing.nl,"145.221.215.242, 145.221.183.242",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,,,,,,
[x],api.team.test.mobile.ing.nl,"145.221.184.195, 145.221.216.195",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.test.feedback.ing.com,145.221.216.30,dcr.api.test.feedback.ing.com,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.test.ideal-acquiring.ing.nl,"145.221.217.199, 145.221.185.199",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.test.ideal-portal.ing.nl,145.221.185.93,wpr.api.test.ideal-portal.ing.nl,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.test.mc.ing.nl,145.221.184.74,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.test.mobile.ing.com,"145.221.184.55, 145.221.216.55",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.test.mobile.ing.nl,"145.221.184.234, 145.221.216.234",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.test.mobile.investments.ing.nl,145.221.184.10,wpr.api.test.mobile.investments.ing.nl,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.test.transactional.ing.com,"145.221.217.168, 145.221.185.168",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.tradefinance.ing.nl,"145.221.41.207, 145.221.37.207",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],api.www.ing.nl,"145.221.212.243, 145.221.180.243",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,,,,,,
[x],art.ing.com,"23.213.161.224, 23.213.161.223","campaigns.edgekey.net, e26463.b.akamaiedge.net","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,,
[x],assets.ing.com,"96.16.54.168, 96.16.54.186","assets.ing.com.edgekey.net, e111972.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,"2a02:26f0:d8::1740:c29, 2a02:26f0:d8::1740:c40",,,,,,
[x],auteur.accp.intermediairs.ing.nl,"145.221.216.50, 145.221.184.50",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],auteur.intermediairs.ing.nl,"145.221.213.217, 145.221.181.217",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],auteur.test.intermediairs.ing.nl,"145.221.216.104, 145.221.184.104",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],autodiscover.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],autokoopquiz.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],autosuite-cms.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],autosuite-prod.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],awsumeawsumness.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],azn.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],b2b.us.ing.com,204.86.42.35,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],b2b01.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,,,,,,
[x],b2b02.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,,,,,,
[x],bankieren.ideal.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,,,,,,
[x],bankieren.mijn.ing.nl,"145.221.181.242, 145.221.213.242",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],bankieren.mijnzakelijk.ing.nl,"145.221.213.244, 145.221.181.244",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],banktrade.pcm.ing.com,145.221.95.207,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,,,,,,
[x],bastion.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],bedrijfsscan.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],beheer.inggoededoelenfonds.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],belastingtips.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],belmijnu.ing.nl,154.61.67.33,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],beslisboom.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],bgam.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],bizznizz.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],blacklink.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],blackspace.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],brand.ing.com,"13.32.121.75, 13.32.121.80, 13.32.121.96, 13.32.121.107",rr-brand-ing-com.getbynder.com,"ns-1868.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,"2600:9000:236e:e600:0:4a89:69c0:93a1, 2600:9000:236e:9800:0:4a89:69c0:93a1, 2600:9000:236e:7c00:0:4a89:69c0:93a1, 2600:9000:2240:6600:0:4a89:69c0:93a1, 2600:9000:2240:dc00:0:4a89:69c0:93a1, 2600:9000:2240:3c00:0:4a89:69c0:93a1, 2600:9000:2240:3a00:0:4a89:69c0:93a1, 2600:9000:236e:f600:0:4a89:69c0:93a1",,,,,,
[x],brandportal.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,,,,,,
[x],broker.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],buitenlandsgeld.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],bulldogroundup.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],businesscards.fm.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],cantos.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],cardsft.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],careers.ate.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 include:_spf.ing.net -all,"mail101.ing.net, mail201.ing.net, mail212.ing.net, mail112.ing.net, mail102.ing.net, mail202.ing.net",,,,
[x],careers.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 include:_spf.ing.net -all,careers-ing-com.mail.protection.outlook.com,,,,
[x],casy.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],catering.fm.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],ccservices.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],cdn.ing.com,"145.221.37.213, 145.221.41.213",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],chat2.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],cheat.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],christianvision.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],cms.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],coach.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],colouring.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],commercial.ing.com,"145.221.41.221, 145.221.37.221",,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
[x],community.ing.nl,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,,,,,,
[x],conf1.ing.com,,,"eur6.akam.net, postmaster.mail.ing.nl",NOERROR,,,,,v=spf1 -all,,,,,
