input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,webserver,final_url,tech_,tls_mismatched,tls_wildcard_certificate,cdn_name,cdn,tls_subject_org_,csp_domains_
155-9-214-66.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,155-9-214-66.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,155-9-214-66.shree-jewellers.shopclues.com,443,https://155-9-214-66.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
155-9-215-4.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,155-9-215-4.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,155-9-215-4.shree-jewellers.shopclues.com,443,https://155-9-215-4.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
155-9-216-38.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,155-9-216-38.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,155-9-216-38.shree-jewellers.shopclues.com,443,https://155-9-216-38.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
155-9-219-41.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,155-9-219-41.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,155-9-219-41.shree-jewellers.shopclues.com,443,https://155-9-219-41.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
155-9-60-29-upgrade-cmzweb1.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,155-9-60-29-upgrade-cmzweb1.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,155-9-60-29-upgrade-cmzweb1.shree-jewellers.shopclues.com,443,https://155-9-60-29-upgrade-cmzweb1.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
155-9-75-17.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,155-9-75-17.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,155-9-75-17.shree-jewellers.shopclues.com,443,https://155-9-75-17.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
17-121-112-31.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,17-121-112-31.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,17-121-112-31.shree-jewellers.shopclues.com,443,https://17-121-112-31.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
17-121-112-54.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,17-121-112-54.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,17-121-112-54.shree-jewellers.shopclues.com,443,https://17-121-112-54.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
17-121-112-66.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,17-121-112-66.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,17-121-112-66.shree-jewellers.shopclues.com,443,https://17-121-112-66.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
17-121-112-81.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,17-121-112-81.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,17-121-112-81.shree-jewellers.shopclues.com,443,https://17-121-112-81.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
17-121-113-91.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,17-121-113-91.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,17-121-113-91.shree-jewellers.shopclues.com,443,https://17-121-113-91.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
17-121-115-43.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,17-121-115-43.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,17-121-115-43.shree-jewellers.shopclues.com,443,https://17-121-115-43.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
17-121-116-27.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,17-121-116-27.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,17-121-116-27.shree-jewellers.shopclues.com,443,https://17-121-116-27.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
17-121-117-84.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,17-121-117-84.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,17-121-117-84.shree-jewellers.shopclues.com,443,https://17-121-117-84.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
17-121-117-85.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,17-121-117-85.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,17-121-117-85.shree-jewellers.shopclues.com,443,https://17-121-117-85.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
17-121-118-66.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,17-121-118-66.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,17-121-118-66.shree-jewellers.shopclues.com,443,https://17-121-118-66.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
17-121-119-91.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,17-121-119-91.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,17-121-119-91.shree-jewellers.shopclues.com,443,https://17-121-119-91.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
17-121-122-42.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,17-121-122-42.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,17-121-122-42.shree-jewellers.shopclues.com,443,https://17-121-122-42.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
17-121-122-52.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,17-121-122-52.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,17-121-122-52.shree-jewellers.shopclues.com,443,https://17-121-122-52.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
17-121-123-57.shree-jewellers.shopclues.com,Clues Network Pvt. Ltd. API System,200,22686,17-121-123-57.shree-jewellers.shopclues.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-04-16T07:03:22Z,2023-05-18T07:03:22Z,CN=*.shopclues.com,*.shopclues.com,shopclues.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e8d0b08337d9a0bc3c2df4b253552b2e,b5369c059ff6d516f7b03bcbf35a8d39ab6a7ea4d7ac16b9a2d9e7b84dab0fcc,ctls,17-121-123-57.shree-jewellers.shopclues.com,443,https://17-121-123-57.shree-jewellers.shopclues.com:443,https,text/html,GET,13.233.9.122,/,1681382058,13.233.9.122,492,False,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.45,,PHP:5.4.45,True,True,,,,
