input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,webserver,cdn,csp_domains_,tls_wildcard_certificate,final_url,tls_subject_org_,tls_mismatched
https://cdnjs.cloudflare.com,cdnjs.cloudflare.com,200,8867,cdnjs.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-03T00:00:00Z,2023-08-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8789a4791c80fe9fc769847a7ba6e4b5,9454c62828b954228efbbb6b7e3865ae64ba54e5a4ccdd89936d068e2ac94dd3,ctls,cdnjs.cloudflare.com,443,https://cdnjs.cloudflare.com:443,https,text/html,GET,104.17.24.14,/,2023033722,2606:4700::6811:180e,HTTP/3,169,False,cloudflare,cloudflare,True,,True,,"Cloudflare, Inc.",
https://ct.capterra.com,,200,29,ct.capterra.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-18T00:00:00Z,2023-09-18T23:59:59Z,"CN=*.capterra.com, O=Capterra\, Inc., L=Arlington, ST=Virginia, C=US",*.capterra.com,capterra.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,6a0c38e64e1a94a86fd7adc02f5fda8e,2dda6a769cfc5a936c9dbb37dfb0cc8435f9d961539d9462d1c98edcfe97dd0e,ctls,ct.capterra.com,443,https://ct.capterra.com:443,https,text/javascript,GET,35.172.62.29,/,-1840324437,35.172.62.29,Nginx,1,False,,nginx,,,True,,"Capterra, Inc.",
https://data.pendo.io,pendo.io,200,2443,data.pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T23:31:07Z,2023-07-19T00:21:59Z,CN=pendo.io,pendo.io,*.pendo.io,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,e04a48c3138127ae538ea9f0a36c2229,e9bc1f48c632c79288d25aa968322ab77e40c6a21378249e2cb0b21e73078039,ctls,data.pendo.io,443,https://data.pendo.io:443,https,text/html,GET,34.149.155.70,/,-1872766218,34.149.155.70,HTTP/3,1,False,google,Google Frontend,True,,True,,,
https://docs.google.com,Sign in - Google Accounts,200,576367,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:25:19Z,2023-07-31T08:25:18Z,CN=accounts.google.com,accounts.google.com,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e67f0900445d4560717641adeae0c363,9c9a4cc44d8f1852b01595f3891e4bf0694858a9040176f7f7229ff960c55300,ctls,accounts.google.com,443,https://docs.google.com:443,https,text/html,GET,142.250.186.46,/,-1752499564,2a00:1450:4001:827::200e,HTTP/3,46,False,,ESF,,,True,https://accounts.google.com/v3/signin/identifier?dsh=S-1107278244%3A1685357831235870&continue=https%3A%2F%2Fdocs.google.com%2F&emr=1&followup=https%3A%2F%2Fdocs.google.com%2F&ifkv=Af_xneFN9w-LY0Qh7Pu-GX4c2vIk0v_iDhRl3KhMXE2M74fXCr2noJUfd7Jb1YGmpJQ1Fc3xzEDh&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin,,
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:24:50Z,2023-07-31T08:24:49Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,0599e6a371c8ac93275d40105edbc2d3,ee8d2fb1076d683b7d49c95399c60bb27f08b04bdcd0970246a84d3518670ceb,ctls,fonts.googleapis.com,443,https://fonts.googleapis.com:443,https,text/html,GET,142.250.185.106,/,-606046040,2a00:1450:4001:80e::200a,HTTP/3,1,False,,ESF,,,True,,,
https://fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:24:48Z,2023-07-31T08:24:47Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e2fa159081bb6314a59148c7b5d1211a,0f6b81b9f067c52dd5708e184a9f4d33e8bd982625a16053543f78d0768da6af,ctls,fonts.gstatic.com,443,https://fonts.gstatic.com:443,https,text/html,GET,142.250.186.131,/,302920777,2a00:1450:4001:82a::2003,HTTP/3,12,False,,sffe,,,True,,,
https://get.geojs.io,,200,154,get.geojs.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-04-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.geojs.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",26462dc0b14a62e88ddd3c99707268a3,f1d23a9b223c989f1f3a3d02836d1d73a180e9a71a2f8bf996ebc8fac745f279,ctls,get.geojs.io,443,https://get.geojs.io:443,https,text/plain,GET,104.26.0.100,/,2099838838,2606:4700:20::ac43:46e9,HTTP/3,9,False,cloudflare,cloudflare,True,,True,,"Cloudflare, Inc.",
https://googleads.g.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128610,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:20:09Z,2023-07-31T08:20:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9a2e3bdb59e5e95d228e75d310a78882,d790862c00287a7090cf7874aa239d58ff9b46c2cc3a3226a087a0ecec752270,ctls,marketingplatform.google.com,443,https://googleads.g.doubleclick.net:443,https,text/html,GET,142.250.74.194,/,-1184133586,2a00:1450:4001:811::2002,HTTP/3,2179,False,,sffe,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,True,https://marketingplatform.google.com/about/enterprise/,,
https://grow.clearbitjs.com,B2B Marketing Intelligence | Clearbit,200,305717,clearbit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-17T00:00:00Z,2024-04-14T23:59:59Z,CN=clearbit.com,clearbit.com,*.clearbit.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,691b8239ef234d3d00b3be5b1bec3b8c,7b8fb924cabe308adaa86ad2a43a6edda5219c438e6f10614f4413cdcde401ae,ctls,clearbit.com,443,https://grow.clearbitjs.com:443,https,text/html,GET,216.24.57.253,/,19558302,216.24.57.3,Vercel,44,False,,envoy,,,True,https://clearbit.com/,,
https://js.hs-scripts.com,Error 404 Not Found,404,197,js.hs-scripts.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T00:00:00Z,2024-05-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,hs-scripts.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0b3a5a2aaf847fd0f1b850a6a6d37cfa,57455d5cb70d465717f59d6262d60423c3ab186f3bc7274d0f64ccda5f3c8143,ctls,js.hs-scripts.com,443,https://js.hs-scripts.com:443,https,text/html,GET,104.18.135.59,/,-2078428639,2606:4700::6812:873b,Envoy,10,False,cloudflare,cloudflare,True,,True,,"Cloudflare, Inc.",
https://listenat.xoxoday.com,404 Not Found,404,146,listenat.xoxoday.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-21T00:00:00Z,2024-02-19T23:59:59Z,CN=*.xoxoday.com,*.xoxoday.com,*.xoxoday.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,975af989e0b65401059bfac190375d00,6a04fd776f27ee8ad1398bdf298440c2eb6c2f62f1eb0abe9f7099bf2c973404,ctls,listenat.xoxoday.com,443,https://listenat.xoxoday.com:443,https,text/html,GET,35.160.124.232,/,1494302000,52.11.111.189,,8,False,,,,,True,,,
https://myfaqprime.appspot.com,FAQPrime CDN,200,934,myfaqprime.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:19:47Z,2023-07-31T08:19:46Z,CN=*.appspot.com,*.appspot.com,*.app.google,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9401e34cceb876049e9b4c0b419c0eff,378718aade1beced780c2afafd223d8ff57d348ce8a12417919d73ddadb4cdb9,ctls,myfaqprime.appspot.com,443,https://myfaqprime.appspot.com:443,https,text/html,GET,142.250.184.212,/,-339888361,2a00:1450:4001:811::2014,HTTP/3,33,False,,Google Frontend,,,True,,,
https://px.ads.linkedin.com,,200,43,px.ads.linkedin.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T00:00:00Z,2023-09-07T23:59:59Z,"CN=www.linkedin.com, O=LinkedIn Corporation, L=Sunnyvale, ST=California, C=US",www.linkedin.com,www.linkedin-measure.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,7eb3cbac015363672717f482f365b968,06a0e72c9d2e7adc582c43dce02611f8552d976ef1f1674a0e46ad1af1c32865,ctls,px.ads.linkedin.com,443,https://px.ads.linkedin.com:443,https,image/gif,GET,13.107.42.14,/,1711602358,2620:1ec:21::14,,1,False,,,,,,,LinkedIn Corporation,
https://res.cloudinary.com,,404,,res.cloudinary.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-05-30T06:40:39Z,2023-07-01T06:40:39Z,"CN=*.cloudinary.com, O=Cloudinary Ltd, L=Petah Tikva, C=IL",*.cloudinary.com,cloudinary.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",146caf00ba403a1bab2fac7ddfa58ef4,fe666d3026e433ccf661f700859054f564a8b0b36854760f8bf59c6c2c28fd00,ctls,res.cloudinary.com,443,https://res.cloudinary.com:443,https,image/gif,GET,151.101.65.137,/,-624805968,2a04:4e42:200::393,HSTS,1,False,fastly,Cloudinary,True,,True,,Cloudinary Ltd,
https://stackpath.bootstrapcdn.com,The Tudors,200,204,stackpath.bootstrapcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-30T00:00:00Z,2023-12-30T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,bootstrapcdn.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",43bf2e015428996a5a19a3bc0dcf7608,a90dcbfa8b2740d5693f93ad771ea7f8fa9afe2e756304e912f763ddb0c287f5,ctls,stackpath.bootstrapcdn.com,443,https://stackpath.bootstrapcdn.com:443,https,text/html,GET,104.18.11.207,/,-1202950167,2606:4700::6812:bcf,HTTP/3,9,False,cloudflare,cloudflare,True,URL='https://www.bootstrapcdn.com/',True,,"Cloudflare, Inc.",
https://stats.g.doubleclick.net,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:20:09Z,2023-07-31T08:20:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9a2e3bdb59e5e95d228e75d310a78882,d790862c00287a7090cf7874aa239d58ff9b46c2cc3a3226a087a0ecec752270,ctls,marketingplatform.google.com,443,https://stats.g.doubleclick.net:443,https,text/html,GET,108.177.15.155,/,302920777,2a00:1450:400c:c0b::9a,HTTP/3,1831,False,,sffe,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,True,https://marketingplatform.google.com/about/analytics/,,
https://tracking.g2crowd.com,The page you were looking for doesn't exist (404),404,1564,tracking.g2crowd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-24T00:00:00Z,2023-08-23T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,g2crowd.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5b318184c678fb6fbb78bfcfb62044e5,1fd990c890221ca9f2d9e464de1581be25cc20b06ca2cd8152ea7203af18e939,ctls,tracking.g2crowd.com,443,https://tracking.g2crowd.com:443,https,text/html,GET,104.18.30.73,/,-1840324437,2606:4700::6812:1e49,HSTS,68,False,cloudflare,cloudflare,True,*.g2.com,True,,"Cloudflare, Inc.",
https://usage.trackjs.com,Welcome to nginx!,200,612,usage.trackjs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-28T00:00:00Z,2023-08-11T23:59:59Z,CN=*.trackjs.com,*.trackjs.com,trackjs.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",fd188ff72d794738616ec4537cf9e191,c28899d626728debfd266c7f0a40d9ace728992140aaff4007eb414f4eaad1da,ctls,usage.trackjs.com,443,https://usage.trackjs.com:443,https,text/html,GET,158.69.52.117,/,190856733,167.114.119.127,Nginx,26,False,,nginx,,,True,,,
https://via.placeholder.com,404 Not Found,404,207,via.placeholder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,2024-02-23T23:59:59Z,CN=placeholder.com,placeholder.com,*.placeholder.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0943da7fc7f6e96916d7f36f069af2dc,12dce4251b6a62d6af246f49f74846bce585220df536b67ce349b191f1ef6034,ctls,via.placeholder.com,443,https://via.placeholder.com:443,https,text/html,GET,18.235.83.176,/,1272599951,23.23.94.125,Python:3.9.16,6,False,,Werkzeug/2.2.2 Python/3.9.16,,,True,,,
https://www.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:20:09Z,2023-07-31T08:20:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9a2e3bdb59e5e95d228e75d310a78882,d790862c00287a7090cf7874aa239d58ff9b46c2cc3a3226a087a0ecec752270,ctls,marketingplatform.google.com,443,https://www.google-analytics.com:443,https,text/html,GET,142.250.186.46,/,302920777,2a00:1450:4001:82b::200e,HTTP/3,1831,False,,sffe,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,True,https://marketingplatform.google.com/about/analytics/,,
https://www.google.com,Google,200,216183,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:25:18Z,2023-07-31T08:25:17Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,6d20e0dbb4ec708878643b98c3dab7c0,fe533bafa6d4fa380bc8b5bafade084b21264bd2601c5f581bf9730db96e6d04,ctls,www.google.com,443,https://www.google.com:443,https,text/html,GET,172.217.16.196,/,708578229,2a00:1450:4001:82b::2004,HTTP/3,147,False,,gws,,https:,,,,
https://www.google.com.sg,Google,200,216955,www.google.com.sg,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:26:33Z,2023-07-31T08:26:32Z,CN=*.google.com.sg,*.google.com.sg,google.sg,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,52430976510061e2fe95e46bcf1ccd84,332be2e1ed16bcb9ac6cade6435fa1799cb39a2823407329d165e2be0698b8f0,ctls,www.google.com.sg,443,https://www.google.com.sg:443,https,text/html,GET,142.250.184.195,/,708578229,2a00:1450:4001:830::2003,HTTP/3,147,False,,gws,,https:,True,,,
https://www.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,www.googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:20:09Z,2023-07-31T08:20:08Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,c1ac5cd6a000c4bf3342e0400fcf88f8,3b48e7bfaf4c6d638b501e1089c789811e5f966b4be81594a0d0323e40818f35,ctls,www.googletagmanager.com,443,https://www.googletagmanager.com:443,https,text/html,GET,142.250.185.72,/,302920777,2a00:1450:4001:829::2008,HTTP/3,12,False,,Google Tag Manager,,,True,,,True
