input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,webserver,final_url
future-acc.portofantwerp.com,Yambla | Login,200,14536,,future-acc.portofantwerp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2023-09-21T23:59:59Z,CN=yamblastaging.com,yamblastaging.com,future-acc.portofantwerp.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d72bbaa4119031a796bf9ddcc07b9b25,81c90e7d10749c282c09f844d401a4c95e93a2161ff06580e63a73f479cea9ff,ctls,future-acc.portofantwerp.com,,443,https://future-acc.portofantwerp.com:443,https,text/html,GET,34.241.159.11,/,45119012,34.250.159.159,Typekit,327,False,,True,,True,nginx,https://future-acc.portofantwerp.com/login
future.portofantwerp.com,Login,200,2767,,login.portofantwerpbruges.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-02T12:30:17Z,2024-03-04T13:45:27Z,"CN=*.portofantwerpbruges.com, O=Haven van Antwerpen - Brugge (Port of Antwerp - Bruges), L=Antwerpen, ST=Antwerpen, C=BE",*.portofantwerpbruges.com,portofantwerpbruges.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,098a86bd42d41da99c942a3c04422bfd,ed18735b8ee50e5fb1f069eeec0ab39ed0c33c121204472d0e362ab5e442785c,ctls,login.portofantwerpbruges.com,,443,https://future.portofantwerp.com:443,https,text/html,GET,52.209.230.8,/,45119012,34.252.59.64,HSTS,84,False,,,Haven van Antwerpen - Brugge (Port of Antwerp - Bruges),True,,https://login.portofantwerpbruges.com/auth?spEntityID=https://saml.yambla.com&service=GlobalAuthenticationPolicyLevel25&theme=poab&goto=https://login.portofantwerpbruges.com/poam/SSORedirect/metaAlias/PortOfAntwerpBruges/poarbMFA?ReqID=_e0470c6400b5eafbdf6e372a975d9517b110a1e515&index=null&acsURL=https://future.portofantwerpbruges.com/saml/module.php/saml/sp/saml2-acs.php/okta-sp&spEntityID=https://saml.yambla.com&binding=urn:oasis:names:tc:SAML:2.0:bindings:HTTP-POST
https://az416426.vo.msecnd.net/scripts/a/ai.0.js,,200,96705,,az416426.vo.msecnd.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-05T00:00:00Z,2024-04-28T23:59:59Z,"CN=*.vo.msecnd.net, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",*.vo.msecnd.net,ec-cert-deploy-prod-default.cdn.azure.net,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,33ba047917549e69f7b9bae2634c2f34,bf6070230a9bf0f9bcee56404bf6c34bf6be14871429cfbd475c31e885a57fc3,ctls,az416426.vo.msecnd.net,,443,https://az416426.vo.msecnd.net:443/scripts/a/ai.0.js,https,application/x-javascript,GET,152.199.19.161,/scripts/a/ai.0.js,1405793950,2606:2800:133:206e:1315:22a5:2006:24fd,Azure CDN,2,False,,,Microsoft Corporation,True,ECAcc (frc/4CD6),
https://consent.cookiebot.com/uc.js,,200,109647,,consent.cookiebot.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-06T00:00:00Z,2024-04-06T23:59:59Z,"CN=consent.cookiebot.com, O=Usercentrics A/S, L=København, C=DK",consent.cookiebot.com,consent.cookiebot.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,6e60b4996dc0098c027c4b5bc7852b03,3f4bfad4d2689862a119d87f75c95d3bea68de41e58b83e46019ca24238a1a84,ctls,consent.cookiebot.com,,443,https://consent.cookiebot.com:443/uc.js,https,application/javascript,GET,104.126.37.160,/uc.js,-1438724314,2a02:26f0:1700:11::b856:6798,,3,False,,,Usercentrics A/S,,,
https://consentcdn.cookiebot.com/,,404,10,,consentcdn.cookiebot.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-17T00:00:00Z,2024-04-17T23:59:59Z,"CN=*.cookiebot.com, O=CYBOT A/S, L=København, C=DK",*.cookiebot.com,cookiebot.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,bcc1224d73822aa90d09e2e87b20c7ec,f2bf4e1e3db27fcf086b1dc1c7045d5d1d298e42b7606f3e64b3ad71f372b18b,ctls,consentcdn.cookiebot.com,,443,https://consentcdn.cookiebot.com:443,https,,GET,2.17.190.7,/,1864250944,2a02:26f0:3500:886::f09,,2,False,,,CYBOT A/S,True,AkamaiNetStorage,
https://dc.services.visualstudio.com/v2/track,,405,18,,dc.services.visualstudio.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-20T21:06:44Z,2024-04-14T21:06:44Z,"CN=in.applicationinsights.azure.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",in.applicationinsights.azure.com,dc.services.visualstudio.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,b704297e943a9eb3e06bf2ea9aaeff5c,2ef7cb9ea86e81891097bbf5a7cbc354e45e7cceae83591e32ac1fee50633d66,ctls,dc.services.visualstudio.com,azure,443,https://dc.services.visualstudio.com:443/v2/track,https,text/plain,GET,13.69.106.89,/v2/track,716467437,13.69.106.89,HSTS,1,False,True,,Microsoft Corporation,True,,
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:20:47Z,2023-09-11T08:20:46Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7f788b7c7e4fd6cca34ea1266e90216c,34ce8d965483353d15d17e6813cc68da1fb1b8344b5fe78e48b33f6bde169573,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,text/html,GET,142.250.186.106,/,-606046040,2a00:1450:4001:831::200a,HTTP/3,1,False,,,,True,ESF,
https://fonts.gstatic.com/,Error 404 (Not Found)!!1,404,1561,,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:20:47Z,2023-09-11T08:20:46Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,c7c819cf4dd7eaac32596a27df440c3a,4232a61304d4799519d0c90e6c12f5aa385c549d99242ed0f0565857dbe97608,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,text/html,GET,216.58.212.131,/,302920777,2a00:1450:4001:827::2003,HTTP/3,12,False,,,,True,sffe,
https://i.ytimg.com/vi/YGJQpRT8Sf0/maxresdefault.jpg,,200,69754,,i.ytimg.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:02Z,2023-09-11T08:16:01Z,CN=edgestatic.com,edgestatic.com,play-lh.googleusercontent.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,385727ea3c7e85cd09430c5c845bb07d,cafa52b67a1c94a134c7e1d46a3d45d48d4583002137a44b1d5c63ace20ff5a7,ctls,i.ytimg.com,,443,https://i.ytimg.com:443/vi/YGJQpRT8Sf0/maxresdefault.jpg,https,image/jpeg,GET,142.250.185.86,/vi/YGJQpRT8Sf0/maxresdefault.jpg,-774586154,2a00:1450:4001:812::2016,HTTP/3,200,False,,True,,True,sffe,
https://jquery.com,jQuery,200,16542,,jquery.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2024-04-30T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.jquery.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",adc9120def8d707aa69f64204d17c3e1,fab2883df080c99af8bbae371063b47001eaef50d2eab5366e2368f7161255e4,ctls,jquery.com,cloudflare,443,https://jquery.com:443,https,text/html,GET,104.18.213.12,/,299032747,104.18.212.12,WordPress:4.5.2,368,False,True,,"Cloudflare, Inc.",True,cloudflare,
https://ssl.google-analytics.com/,Analytics Tools & Solutions for Your Business - Google Analytics,200,118545,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,77fce969f6da9c23b46a4179eeece1a8,cd9aec87aa4ae96416bd900a0b81fba5a0f3f8e3b5fd4b2ea159059797f70790,ctls,marketingplatform.google.com,,443,https://ssl.google-analytics.com:443,https,text/html,GET,142.250.186.104,/,302920777,2a00:1450:4001:801::2008,HTTP/3,1833,False,,,,True,sffe,https://marketingplatform.google.com/about/analytics/
https://ssl.google-analytics.com/ga.js,,200,46274,,ssl.google-analytics.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,a70a503bfcd507236a0630c327963b39,f1e109477d076ab7412e70816a90acdcd1fff2d3ab53cc2429c27acccfe6cc5a,ctls,ssl.google-analytics.com,,443,https://ssl.google-analytics.com:443/ga.js,https,text/javascript,GET,142.250.186.104,/ga.js,302920777,2a00:1450:4001:801::2008,HTTP/3,85,False,,,,True,Golfe2,
https://www.google.com/,Google,200,242507,https://csp.withgoogle.com/csp/gws/other-hp,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:21:20Z,2023-09-11T08:21:19Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,356ce917eecdafd8f0964fab2c01c648,5ef40e8e31e911278e5335d41c69a84dd90bf0acba633d6fa7c761005296d8e0,ctls,www.google.com,,443,https://www.google.com:443,https,text/html,GET,142.250.185.68,/,708578229,2a00:1450:4001:811::2004,HTTP/3,152,False,,,,,gws,
https://www.google.com/recaptcha/api.js,,200,850,,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:21:20Z,2023-09-11T08:21:19Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,356ce917eecdafd8f0964fab2c01c648,5ef40e8e31e911278e5335d41c69a84dd90bf0acba633d6fa7c761005296d8e0,ctls,www.google.com,,443,https://www.google.com:443/recaptcha/api.js,https,text/javascript,GET,142.250.185.68,/recaptcha/api.js,708578229,2a00:1450:4001:811::2004,OpenGSE,1,False,,,,,GSE,
https://www.googletagmanager.com/gtag/js,,200,107183,,www.googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,a70a503bfcd507236a0630c327963b39,f1e109477d076ab7412e70816a90acdcd1fff2d3ab53cc2429c27acccfe6cc5a,ctls,www.googletagmanager.com,,443,https://www.googletagmanager.com:443/gtag/js,https,application/javascript,GET,216.58.212.168,/gtag/js,302920777,2a00:1450:4001:82a::2008,HTTP/3,273,False,,True,,True,Google Tag Manager,
https://www.googletagmanager.com/gtm.js,Error 400 (Bad Request)!!1,400,1555,,www.googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,a70a503bfcd507236a0630c327963b39,f1e109477d076ab7412e70816a90acdcd1fff2d3ab53cc2429c27acccfe6cc5a,ctls,www.googletagmanager.com,,443,https://www.googletagmanager.com:443/gtm.js,https,text/html,GET,216.58.212.168,/gtm.js,302920777,2a00:1450:4001:82a::2008,HTTP/3,12,False,,True,,True,Google Tag Manager,
https://www.gstatic.com/,Error 404 (Not Found)!!1,404,1561,,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:20:47Z,2023-09-11T08:20:46Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,c7c819cf4dd7eaac32596a27df440c3a,4232a61304d4799519d0c90e6c12f5aa385c549d99242ed0f0565857dbe97608,ctls,www.gstatic.com,,443,https://www.gstatic.com:443,https,text/html,GET,142.250.186.99,/,302920777,2a00:1450:4001:80f::2003,HTTP/3,12,False,,,,True,sffe,
https://www.gstatic.com/recaptcha/releases/4rwLQsl5N_ccppoTAwwwMrEN/recaptcha__en.js,Error 404 (Not Found)!!1,404,1621,,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:20:47Z,2023-09-11T08:20:46Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,c7c819cf4dd7eaac32596a27df440c3a,4232a61304d4799519d0c90e6c12f5aa385c549d99242ed0f0565857dbe97608,ctls,www.gstatic.com,,443,https://www.gstatic.com:443/recaptcha/releases/4rwLQsl5N_ccppoTAwwwMrEN/recaptcha__en.js,https,text/html,GET,142.250.186.99,/recaptcha/releases/4rwLQsl5N_ccppoTAwwwMrEN/recaptcha__en.js,302920777,2a00:1450:4001:80f::2003,HTTP/3,12,False,,,,True,sffe,
mail.portofantwerp.com,Sign in to Outlook,200,37910,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,,443,https://mail.portofantwerp.com:443,https,text/html,GET,188.118.8.29,/,-1249852061,188.118.8.29,HSTS,95,False,,,Microsoft Corporation,,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=b6cdb5bf-57cc-f3d3-6e54-d5f9b117efbc&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&nonce=638237781593728630.3af9f0a0-cf77-4a13-b8fb-5bac6102b8fe&state=DYsxEsAgCMCwXp9DRamCz0GvrB37_TIkdxmSACAHR5AoBDJYG4to7ZOl6WC62Hw6GeF2EbytMi71hX3ZHpVaxJPiPcv7WfkB
media.portofantwerp.com,Port of Antwerp Media,200,88391,https://www.googletagmanager.com,media.portofantwerpbruges.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-05-24T23:59:59Z,CN=media.portofantwerpbruges.com,media.portofantwerpbruges.com,media.portofantwerpbruges.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f0a4e24d5765aab757eb8b19d348a629,6ed0a4f36a1903042fb9867a7dfe02f0afceab257e4fafb51629f10a956c0afa,ctls,media.portofantwerpbruges.com,,443,https://media.portofantwerp.com:443,https,text/html,GET,188.118.8.16,/,-1840324437,188.118.8.16,Nginx,1035,False,,,,,nginx,https://media.portofantwerpbruges.com/login/
newsroom.portofantwerp.com,Port of Antwerp-Bruges - Pressroom,200,102799,https://csp.prezly.net/report,newsroom.portofantwerpbruges.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-04-11T23:59:59Z,"CN=newsroom.portofantwerpbruges.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",newsroom.portofantwerpbruges.com,newsroom.portofantwerpbruges.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0bd2945d8c6f24e6b6043d9b338fc8c6,4bf50789e0a2c285c94c4eb6d8200de1b9d174d0b4bd3359b7c70b07a099d510,ctls,newsroom.portofantwerpbruges.com,cloudflare,443,https://newsroom.portofantwerp.com:443,https,text/html,GET,172.66.43.104,/,1990703237,172.66.40.152,Varnish:6.0,1208,False,True,,"Cloudflare, Inc.",,cloudflare,https://newsroom.portofantwerpbruges.com/
opendata-stg.portofantwerp.com,Layout Not Found,500,3200,https://fonts.gstatic.com/,opendata-stg.portofantwerp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-14T04:21:36Z,2023-08-12T04:21:35Z,CN=opendata-stg.portofantwerp.com,opendata-stg.portofantwerp.com,opendata-stg.portofantwerp.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,570c7fcc747434318247db0fa5722f91,72d0728b6223c6439824e76ee27e8be540445dcbb7a2369c32242e81e6753031,ctls,opendata-stg.portofantwerp.com,azure,443,https://opendata-stg.portofantwerp.com:443,https,text/html,GET,52.166.182.144,/,1026057194,52.166.182.144,HSTS,77,False,True,,,,,
