input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn_name,cdn,csp_domains_,tls_subject_org_
155-9-201-65.cu-prod-ie-view-service.clickup.com,,200,39,155-9-201-65.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-201-65.cu-prod-ie-view-service.clickup.com,443,https://155-9-201-65.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,3.125.125.25,/,319998817,https://155-9-201-65.cu-prod-ie-view-service.clickup.com/404,18.156.66.193,Nginx,3,False,,,,
155-9-202-43.help.clickup.com,,200,39,155-9-202-43.help.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-202-43.help.clickup.com,443,https://155-9-202-43.help.clickup.com:443,https,nginx,text/html,GET,18.194.22.112,/,319998817,https://155-9-202-43.help.clickup.com/404,3.125.125.25,Nginx,3,False,,,,
155-9-207-26.help.clickup.com,,200,39,155-9-207-26.help.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-207-26.help.clickup.com,443,https://155-9-207-26.help.clickup.com:443,https,nginx,text/html,GET,18.194.22.112,/,319998817,https://155-9-207-26.help.clickup.com/404,3.125.125.25,Nginx,3,False,,,,
155-9-207-52.cu-prod-ie-view-service.clickup.com,,200,39,155-9-207-52.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-207-52.cu-prod-ie-view-service.clickup.com,443,https://155-9-207-52.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,18.156.66.193,/,319998817,https://155-9-207-52.cu-prod-ie-view-service.clickup.com/404,18.194.22.112,Nginx,3,False,,,,
155-9-208-18.cu-prod-ie-view-service.clickup.com,,200,39,155-9-208-18.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-208-18.cu-prod-ie-view-service.clickup.com,443,https://155-9-208-18.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,18.194.22.112,/,319998817,https://155-9-208-18.cu-prod-ie-view-service.clickup.com/404,18.156.66.193,Nginx,3,False,,,,
155-9-208-55.cu-prod-ie-view-service.clickup.com,,200,39,155-9-208-55.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-208-55.cu-prod-ie-view-service.clickup.com,443,https://155-9-208-55.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,3.125.125.25,/,319998817,https://155-9-208-55.cu-prod-ie-view-service.clickup.com/404,18.156.66.193,Nginx,3,False,,,,
155-9-219-31.cu-prod-ie-view-service.clickup.com,,200,39,155-9-219-31.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-219-31.cu-prod-ie-view-service.clickup.com,443,https://155-9-219-31.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,18.194.22.112,/,319998817,https://155-9-219-31.cu-prod-ie-view-service.clickup.com/404,3.125.125.25,Nginx,3,False,,,,
155-9-223-39.help.clickup.com,,200,39,155-9-223-39.help.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-223-39.help.clickup.com,443,https://155-9-223-39.help.clickup.com:443,https,nginx,text/html,GET,18.194.22.112,/,319998817,https://155-9-223-39.help.clickup.com/404,18.156.66.193,Nginx,3,False,,,,
155-9-224-22.help.clickup.com,,200,39,155-9-224-22.help.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-224-22.help.clickup.com,443,https://155-9-224-22.help.clickup.com:443,https,nginx,text/html,GET,3.125.125.25,/,319998817,https://155-9-224-22.help.clickup.com/404,18.156.66.193,Nginx,3,False,,,,
155-9-226-80.channelpartners.clickup.com,,200,39,155-9-226-80.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-226-80.channelpartners.clickup.com,443,https://155-9-226-80.channelpartners.clickup.com:443,https,nginx,text/html,GET,3.125.125.25,/,319998817,https://155-9-226-80.channelpartners.clickup.com/404,18.156.66.193,Nginx,3,False,,,,
155-9-226-80.help.clickup.com,,200,39,155-9-226-80.help.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-226-80.help.clickup.com,443,https://155-9-226-80.help.clickup.com:443,https,nginx,text/html,GET,18.194.22.112,/,319998817,https://155-9-226-80.help.clickup.com/404,3.125.125.25,Nginx,3,False,,,,
155-9-243-95.cu-prod-de-inbound-emails-service.clickup.com,,200,39,155-9-243-95.cu-prod-de-inbound-emails-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-243-95.cu-prod-de-inbound-emails-service.clickup.com,443,https://155-9-243-95.cu-prod-de-inbound-emails-service.clickup.com:443,https,nginx,text/html,GET,18.194.22.112,/,319998817,https://155-9-243-95.cu-prod-de-inbound-emails-service.clickup.com/404,18.156.66.193,Nginx,3,False,,,,
155-9-51-39.channelpartners.clickup.com,,200,39,155-9-51-39.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-51-39.channelpartners.clickup.com,443,https://155-9-51-39.channelpartners.clickup.com:443,https,nginx,text/html,GET,18.194.22.112,/,319998817,https://155-9-51-39.channelpartners.clickup.com/404,18.156.66.193,Nginx,3,False,,,,
155-9-51-70.help.clickup.com,,200,39,155-9-51-70.help.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-51-70.help.clickup.com,443,https://155-9-51-70.help.clickup.com:443,https,nginx,text/html,GET,18.156.66.193,/,319998817,https://155-9-51-70.help.clickup.com/404,18.194.22.112,Nginx,3,False,,,,
155-9-57-70.help.clickup.com,,200,39,155-9-57-70.help.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-57-70.help.clickup.com,443,https://155-9-57-70.help.clickup.com:443,https,nginx,text/html,GET,18.194.22.112,/,319998817,https://155-9-57-70.help.clickup.com/404,3.125.125.25,Nginx,3,False,,,,
155-9-60-29-upgrade-cmzweb1.help.clickup.com,,200,39,155-9-60-29-upgrade-cmzweb1.help.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-60-29-upgrade-cmzweb1.help.clickup.com,443,https://155-9-60-29-upgrade-cmzweb1.help.clickup.com:443,https,nginx,text/html,GET,3.125.125.25,/,319998817,https://155-9-60-29-upgrade-cmzweb1.help.clickup.com/404,18.156.66.193,Nginx,3,False,,,,
155-9-64-83.channelpartners.clickup.com,,200,39,155-9-64-83.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-64-83.channelpartners.clickup.com,443,https://155-9-64-83.channelpartners.clickup.com:443,https,nginx,text/html,GET,3.125.125.25,/,319998817,https://155-9-64-83.channelpartners.clickup.com/404,18.194.22.112,Nginx,3,False,,,,
155-9-64-83.cu-prod-ie-view-service.clickup.com,,200,39,155-9-64-83.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-64-83.cu-prod-ie-view-service.clickup.com,443,https://155-9-64-83.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,18.194.22.112,/,319998817,https://155-9-64-83.cu-prod-ie-view-service.clickup.com/404,18.156.66.193,Nginx,3,False,,,,
155-9-77-23.channelpartners.clickup.com,,200,39,155-9-77-23.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,155-9-77-23.channelpartners.clickup.com,443,https://155-9-77-23.channelpartners.clickup.com:443,https,nginx,text/html,GET,18.194.22.112,/,319998817,https://155-9-77-23.channelpartners.clickup.com/404,3.125.125.25,Nginx,3,False,,,,
158-7-251-31.channelpartners.clickup.com,,200,39,158-7-251-31.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,158-7-251-31.channelpartners.clickup.com,443,https://158-7-251-31.channelpartners.clickup.com:443,https,nginx,text/html,GET,18.194.22.112,/,319998817,https://158-7-251-31.channelpartners.clickup.com/404,3.125.125.25,Nginx,3,False,,,,
158-7-252-54.cu-prod-ie-view-service.clickup.com,,200,39,158-7-252-54.cu-prod-ie-view-service.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,158-7-252-54.cu-prod-ie-view-service.clickup.com,443,https://158-7-252-54.cu-prod-ie-view-service.clickup.com:443,https,nginx,text/html,GET,18.156.66.193,/,319998817,https://158-7-252-54.cu-prod-ie-view-service.clickup.com/404,18.194.22.112,Nginx,3,False,,,,
158-7-252-70.partner.clickup.com,,200,39,158-7-252-70.partner.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,158-7-252-70.partner.clickup.com,443,https://158-7-252-70.partner.clickup.com:443,https,nginx,text/html,GET,3.125.125.25,/,319998817,https://158-7-252-70.partner.clickup.com/404,18.156.66.193,Nginx,3,False,,,,
17-121-112-65.partner.clickup.com,,200,39,17-121-112-65.partner.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-112-65.partner.clickup.com,443,https://17-121-112-65.partner.clickup.com:443,https,nginx,text/html,GET,18.194.22.112,/,319998817,https://17-121-112-65.partner.clickup.com/404,3.125.125.25,Nginx,3,False,,,,
17-121-112-7.channelpartners.clickup.com,,200,39,17-121-112-7.channelpartners.clickup.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-10T00:00:00Z,2024-01-26T23:59:59Z,CN=*.clickup.com,*.clickup.com,*.clickup.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5beea2026d855d7380a4b2ba0c6e6841,0c25b35f1e758ccd261a8a9aadc7f3a5cd7ce492a73f01b02666c621bc7baaab,True,ctls,17-121-112-7.channelpartners.clickup.com,443,https://17-121-112-7.channelpartners.clickup.com:443,https,nginx,text/html,GET,3.125.125.25,/,319998817,https://17-121-112-7.channelpartners.clickup.com/404,18.156.66.193,Nginx,3,False,,,,
