new,host,a,soa,status_code,aaaa,cname,caa,cdn,cdn-name,mx,ns,txt
,rudderstack.staging.hummingbird.co,"104.22.0.55, 104.22.1.55, 172.67.37.28","gail.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::ac43:251c, 2606:4700:10::6816:137, 2606:4700:10::6816:37",,,True,cloudflare,,,
,sandbox.hummingbird.co,"188.114.98.229, 188.114.99.229","gail.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",,,True,cloudflare,,,
,sftp.hummingbird.co,54.69.79.96,"gail.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,sftp.sandbox.hummingbird.co,52.34.181.201,"gail.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,sftp.staging.hummingbird.co,34.214.86.121,"gail.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,sonar.hummingbird.co,18.210.77.148,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"z6dhzgpp.vanity.mixmax.com, vanity.mixmax.com, vanity-production-fde78f41e2846433.elb.us-east-1.amazonaws.com",,,,,,
,staging.hummingbird.co,"104.22.1.55, 172.67.37.28, 104.22.0.55","gail.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:37, 2606:4700:10::6816:137, 2606:4700:10::ac43:251c",,,True,cloudflare,,,
,status.hummingbird.co,"151.101.129.91, 151.101.193.91, 151.101.1.91, 151.101.65.91","ns1.fastly.net, hostmaster.fastly.com",NOERROR,,"1d411c84.sorryapp.com, n.sni.global.fastly.net",,True,fastly,,,
,www.help.hummingbird.co,"104.22.0.55, 172.67.37.28, 104.22.1.55","gail.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::6816:37, 2606:4700:10::6816:137, 2606:4700:10::ac43:251c",,,True,cloudflare,,,
,www.hummingbird.co,"199.60.103.28, 199.60.103.228","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:2c40::c73c:67e4, 2606:2c40::c73c:671c","3884849.group49.sites.hubspot.net, group49.sites.hscoscdn40.net",,,,,,
