input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,content_type,final_url,csp_domains_,tls_mismatched,location
https://au.intercom.help,Knowledge Base Software | Intercom,200,597459,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,,443,https://au.intercom.help:443,https,nginx,GET,76.223.28.196,/,-1840324437,13.248.154.55,Nginx,17,False,,,text/html,https://www.intercom.com/articles,px4.ads.linkedin.com,,
https://connect.facebook.net,Facebook - log in or sign up,200,61677,www.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-05-22T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,f5fc3bba0f418cbedab48be5c3dfa0f4,d36845d603545547aca7f4a9f22c3ec33109e282ffbe4840a143fc8c9e67a260,True,ctls,www.facebook.com,,443,https://connect.facebook.net:443,https,,GET,157.240.251.9,/,1251678133,2a03:2880:f084:d:face:b00c:0:3,HTTP/3,29,False,,"Meta Platforms, Inc.",text/html,https://www.facebook.com/,*.carriersignal.info,,
https://content.jwplatform.com,,404,15,content.jwplatform.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-12-25T23:59:59Z,CN=jwplayer.com,jwplayer.com,bitsontherun.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,56629f85ff47cbbe29d529562b37a68b,bccb8b354c9a81f9d6a42dd4ae88794427d1be2728ad83ef126e8f13a463115a,True,ctls,content.jwplatform.com,cloudfront,443,https://content.jwplatform.com:443,https,openresty,GET,18.66.147.22,/,-1179026472,2600:9000:225e:dc00:1:a3fa:7cc0:93a1,OpenResty,2,False,True,,text/plain,,,True,
https://embed.app.guidde.com,Embed guidde video,200,833,embed.app.guidde.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-02T08:18:07Z,2023-07-01T08:18:06Z,CN=embed.app.guidde.com,embed.app.guidde.com,embed.app.guidde.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dfae7d84cdf71b7922784cb5bbe789e2,b5d3a47fe50c993fe2cbbe2d0d435cdab95914920ecb1773a1e2b7104a32f937,,ctls,embed.app.guidde.com,google,443,https://embed.app.guidde.com:443,https,Google Frontend,GET,34.149.248.197,/,1990843168,34.149.248.197,HTTP/3,1,False,True,,text/html,,,,
https://fast.wistia.com,,302,90,fast.wistia.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-28T00:43:20Z,2023-10-30T00:43:19Z,CN=fast.wistia.com,fast.wistia.com,fast.wistia.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,c54855a881eb4c4908e200ff78b4ecce,8817d9b0f2e4e6d750d7abd642af81b0eab113249be5befc72456779a3e03217,,ctls,fast.wistia.com,fastly,443,https://fast.wistia.com:443,https,envoy,GET,151.101.2.110,/,837614330,2a04:4e42:600::622,Varnish,1,False,True,,text/html,https://fast.wistia.com/,,,https://fast.wistia.com/
https://fast.wistia.net,Sign in to your Wistia account,200,7159,auth.wistia.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.wistia.com,*.wistia.com,wistia.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2c9abe91ca067cc6704840d4dd3ed0ab,efed0a3cb3b70c0d3eee3bcb7a563412d55d3249f4f404c0b75bd943e1216e1e,True,ctls,auth.wistia.com,fastly,80,http://fast.wistia.net:80,http,,GET,151.101.2.110,/,837614330,2a04:4e42:600::622,HSTS,130,False,True,,text/html,https://auth.wistia.com/session/new?app=wistia,,,
https://fonts.intercomcdn.com,,403,275,fonts.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-29T23:59:59Z,CN=*.intercomcdn.com,*.intercomcdn.com,*.intercomcdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f95b60c97316f403728b1c96679e6b5b,710d11668eee2865e5441f7650219a51966fefbff87b50788ddb8e9b444fa9a2,True,ctls,fonts.intercomcdn.com,cloudfront,443,https://fonts.intercomcdn.com:443,https,AmazonS3,GET,18.66.97.2,/,1562443353,2600:9000:223c:2600:10:8536:c280:93a1,HTTP/3,2,False,True,,application/xml,,,,
https://google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,,443,https://google-analytics.com:443,https,sffe,GET,172.217.16.196,/,302920777,2a00:1450:4001:828::2004,HTTP/3,1831,False,,,text/html,https://marketingplatform.google.com/about/analytics/,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,,
https://googleadservices.com,Error 404 (Not Found)!!1,404,1561,googleadservices.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:59:59Z,2023-07-17T11:59:58Z,CN=*.googleadservices.com,*.googleadservices.com,googleadservices.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5cd131737674e9399dc250bce3982d2d,15c55d227474ae0ae7c87fe613f6b8eab17533a89d3a0a6a0eb7a5b73e55b61f,True,ctls,googleadservices.com,,443,https://googleadservices.com:443,https,sffe,GET,142.250.185.66,/,302920777,142.250.185.66,HTTP/3,12,False,,,text/html,,,,
https://googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,60de21960acc1135956a2968026b647c,3b0044e06b0f98f11a360ad2bd0f640c989df03ba6deeb8b1d3d963d4097fdfb,True,ctls,googletagmanager.com,,443,https://googletagmanager.com:443,https,Google Tag Manager,GET,142.250.184.232,/,302920777,2a00:1450:4001:813::2008,HTTP/3,12,False,,,text/html,,,,
https://intercom-help.eu,Knowledge Base Software | Intercom,200,509849,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,,443,https://intercom-help.eu:443,https,nginx,GET,3.33.199.192,/,-1840324437,15.197.195.197,Nginx,17,False,,,text/html,https://www.intercom.com/articles,app-sjqe.marketo.com,,
https://intercom-sheets.com,Making Internet Business Personal | Intercom,200,969830,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,,443,https://intercom-sheets.com:443,https,nginx,GET,44.211.195.229,/,-1840324437,54.80.248.17,Nginx,12,False,,,text/html,https://www.intercom.com/,fonts.googleapis.com,,
https://intercom.help,Knowledge Base Software | Intercom,200,597444,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,,443,https://intercom.help:443,https,nginx,GET,13.248.193.164,/,-1840324437,76.223.11.64,Nginx,17,False,,,text/html,https://www.intercom.com/articles,maxcdn.bootstrapcdn.com,,
https://intercom.skilljar.com,Intercom Academy,200,143203,academy.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-08-12T23:59:59Z,CN=academy.intercom.com,academy.intercom.com,academy.intercom.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,99cf526357e739168f8d98ab279962bc,e902cb91daf180836dcff8059b873239f6e4e29c28b3bd687fbb841df06f7051,,ctls,academy.intercom.com,,443,https://intercom.skilljar.com:443,https,gunicorn,GET,35.174.251.18,/,-1857449216,34.197.202.55,gunicorn,2233,False,,,text/html,https://academy.intercom.com/,,,
https://intercomrades.au.intercom.com,Intercom | The easiest way to see and talk to your users,200,11697,intercomrades.au.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-02-08T23:59:59Z,CN=*.au.intercom.io,*.au.intercom.io,*.mobile-messenger.au.intercom.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,981caee7c8a24ff7f99d38545198823f,e14f0f455afb8d09022322b2a8ed2cfb8f312f340f2afea2f42d46f57dd1e34d,True,ctls,intercomrades.au.intercom.com,,443,https://intercomrades.au.intercom.com:443,https,nginx,GET,54.79.239.202,/,-1840324437,13.236.174.151,Ruby on Rails,236,False,,,text/html,https://intercomrades.au.intercom.com/admins/sign_in,fonts.googleapis.com,True,
https://intercomrades.eu.intercom.com,Intercom | The easiest way to see and talk to your users,200,11665,intercomrades.eu.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-06-07T23:59:59Z,CN=*.eu.intercom.io,*.eu.intercom.io,*.intercom-clicks.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1eee4a9e8cfeefc760fd1f82e1cdeef7,c240f5f3b0b1a17c11765a6f1788972ddc95e4eea4b0b3da3c8d042e7ab78199,True,ctls,intercomrades.eu.intercom.com,,443,https://intercomrades.eu.intercom.com:443,https,nginx,GET,54.73.74.93,/,-1840324437,34.254.35.40,Ruby on Rails,236,False,,,text/html,https://intercomrades.eu.intercom.com/admins/sign_in,intercom-sheets.com,True,
https://intercomrades.intercom.com,Intercom | The easiest way to see and talk to your users,200,12148,intercomrades.intercom.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-05-10T23:59:59Z,CN=*.intercom.com,*.intercom.com,intr.cm,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c0951bf8e99caddb8b5fb0a86acd849a,8bb4b251f6aa931b7ca267c21ae35bffa2ce16bf2a329c060ff773b643a91397,True,ctls,intercomrades.intercom.com,,443,https://intercomrades.intercom.com:443,https,nginx,GET,34.192.139.231,/,-1840324437,52.206.64.205,Ruby on Rails,245,False,,,text/html,https://intercomrades.intercom.com/admins/sign_in,static.zuora.com,,
https://js.intercomcdn.com,,403,243,js.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-29T23:59:59Z,CN=*.intercomcdn.com,*.intercomcdn.com,*.intercomcdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f95b60c97316f403728b1c96679e6b5b,710d11668eee2865e5441f7650219a51966fefbff87b50788ddb8e9b444fa9a2,True,ctls,js.intercomcdn.com,cloudfront,443,https://js.intercomcdn.com:443,https,AmazonS3,GET,18.66.147.43,/,-407060732,18.66.147.3,HTTP/3,2,False,True,,application/xml,,,,
https://marketing.intercomassets.com,,403,255,marketing.intercomassets.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-07-16T23:59:59Z,CN=intercomassets.com,intercomassets.com,*.intercomassets.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ccc98dd379dd0e5de6309fd576d45bc4,d89cf4bbb1f40cb5578f6fa2fcb11d1d79006714e85fd69777cc5a8e702b9d55,True,ctls,marketing.intercomassets.com,cloudfront,443,https://marketing.intercomassets.com:443,https,AmazonS3,GET,18.66.122.54,/,941667097,18.66.122.103,HTTP/3,2,False,True,,application/xml,,,,
https://marketing.intercomcdn.com,,403,243,marketing.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-29T23:59:59Z,CN=*.intercomcdn.com,*.intercomcdn.com,*.intercomcdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f95b60c97316f403728b1c96679e6b5b,710d11668eee2865e5441f7650219a51966fefbff87b50788ddb8e9b444fa9a2,True,ctls,marketing.intercomcdn.com,cloudfront,443,https://marketing.intercomcdn.com:443,https,AmazonS3,GET,65.9.95.123,/,-452924657,65.9.95.115,HTTP/3,2,False,True,,application/xml,,,,
https://platform.twitter.com,,403,243,platform.twitter.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-21T00:00:00Z,2023-08-21T23:59:59Z,"CN=platform.twitter.com, O=Twitter\, Inc., L=San Francisco, ST=California, C=US",platform.twitter.com,platform.twitter.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,da67a469352c57a80b811a89625ecb02,9372b423d05e91d54baf0ed21badd1e94fda197e6121dca0367fdae72bf29729,,ctls,platform.twitter.com,fastly,443,https://platform.twitter.com:443,https,,GET,146.75.116.157,/,-1624489824,2606:2800:234:59:254c:406:2366:268c,,2,False,True,"Twitter, Inc.",application/xml,,,,
https://play.vidyard.com,,200,,play.vidyard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T21:42:16Z,2023-10-29T21:42:15Z,CN=*.vidyard.com,*.vidyard.com,*.vidyard.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,53d589fb3f4fde18724d8d400efe4f82,db97819c1e66551e830985fb3bfaee7898fc3b4be8da551bc62c27def754b528,True,ctls,play.vidyard.com,fastly,443,https://play.vidyard.com:443,https,,GET,146.75.121.181,/,1988711852,146.75.121.181,Varnish,1,False,True,,,,,,
https://player.vimeo.com,Features and Tools | Vimeo,200,139805,vimeo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-21T00:00:00Z,2023-09-20T23:59:59Z,"CN=vimeo.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",vimeo.com,vimeo.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",abfbe98ee21ae761e7c907a2c2b11739,194c25b1c83430e1b8571f3a61c8671e0c371c345f741e485c2458d8b9e2a85b,True,ctls,vimeo.com,cloudflare,443,https://player.vimeo.com:443,https,cloudflare,GET,162.159.138.60,/,1154390870,162.159.128.61,Varnish,1061,False,True,"Cloudflare, Inc.",text/html,https://vimeo.com/features,https:,,
https://players.brightcove.net,,404,372,players.brightcove.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-28T00:00:00Z,2023-07-28T23:59:59Z,"CN=players.brightcove.net, O=Brightcove Inc, L=Boston, ST=Massachusetts, C=US",players.brightcove.net,players.brightcove.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,301d15970a95163ea9e2ffa3cf4331a7,ba65473e8ba5af7f676e145c06416d7081280ff9a6e0f07fa4f37b3b1f69aeb4,,ctls,players.brightcove.net,,443,https://players.brightcove.net:443,https,AmazonS3,GET,23.218.209.37,/,908562264,23.218.209.37,Amazon Web Services,18,False,,Brightcove Inc,text/html,,,,
https://share.descript.com,"Descript | All-in-one video & podcast editing, easy as a doc.",200,58844,www.descript.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T18:34:09Z,2023-08-01T19:24:20Z,CN=descript.com,descript.com,blog.descript.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,b1a795c2b64d655b6db61263320e5344,6b7a961689fdca667b1dcb92b8b30380f148f717f8581667b416bba5da160305,,ctls,www.descript.com,google,443,https://share.descript.com:443,https,nginx/1.21.3,GET,34.95.113.47,/,-1099477002,34.95.113.47,Webflow,164,False,True,,text/html,https://www.descript.com,https://*.webflow.com,,
https://share.synthesia.io,Synthesia STUDIO,200,155523,share.synthesia.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T00:00:00Z,2024-04-24T23:59:59Z,CN=*.synthesia.io,*.synthesia.io,*.share.synthesia.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fb10491226e8df2f6b2d9405de6b7fbf,55d36a1cce92f484261616895909dbec0d86ca139359f31f3165bd4706da190e,True,ctls,share.synthesia.io,cloudfront,443,https://share.synthesia.io:443,https,,GET,18.66.147.37,/,-2010785863,18.66.147.111,webpack,852,False,True,,text/html,,,,
https://static.au.intercomassets.com,,403,243,static.au.intercomassets.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-08T23:59:59Z,CN=*.au.intercom.io,*.au.intercom.io,*.mobile-messenger.au.intercom.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dcd79c421952aeccf3eb988af436a7c1,4e30cfc79b6d728f32da4dfe382998429b9db79f4f182d95e71b9dc03645fb55,True,ctls,static.au.intercomassets.com,cloudfront,443,https://static.au.intercomassets.com:443,https,AmazonS3,GET,18.165.183.40,/,1180674681,18.165.183.56,HTTP/3,2,False,True,,application/xml,,,True,
https://static.intercomassets.com,,403,243,static.intercomassets.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-07-16T23:59:59Z,CN=intercomassets.com,intercomassets.com,*.intercomassets.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ccc98dd379dd0e5de6309fd576d45bc4,d89cf4bbb1f40cb5578f6fa2fcb11d1d79006714e85fd69777cc5a8e702b9d55,True,ctls,static.intercomassets.com,cloudfront,443,https://static.intercomassets.com:443,https,AmazonS3,GET,18.66.192.18,/,1477466503,18.66.192.113,HTTP/3,2,False,True,,application/xml,,,,
