input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,final_url
acc.dashboard.internet.nl,Internet.nl Dashboard,200,3056,acc.dashboard.internet.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-31T12:04:33Z,2023-08-29T12:04:32Z,CN=ipv6.acc.dashboard.internet.nl,ipv6.acc.dashboard.internet.nl,ipv6.acc.dashboard.internet.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,30c380a2b8598f37fc9c672783a88b3e,0cb97060e69783fa3b6353ecb351bd6d58023a2623a63a0350a635635e18c5be,ctls,acc.dashboard.internet.nl,443,https://acc.dashboard.internet.nl:443,https,nginx/1.25.1,text/html,GET,149.210.150.226,/,-1800445419,2a01:7c8:aab2:3f::1,Nginx:1.25.1,1,False,https://matomo.internet.nl,
baiduspider-116-179-32-92.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,baiduspider-116-179-32-92.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,baiduspider-116-179-32-92.test-ns-signed.internet.nl,443,https://baiduspider-116-179-32-92.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,2044274707,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,,
batch.internet.nl,401 Unauthorized,401,381,batch.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-07T00:00:00Z,2024-03-16T23:59:59Z,CN=batch.internet.nl,batch.internet.nl,www.batch.internet.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,224134eb54b2850f6b0d1220715a243e,f3b798772661b760db7a030fcde47b07e6267f6829bc1cb3a04c4ee8ecae9885,ctls,batch.internet.nl,443,https://batch.internet.nl:443,https,intentionally-undisclosed-internetnl-139sj2W9kB8,text/html,GET,62.204.66.12,/,-1042534128,2a00:d00:ff:162:62:204:66:12,HSTS,13,False,,
bd953bbf1faf4afd917be364a4f4510a.a.conn.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,bd953bbf1faf4afd917be364a4f4510a.a.conn.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,bd953bbf1faf4afd917be364a4f4510a.a.conn.test-ns-signed.internet.nl,443,https://bd953bbf1faf4afd917be364a4f4510a.a.conn.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-1989578,62.204.66.10,HSTS,2,False,,
bethany.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,bethany.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,bethany.test-ns-signed.internet.nl,443,https://bethany.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,207784775,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,,
c2focus-qa1.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,c2focus-qa1.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,c2focus-qa1.test-ns-signed.internet.nl,443,https://c2focus-qa1.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-1082421936,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,,
chat-gateway113-prodrx.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,chat-gateway113-prodrx.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,chat-gateway113-prodrx.test-ns-signed.internet.nl,443,https://chat-gateway113-prodrx.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,463317534,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,,
chat-gateway274-prod.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,chat-gateway274-prod.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,chat-gateway274-prod.test-ns-signed.internet.nl,443,https://chat-gateway274-prod.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,1158244092,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,,
configsftp.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,configsftp.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,configsftp.test-ns-signed.internet.nl,443,https://configsftp.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-54967141,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,,
conn.internet.nl,emailveilig.internet.nl,200,94665,conn.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,conn.internet.nl,443,https://conn.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,857773775,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,,
dashboard.internet.nl,Internet.nl Dashboard,200,1296,dashboard.internet.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-22T17:00:44Z,2023-08-20T17:00:43Z,CN=dashboard.internet.nl,dashboard.internet.nl,ipv6.dashboard.internet.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c2d1650c26c019d11b1f90ad6b82ed5c,43a2c0bdf905a36c1b5a6d907ce2406337dc8c67a719201deaf54bbf55316336,ctls,dashboard.internet.nl,443,https://dashboard.internet.nl:443,https,nginx/1.23.3,text/html,GET,149.210.144.250,/,1739965551,2a01:7c8:aab1:2c::1,Nginx:1.23.3,1,False,https://matomo.internet.nl,
dev.batch.internet.nl,401 Unauthorized,401,381,dev.batch.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-07T00:00:00Z,2024-03-17T23:59:59Z,CN=dev.batch.internet.nl,dev.batch.internet.nl,www.dev.batch.internet.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ead8b33ef0ca766b6517e2d8b983122a,5fe7dae52af8863b336bc5d78590cb452d26d4e324f6cd3831eb50a84a5bf903,ctls,dev.batch.internet.nl,443,https://dev.batch.internet.nl:443,https,Apache,text/html,GET,62.204.66.17,/,-1042534128,2a00:d00:ff:162:62:204:66:17,HSTS,13,False,,
dev.internet.nl,401 Unauthorized,401,463,dev.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-08-17T00:00:00Z,2023-08-23T23:59:59Z,CN=dev.internet.nl,dev.internet.nl,www.dev.internet.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,8df5c6d3aad5633a5564d66c27bea8d9,10629c3b6d86acc317ad77988b5c5e3f0d61e65559d1ae9b502b6d21714c1403,ctls,dev.internet.nl,443,https://dev.internet.nl:443,https,intentionally-undisclosed-internetnl-139sj2W9kB8,text/html,GET,62.204.66.15,/,-1108208529,2a00:d00:ff:162:62:204:66:15,HSTS,15,False,,
drdev02-mtnjftle01.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,drdev02-mtnjftle01.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,drdev02-mtnjftle01.test-ns-signed.internet.nl,443,https://drdev02-mtnjftle01.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-1294241953,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,,
e-mailveilig.internet.nl,emailveilig.internet.nl,200,94665,emailveilig.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,emailveilig.internet.nl,443,https://e-mailveilig.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-575151554,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,,https://emailveilig.internet.nl
ec2-lux-api-mxp61.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,ec2-lux-api-mxp61.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,ec2-lux-api-mxp61.test-ns-signed.internet.nl,443,https://ec2-lux-api-mxp61.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,1693959796,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,,
eipam-plan2.test-ns-signed.internet.nl,emailveilig.internet.nl,200,94665,eipam-plan2.test-ns-signed.internet.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-10-19T00:00:00Z,2023-10-20T23:59:59Z,CN=internet.nl,internet.nl,www.platforminternetstandaarden.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10c0fab31ba8ba8597d30fb10b7c3cc0,58effc5f1498344cd497b82185aa5eb9978ef676ff2396297fb3d53752a35564,ctls,eipam-plan2.test-ns-signed.internet.nl,443,https://eipam-plan2.test-ns-signed.internet.nl:443,https,Apache,text/html,GET,62.204.66.10,/,-1020247464,2a00:d00:ff:162:62:204:66:10,HSTS,2,False,,
