input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_subject_org_,tech_,cdn_name,webserver,cdn,csp_domains_,final_url
alerus.beta.blendlabs.com,,200,122967,alerus.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-17T20:03:22Z,2023-10-15T20:03:21Z,CN=*.beta.blendlabs.com,*.beta.blendlabs.com,*.beta.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ec4f8237b8e16ff210dac80729761625,6363c103a9da7f06850fe48653bd6705521d0d2d68cab3405bb7fbf3f4cd138e,True,ctls,alerus.beta.blendlabs.com,443,https://alerus.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,1280791325,172.65.228.100,33,False,,Plaid,cloudflare,,True,http://bl-sandbox-cp-applicant-visual-testing.s3-website-us-east-1.amazonaws.com,
alerus.blendlabs.com,Not Found,404,12379,alerus.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-12T03:39:24Z,2023-10-10T03:39:23Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21ef34a02bac350a30f1e8a24f8b2e82,fef5f048b5e3531edaf946d191bc3b964c583d315185e858a81cd29900e6fcdd,True,ctls,alerus.blendlabs.com,443,https://alerus.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,161,False,,,cloudflare,,True,,
allentate.beta.blendlabs.com,,200,118592,allentate.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-17T20:03:22Z,2023-10-15T20:03:21Z,CN=*.beta.blendlabs.com,*.beta.blendlabs.com,*.beta.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ec4f8237b8e16ff210dac80729761625,6363c103a9da7f06850fe48653bd6705521d0d2d68cab3405bb7fbf3f4cd138e,True,ctls,allentate.beta.blendlabs.com,443,https://allentate.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,33,False,,Plaid,cloudflare,,True,https://sentry-relay-proxy.k8s.tools.blend.com,
allentate.blendlabs.com,Not Found,404,12379,allentate.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-12T03:39:24Z,2023-10-10T03:39:23Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21ef34a02bac350a30f1e8a24f8b2e82,fef5f048b5e3531edaf946d191bc3b964c583d315185e858a81cd29900e6fcdd,True,ctls,allentate.blendlabs.com,443,https://allentate.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,161,False,,,cloudflare,,True,,
allincu.beta.blendlabs.com,,200,118556,allincu.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-17T20:03:22Z,2023-10-15T20:03:21Z,CN=*.beta.blendlabs.com,*.beta.blendlabs.com,*.beta.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ec4f8237b8e16ff210dac80729761625,6363c103a9da7f06850fe48653bd6705521d0d2d68cab3405bb7fbf3f4cd138e,True,ctls,allincu.beta.blendlabs.com,443,https://allincu.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,33,False,,Plaid,cloudflare,,True,https://sentry-relay.k8s.tools.blend.com,
allwestern.beta.blendlabs.com,,200,125875,allwestern.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-17T20:03:22Z,2023-10-15T20:03:21Z,CN=*.beta.blendlabs.com,*.beta.blendlabs.com,*.beta.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ec4f8237b8e16ff210dac80729761625,6363c103a9da7f06850fe48653bd6705521d0d2d68cab3405bb7fbf3f4cd138e,True,ctls,allwestern.beta.blendlabs.com,443,https://allwestern.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,33,False,,Plaid,cloudflare,,True,https://bl-prod-connex-static-assets.s3.amazonaws.com,
allwestern.blendlabs.com,Not Found,404,12379,allwestern.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-12T03:39:24Z,2023-10-10T03:39:23Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21ef34a02bac350a30f1e8a24f8b2e82,fef5f048b5e3531edaf946d191bc3b964c583d315185e858a81cd29900e6fcdd,True,ctls,allwestern.blendlabs.com,443,https://allwestern.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,161,False,,,cloudflare,,True,,
alpinebank.blendlabs.com,Not Found,404,12379,alpinebank.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-12T03:39:24Z,2023-10-10T03:39:23Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21ef34a02bac350a30f1e8a24f8b2e82,fef5f048b5e3531edaf946d191bc3b964c583d315185e858a81cd29900e6fcdd,True,ctls,alpinebank.blendlabs.com,443,https://alpinebank.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,161,False,,,cloudflare,,True,,
amc.beta.blendlabs.com,,200,119502,amc.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-17T20:03:22Z,2023-10-15T20:03:21Z,CN=*.beta.blendlabs.com,*.beta.blendlabs.com,*.beta.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ec4f8237b8e16ff210dac80729761625,6363c103a9da7f06850fe48653bd6705521d0d2d68cab3405bb7fbf3f4cd138e,True,ctls,amc.beta.blendlabs.com,443,https://amc.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,33,False,,Plaid,cloudflare,,True,https://eclose-docmagic-proxy.k8s.beta.blend.com,
amc.blendlabs.com,Not Found,404,12379,amc.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-12T03:39:24Z,2023-10-10T03:39:23Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21ef34a02bac350a30f1e8a24f8b2e82,fef5f048b5e3531edaf946d191bc3b964c583d315185e858a81cd29900e6fcdd,True,ctls,amc.blendlabs.com,443,https://amc.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,161,False,,,cloudflare,,True,,
americafirst.beta.blendlabs.com,,200,126022,americafirst.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-17T20:03:22Z,2023-10-15T20:03:21Z,CN=*.beta.blendlabs.com,*.beta.blendlabs.com,*.beta.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ec4f8237b8e16ff210dac80729761625,6363c103a9da7f06850fe48653bd6705521d0d2d68cab3405bb7fbf3f4cd138e,True,ctls,americafirst.beta.blendlabs.com,443,https://americafirst.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,33,False,,Plaid,cloudflare,,True,https://cdn.plaid.com/link/v2/stable/link-initialize.js,
americanairlinescu.beta.blendlabs.com,,200,117887,americanairlinescu.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-17T20:03:22Z,2023-10-15T20:03:21Z,CN=*.beta.blendlabs.com,*.beta.blendlabs.com,*.beta.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ec4f8237b8e16ff210dac80729761625,6363c103a9da7f06850fe48653bd6705521d0d2d68cab3405bb7fbf3f4cd138e,True,ctls,americanairlinescu.beta.blendlabs.com,443,https://americanairlinescu.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,-1419682466,172.65.228.100,33,False,,Plaid,cloudflare,,True,https://apps.e-signlive.com,
americanfpg.blendlabs.com,,200,80644,americanfpg.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-07T03:01:59Z,2023-09-05T03:01:58Z,CN=americanfpg.blendlabs.com,americanfpg.blendlabs.com,americanfpg.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6a8be8d16242b7539e20e3085c55b15c,b2280300d83b7fd5be65e3c2bda45562b7cef89449301941eb0e0c349a4b48e6,,ctls,americanfpg.blendlabs.com,443,https://americanfpg.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,477133321,172.65.242.70,33,False,,Plaid,cloudflare,,True,*.snapengage.com,
americanmortgage.blendlabs.com,,200,80861,americanmortgage.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-07T02:49:30Z,2023-09-05T02:49:29Z,CN=americanmortgage.blendlabs.com,americanmortgage.blendlabs.com,americanmortgage.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4d3c6464efebac8880b4e886c0008669,4d32e5d672434ac4f3efa82d3c9a8fd958ed83af05101affc49a5bdd1d6e3ead,,ctls,americanmortgage.blendlabs.com,443,https://americanmortgage.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,477133321,172.65.242.70,33,False,,Plaid,cloudflare,,True,https://bl-prod-uploaded-assets.s3.amazonaws.com,
amerifirst.beta.blendlabs.com,,200,107013,amerifirst.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-17T20:03:22Z,2023-10-15T20:03:21Z,CN=*.beta.blendlabs.com,*.beta.blendlabs.com,*.beta.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ec4f8237b8e16ff210dac80729761625,6363c103a9da7f06850fe48653bd6705521d0d2d68cab3405bb7fbf3f4cd138e,True,ctls,amerifirst.beta.blendlabs.com,443,https://amerifirst.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,33,False,,Plaid,cloudflare,,True,https://maps.googleapis.com,
amerifirst.blendlabs.com,,400,28,amerifirst.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-12T03:39:24Z,2023-10-10T03:39:23Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21ef34a02bac350a30f1e8a24f8b2e82,fef5f048b5e3531edaf946d191bc3b964c583d315185e858a81cd29900e6fcdd,True,ctls,amerifirst.blendlabs.com,443,https://amerifirst.blendlabs.com:443,https,text/html,GET,52.5.58.108,/,-2025574194,54.174.21.110,1,False,,,,,,,
amplify.beta.blendlabs.com,,200,123923,amplify.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-17T20:03:22Z,2023-10-15T20:03:21Z,CN=*.beta.blendlabs.com,*.beta.blendlabs.com,*.beta.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ec4f8237b8e16ff210dac80729761625,6363c103a9da7f06850fe48653bd6705521d0d2d68cab3405bb7fbf3f4cd138e,True,ctls,amplify.beta.blendlabs.com,443,https://amplify.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,1339997255,172.65.228.100,33,False,,Plaid,cloudflare,,True,https://apps.e-signlive.com,
amplify.blendlabs.com,Not Found,404,12379,amplify.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-12T03:39:24Z,2023-10-10T03:39:23Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21ef34a02bac350a30f1e8a24f8b2e82,fef5f048b5e3531edaf946d191bc3b964c583d315185e858a81cd29900e6fcdd,True,ctls,amplify.blendlabs.com,443,https://amplify.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,161,False,,,cloudflare,,True,,
anb.beta.blendlabs.com,,200,126868,anb.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-17T20:03:22Z,2023-10-15T20:03:21Z,CN=*.beta.blendlabs.com,*.beta.blendlabs.com,*.beta.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ec4f8237b8e16ff210dac80729761625,6363c103a9da7f06850fe48653bd6705521d0d2d68cab3405bb7fbf3f4cd138e,True,ctls,anb.beta.blendlabs.com,443,https://anb.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,-1320187827,172.65.228.100,33,False,,Plaid,cloudflare,,True,https://bl-prod-uploaded-assets.s3.amazonaws.com,
animo.beta.blendlabs.com,,200,125509,animo.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-17T20:03:22Z,2023-10-15T20:03:21Z,CN=*.beta.blendlabs.com,*.beta.blendlabs.com,*.beta.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ec4f8237b8e16ff210dac80729761625,6363c103a9da7f06850fe48653bd6705521d0d2d68cab3405bb7fbf3f4cd138e,True,ctls,animo.beta.blendlabs.com,443,https://animo.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,-1087670938,172.65.228.100,33,False,,Plaid,cloudflare,,True,https://pixel.k8s.beta.blend.com,
api.beta.blendlabs.com,,200,42,api.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-07T17:48:51Z,2023-10-05T17:48:50Z,CN=api.beta.blend.com,api.beta.blend.com,api.k8s.beta.blend.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5b48d619cbfceac671676d6c23fd9d78,545b54a2ead161b54b223987d792c41c6c0e2eeafe8ac87c5015067d8ae50bb0,,ctls,api.beta.blendlabs.com,443,https://api.beta.blendlabs.com:443,https,text/html,GET,54.198.196.38,/,477133321,54.152.222.63,1,False,,HSTS,,,,https://fonts.googleapis.com,
api.blend.com,,200,42,api.blend.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-01T00:00:00Z,2023-11-30T23:59:59Z,"CN=api.blend.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",api.blend.com,api.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a028234d3915f0cb0ed82e28af8c636c,f8d14c22474fabaadd7624ef7e317cdcae1d3189af81412f51c02abb94e6705f,,ctls,api.blend.com,443,https://api.blend.com:443,https,text/html,GET,54.226.107.136,/,477133321,34.237.31.57,1,False,"Blend Labs, Inc.",HSTS,,,,https://fonts.gstatic.com,
api.blendlabs.com,,200,42,api.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-01T00:00:00Z,2023-11-30T23:59:59Z,"CN=api.blend.com, O=Blend Labs\, Inc., L=San Francisco, ST=California, C=US",api.blend.com,api.blendlabs.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a028234d3915f0cb0ed82e28af8c636c,f8d14c22474fabaadd7624ef7e317cdcae1d3189af81412f51c02abb94e6705f,,ctls,api.blendlabs.com,443,https://api.blendlabs.com:443,https,text/html,GET,54.205.164.76,/,477133321,54.147.127.94,1,False,"Blend Labs, Inc.",HSTS,,,,https://fonts.gstatic.com,
apmc.blendlabs.com,Not Found,404,12379,apmc.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-12T03:39:24Z,2023-10-10T03:39:23Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21ef34a02bac350a30f1e8a24f8b2e82,fef5f048b5e3531edaf946d191bc3b964c583d315185e858a81cd29900e6fcdd,True,ctls,apmc.blendlabs.com,443,https://apmc.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,161,False,,,cloudflare,,True,,
armstrong.beta.blendlabs.com,,200,117177,armstrong.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-17T20:03:22Z,2023-10-15T20:03:21Z,CN=*.beta.blendlabs.com,*.beta.blendlabs.com,*.beta.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ec4f8237b8e16ff210dac80729761625,6363c103a9da7f06850fe48653bd6705521d0d2d68cab3405bb7fbf3f4cd138e,True,ctls,armstrong.beta.blendlabs.com,443,https://armstrong.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,1182118479,172.65.228.100,33,False,,Plaid,cloudflare,,True,fonts.googleapis.com,
asm.beta.blendlabs.com,,200,119562,asm.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-17T20:03:22Z,2023-10-15T20:03:21Z,CN=*.beta.blendlabs.com,*.beta.blendlabs.com,*.beta.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ec4f8237b8e16ff210dac80729761625,6363c103a9da7f06850fe48653bd6705521d0d2d68cab3405bb7fbf3f4cd138e,True,ctls,asm.beta.blendlabs.com,443,https://asm.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,477133321,172.65.228.100,33,False,,Plaid,cloudflare,,True,https://storage.googleapis.com/code.snapengage.com/,
asm.blendlabs.com,Not Found,404,12379,asm.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-12T03:39:24Z,2023-10-10T03:39:23Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21ef34a02bac350a30f1e8a24f8b2e82,fef5f048b5e3531edaf946d191bc3b964c583d315185e858a81cd29900e6fcdd,True,ctls,asm.blendlabs.com,443,https://asm.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,161,False,,,cloudflare,,True,,
assent.beta.blendlabs.com,,200,120454,assent.beta.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-17T20:03:22Z,2023-10-15T20:03:21Z,CN=*.beta.blendlabs.com,*.beta.blendlabs.com,*.beta.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ec4f8237b8e16ff210dac80729761625,6363c103a9da7f06850fe48653bd6705521d0d2d68cab3405bb7fbf3f4cd138e,True,ctls,assent.beta.blendlabs.com,443,https://assent.beta.blendlabs.com:443,https,text/html,GET,172.65.228.100,/,1826013628,172.65.228.100,33,False,,Plaid,cloudflare,,True,https://apps.e-signlive.com,
assent.blendlabs.com,Not Found,404,12379,assent.blendlabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-12T03:39:24Z,2023-10-10T03:39:23Z,CN=*.k8s.prod.blend.com,*.k8s.prod.blend.com,prod.us-west-2.blendlabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,21ef34a02bac350a30f1e8a24f8b2e82,fef5f048b5e3531edaf946d191bc3b964c583d315185e858a81cd29900e6fcdd,True,ctls,assent.blendlabs.com,443,https://assent.blendlabs.com:443,https,text/html,GET,172.65.242.70,/,546987192,172.65.242.70,161,False,,,cloudflare,,True,,
