input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url
embedr-production.flickr.com,Find your inspiration. | Flickr,200,335191,www.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,www.flickr.com,,443,https://embedr-production.flickr.com:443,https,,text/html,GET,34.196.59.104,/,-2097823674,34.200.157.125,Amazon Web Services,974,False,,https://browser.sentry-cdn.com,https://www.flickr.com
farm1.static.flickr.com,,200,379,farm1.static.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-01-11T23:59:59Z,CN=static.flickr.com,static.flickr.com,*.staticflickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4aba5f789b6cfd592494b21b59f00f8d,43c83c07ff54efa4dbb99007de1361317d3e32e407225e299c899bf494e2ac8c,True,ctls,farm1.static.flickr.com,cloudfront,443,https://farm1.static.flickr.com:443,https,Jubilee,text/html,GET,18.66.105.80,/,878784147,18.66.105.80,Amazon Web Services,9,False,True,,
farm4.static.flickr.com,,200,379,farm4.static.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-01-11T23:59:59Z,CN=static.flickr.com,static.flickr.com,*.staticflickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4aba5f789b6cfd592494b21b59f00f8d,43c83c07ff54efa4dbb99007de1361317d3e32e407225e299c899bf494e2ac8c,True,ctls,farm4.static.flickr.com,cloudfront,443,https://farm4.static.flickr.com:443,https,Jubilee,text/html,GET,18.66.105.80,/,878784147,18.66.105.80,Amazon Web Services,9,False,True,,
farm5.static.flickr.com,,200,379,farm5.static.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-01-11T23:59:59Z,CN=static.flickr.com,static.flickr.com,*.staticflickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4aba5f789b6cfd592494b21b59f00f8d,43c83c07ff54efa4dbb99007de1361317d3e32e407225e299c899bf494e2ac8c,True,ctls,farm5.static.flickr.com,cloudfront,443,https://farm5.static.flickr.com:443,https,Jubilee,text/html,GET,18.66.105.80,/,878784147,18.66.105.80,Amazon Web Services,9,False,True,,
farm6.static.flickr.com,,200,379,farm6.static.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-01-11T23:59:59Z,CN=static.flickr.com,static.flickr.com,*.staticflickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4aba5f789b6cfd592494b21b59f00f8d,43c83c07ff54efa4dbb99007de1361317d3e32e407225e299c899bf494e2ac8c,True,ctls,farm6.static.flickr.com,cloudfront,443,https://farm6.static.flickr.com:443,https,Jubilee,text/html,GET,18.66.105.80,/,878784147,18.66.105.80,Amazon Web Services,9,False,True,,
farm66.static.flickr.com,,200,379,farm66.static.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-01-11T23:59:59Z,CN=static.flickr.com,static.flickr.com,*.staticflickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4aba5f789b6cfd592494b21b59f00f8d,43c83c07ff54efa4dbb99007de1361317d3e32e407225e299c899bf494e2ac8c,True,ctls,farm66.static.flickr.com,cloudfront,443,https://farm66.static.flickr.com:443,https,Jubilee,text/html,GET,18.66.105.80,/,878784147,18.66.105.80,Amazon Web Services,9,False,True,,
farm7.static.flickr.com,,200,379,farm7.static.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-01-11T23:59:59Z,CN=static.flickr.com,static.flickr.com,*.staticflickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4aba5f789b6cfd592494b21b59f00f8d,43c83c07ff54efa4dbb99007de1361317d3e32e407225e299c899bf494e2ac8c,True,ctls,farm7.static.flickr.com,cloudfront,443,https://farm7.static.flickr.com:443,https,Jubilee,text/html,GET,18.66.105.80,/,878784147,18.66.105.80,Amazon Web Services,9,False,True,,
farm8.static.flickr.com,,200,379,farm8.static.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-01-11T23:59:59Z,CN=static.flickr.com,static.flickr.com,*.staticflickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4aba5f789b6cfd592494b21b59f00f8d,43c83c07ff54efa4dbb99007de1361317d3e32e407225e299c899bf494e2ac8c,True,ctls,farm8.static.flickr.com,cloudfront,443,https://farm8.static.flickr.com:443,https,Jubilee,text/html,GET,18.66.105.80,/,878784147,18.66.105.80,Amazon Web Services,9,False,True,,
farm9.static.flickr.com,,200,379,farm9.static.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-01-11T23:59:59Z,CN=static.flickr.com,static.flickr.com,*.staticflickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4aba5f789b6cfd592494b21b59f00f8d,43c83c07ff54efa4dbb99007de1361317d3e32e407225e299c899bf494e2ac8c,True,ctls,farm9.static.flickr.com,cloudfront,443,https://farm9.static.flickr.com:443,https,Jubilee,text/html,GET,18.66.105.80,/,878784147,18.66.105.80,Amazon Web Services,9,False,True,,
flickr.com,Find your inspiration. | Flickr,200,334071,flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,flickr.com,cloudfront,443,https://flickr.com:443,https,,text/html,GET,143.204.209.183,/,-1366882441,143.204.209.183,Amazon Web Services,961,False,True,https://*.flickrprints.net,
flimg.flickr.com,,400,11,flimg.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,flimg.flickr.com,cloudfront,443,https://flimg.flickr.com:443,https,,text/plain,GET,108.138.17.43,/,801085033,108.138.17.86,Amazon Web Services,1,False,True,,
guce.flickr.com,ERROR: The request could not be satisfied,403,915,guce.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,guce.flickr.com,cloudfront,443,https://guce.flickr.com:443,https,CloudFront,text/html,GET,143.204.209.183,/,1995650018,2600:9000:214f:2400:1b:3d3c:224a:1261,Amazon Web Services,20,False,True,,
heartbeat.flickr.com,Find your inspiration. | Flickr,200,334116,heartbeat.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,heartbeat.flickr.com,cloudfront,443,https://heartbeat.flickr.com:443,https,,text/html,GET,143.204.209.183,/,-1366882441,143.204.209.183,Amazon Web Services,961,False,True,https://*.flickrprints.com,
help-dev.flickr.com,Security check,403,7654,www.flickrhelp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-02T23:42:40Z,2023-07-01T23:42:39Z,CN=www.flickrhelp.com,www.flickrhelp.com,www.flickrhelp.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bd0e98fa9713283c1b306e772f985c9c,c248102fe02bccd17691421efbbe7e8f694d53f3d58c45411631c34ba987b9ca,,ctls,www.flickrhelp.com,,443,https://help-dev.flickr.com:443,https,cloudflare,text/html,GET,3.209.180.246,/,-1279294674,54.158.49.167,Cloudflare,103,False,,,https://www.flickrhelp.com/hc/en-us
help.flickr.com,Security check,403,7785,www.flickrhelp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-02T23:42:40Z,2023-07-01T23:42:39Z,CN=www.flickrhelp.com,www.flickrhelp.com,www.flickrhelp.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bd0e98fa9713283c1b306e772f985c9c,c248102fe02bccd17691421efbbe7e8f694d53f3d58c45411631c34ba987b9ca,,ctls,www.flickrhelp.com,,443,https://help.flickr.com:443,https,cloudflare,text/html,GET,54.158.49.167,/,233343008,3.209.180.246,Cloudflare,103,False,,,https://www.flickrhelp.com/hc/en-us
hero.flickr.com,Find your inspiration. | Flickr,200,334083,hero.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,hero.flickr.com,cloudfront,443,https://hero.flickr.com:443,https,,text/html,GET,143.204.209.183,/,-1366882441,143.204.209.183,Amazon Web Services,961,False,True,https://securepubads.g.doubleclick.net,
identity-production.flickr.com,Flickr Login,200,1056,identity-production.flickr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,identity-production.flickr.com,,443,https://identity-production.flickr.com:443,https,,text/html,GET,52.44.38.103,/,-1366882441,54.161.56.149,HSTS,5,False,,assets.adobedtm.com,
identity.flickr.com,Flickr,200,332423,www.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,www.flickr.com,,443,https://identity.flickr.com:443,https,,text/html,GET,34.196.152.168,/,1628494203,52.44.38.103,Amazon Web Services,1134,False,,https://*.infolinks.com,https://www.flickr.com/browser/upgrade/?ref=login&rid=ffbd4349
kbounces.flickr.com,Postmark — Email delivery for web apps,200,4374,,,,,,,,,,,,,,,,,,,,,80,http://kbounces.flickr.com:80,http,AmazonS3,text/html,GET,138.197.30.54,/,-1457628171,138.197.30.54,Amazon Web Services,85,False,,,
links.flickr.com,Find your inspiration. | Flickr,200,355077,flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,flickr.com,cloudfront,443,https://links.flickr.com:443,https,,text/html,GET,18.66.122.5,/,-1702097370,18.66.122.65,Amazon Web Services,929,False,True,https://btlr.sharethrough.com,https://flickr.com
links1.flickr.com,404 Not Found,404,150,links1.flickr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-09T00:00:00Z,2023-11-23T23:59:59Z,CN=spgo.io,spgo.io,spgo1.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b48d2faa8da96be2c64964e60e5b333f,24aec451a732f9ce5cc82cdefd7dd980c9959bcba2bbe70c2fb5803680f2528b,True,ctls,links1.flickr.com,,443,https://links1.flickr.com:443,https,msys-http,text/plain,GET,35.164.134.177,/,-1840324437,52.42.108.239,,8,False,,,
live-appletv.flickr.com,,200,15,live-appletv.flickr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,live-appletv.flickr.com,,443,https://live-appletv.flickr.com:443,https,,text/html,GET,54.156.156.230,/,-1456221551,174.129.20.78,,1,False,,,
live-cf.flickr.com,Find your inspiration. | Flickr,200,335201,live-cf.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,live-cf.flickr.com,cloudfront,443,https://live-cf.flickr.com:443,https,,text/html,GET,143.204.209.183,/,-1366882441,143.204.209.183,Amazon Web Services,974,False,True,https://dis.criteo.com,
live-embedr.flickr.com,Find your inspiration. | Flickr,200,355136,www.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,www.flickr.com,,443,https://live-embedr.flickr.com:443,https,,text/html,GET,34.200.157.125,/,-2097823674,34.196.59.104,Amazon Web Services,929,False,,https://*.doubleclick.net/,https://www.flickr.com
live-haproxy.flickr.com,Find your inspiration. | Flickr,200,557521,live-haproxy.flickr.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,live-haproxy.flickr.com,,443,https://live-haproxy.flickr.com:443,https,,text/html,GET,54.158.90.87,/,-1366882441,34.234.179.203,,967,False,,https://prg.smartadserver.com,
live-jubilee.flickr.com,,200,379,live-jubilee.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-02-23T00:00:00Z,2024-01-11T23:59:59Z,CN=static.flickr.com,static.flickr.com,*.staticflickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4aba5f789b6cfd592494b21b59f00f8d,43c83c07ff54efa4dbb99007de1361317d3e32e407225e299c899bf494e2ac8c,True,ctls,live-jubilee.flickr.com,cloudfront,443,https://live-jubilee.flickr.com:443,https,Jubilee,text/html,GET,18.66.105.80,/,878784147,18.66.105.80,Amazon Web Services,9,False,True,,
m.flickr.com,Flickr,200,2531,m.flickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-07T00:00:00Z,2024-04-04T23:59:59Z,CN=flickr.com,flickr.com,flic.kr,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c1efb5f0297bec7233c748f031024e7c,380728ef8096e6adea277949e77d1492b3db43745c57a3bd95461a61648ce256,True,ctls,m.flickr.com,cloudfront,443,https://m.flickr.com:443,https,Apache/2.4.57 (Ubuntu),text/html,GET,143.204.209.183,/,-1366882441,143.204.209.183,Ubuntu,122,False,True,url=https://www.flickr.com/,
photos1.flickr.com,,404,,live.staticflickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-01-11T23:59:59Z,CN=static.flickr.com,static.flickr.com,*.staticflickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4aba5f789b6cfd592494b21b59f00f8d,43c83c07ff54efa4dbb99007de1361317d3e32e407225e299c899bf494e2ac8c,True,ctls,live.staticflickr.com,,443,https://photos1.flickr.com:443,https,nginx,text/html,GET,18.213.106.170,/,-1840324437,54.158.90.87,Nginx,1,False,,,https://live.staticflickr.com/1/
photos10.flickr.com,,404,,live.staticflickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-01-11T23:59:59Z,CN=static.flickr.com,static.flickr.com,*.staticflickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4aba5f789b6cfd592494b21b59f00f8d,43c83c07ff54efa4dbb99007de1361317d3e32e407225e299c899bf494e2ac8c,True,ctls,live.staticflickr.com,,443,https://photos10.flickr.com:443,https,nginx,text/html,GET,34.234.249.51,/,-1840324437,18.213.106.170,Nginx,1,False,,,https://live.staticflickr.com/10/
photos11.flickr.com,,404,,live.staticflickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-01-11T23:59:59Z,CN=static.flickr.com,static.flickr.com,*.staticflickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4aba5f789b6cfd592494b21b59f00f8d,43c83c07ff54efa4dbb99007de1361317d3e32e407225e299c899bf494e2ac8c,True,ctls,live.staticflickr.com,,443,https://photos11.flickr.com:443,https,nginx,text/html,GET,34.234.249.51,/,-1840324437,52.2.120.77,Nginx,1,False,,,https://live.staticflickr.com/11/
photos12.flickr.com,,404,,live.staticflickr.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-01-11T23:59:59Z,CN=static.flickr.com,static.flickr.com,*.staticflickr.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4aba5f789b6cfd592494b21b59f00f8d,43c83c07ff54efa4dbb99007de1361317d3e32e407225e299c899bf494e2ac8c,True,ctls,live.staticflickr.com,,443,https://photos12.flickr.com:443,https,nginx,text/html,GET,18.213.106.170,/,-1840324437,54.158.90.87,Nginx,1,False,,,https://live.staticflickr.com/12/
