input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url
partners.opensea.io,Make waves. Drop on OpenSea.,200,63998,partners.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,partners.opensea.io,cloudflare,443,https://partners.opensea.io:443,https,cloudflare,text/html,GET,104.18.12.217,/,2020651363,2606:4700::6812:cd9,Webflow,433,False,True,https://partners.opensea.io/drops
pro.opensea.io,OpenSea Pro: The most powerful NFT Marketplace Aggregator,200,56510,pro.opensea.io,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-04-04T13:07:34Z,2023-07-03T13:07:33Z,CN=pro.opensea.io,pro.opensea.io,pro.opensea.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2d9b9d206a81085f988c4254cd613fb5,1b6e185a70e223b675279a1d38dcef230ea295fe85cd2db43e37fdd4e54812e0,,ctls,pro.opensea.io,,443,https://pro.opensea.io:443,https,Vercel,text/html,GET,76.76.21.61,/,-788962156,76.76.21.164,webpack,40,False,,
rinkeby-storage.opensea.io,,403,111,rinkeby-storage.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,rinkeby-storage.opensea.io,cloudflare,443,https://rinkeby-storage.opensea.io:443,https,cloudflare,application/xml,GET,104.18.13.217,/,2028370544,2606:4700::6812:cd9,HSTS,1,False,True,
rinkeby.opensea.io,,403,16,testnets.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,testnets.opensea.io,cloudflare,443,https://rinkeby.opensea.io:443,https,cloudflare,text/plain,GET,104.18.13.217,/,1253481126,2606:4700::6812:cd9,HSTS,1,False,True,https://testnets.opensea.io/
shape.opensea.io,,404,48,shape.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,shape.opensea.io,cloudflare,443,https://shape.opensea.io:443,https,cloudflare,application/json,GET,104.18.12.217,/,834205737,2606:4700::6812:dd9,HSTS,1,False,True,
shape.testnets.opensea.io,,404,48,shape.testnets.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,shape.testnets.opensea.io,cloudflare,443,https://shape.testnets.opensea.io:443,https,cloudflare,application/json,GET,104.18.13.217,/,834205737,2606:4700::6812:dd9,HSTS,1,False,True,
static.opensea.io,,403,111,static.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,static.opensea.io,cloudflare,443,https://static.opensea.io:443,https,cloudflare,application/xml,GET,104.18.12.217,/,2028370544,2606:4700::6812:dd9,HSTS,1,False,True,
status.opensea.io,OpenSea Status,200,122361,status.opensea.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-06T20:43:54Z,2023-08-04T20:43:53Z,CN=cddos.status.radwarecloud.com,cddos.status.radwarecloud.com,www.enspirestatus.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ee11a352ca32d778af57bf08bef20d49,cb0591018bda8f25512a529d723c166166c7f7df4efcace2678a210fccd70c16,,ctls,status.opensea.io,,443,https://status.opensea.io:443,https,,text/html,GET,52.215.192.131,/,-1840324437,52.215.192.131,HSTS,2575,False,,
stream.pro.opensea.io,,403,16,stream.pro.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T21:06:45Z,2023-07-04T21:06:44Z,CN=*.pro.opensea.io,*.pro.opensea.io,*.pro.opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,f7e60f060836fe90b340910bbaedc821,f8d4ba150ef6f1b998cc2df8ed8ba0a49c74f79691c41535e32c0ae164805f59,True,ctls,stream.pro.opensea.io,cloudflare,443,https://stream.pro.opensea.io:443,https,cloudflare,text/plain,GET,104.18.12.217,/,1253481126,2606:4700::6812:dd9,HSTS,1,False,True,
support.opensea.io,Security check,403,7780,support.opensea.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T14:07:22Z,2023-07-19T14:07:21Z,CN=support.opensea.io,support.opensea.io,support.opensea.pro,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7b6934ca362f541a480dea0a2abe619c,17c8b7991f64cf72b5bd1d20b3b017b8f3683b728c24f8513d18f3b2bb0b9068,,ctls,support.opensea.io,cloudflare,443,https://support.opensea.io:443,https,cloudflare,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,Cloudflare,103,False,True,https://support.opensea.io/hc/en-us
www.opensea.io,,403,16,opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,opensea.io,cloudflare,443,https://www.opensea.io:443,https,cloudflare,text/plain,GET,104.18.13.217,/,1253481126,2606:4700::6812:cd9,HSTS,1,False,True,https://opensea.io/
