input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_mismatched,tls_subject_org_
partners.opensea.io,Make waves. Drop on OpenSea.,200,63998,partners.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,partners.opensea.io,cloudflare,443,https://partners.opensea.io:443,https,cloudflare,text/html,GET,104.18.12.217,/,-1745927160,2606:4700::6812:dd9,Webflow,433,False,True,https://partners.opensea.io/drops,,
partnerships.opensea.io,facebook-f icon,404,45914,partnerships.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T00:05:55Z,2023-08-05T00:05:54Z,CN=partnerships.opensea.io,partnerships.opensea.io,partnerships.opensea.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,3cba02f225391c91b5be62bd44a450e7,1406a5078acb0b8cd1118f225ad86536c60772f0d52fca0e960b5279356f3c4f,,ctls,partnerships.opensea.io,,443,https://partnerships.opensea.io:443,https,cloudflare,text/html,GET,199.60.103.30,/,393835349,2606:2c40::c73c:671e,HubSpot CMS Hub,2347,False,,,,
push.opensea.io,,404,33,push.opensea.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-01-13T23:59:59Z,CN=*.openseabeta.com,*.openseabeta.com,*.openseabeta.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,64f20f5c33759de12e3319616e961b33,a037b457e3b5de5e029b04b06aabcf391091e97a8a6c7b364aacc51753acdcf9,True,ctls,push.opensea.io,,443,https://push.opensea.io:443,https,Cowboy,application/json,GET,100.25.49.57,/,-1242126446,44.207.144.36,Cowboy,1,False,,,True,
rinkeby-api.opensea.io,,404,18,testnets-api.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,testnets-api.opensea.io,cloudflare,443,https://rinkeby-api.opensea.io:443,https,cloudflare,application/json,GET,104.18.13.217,/,1574860551,2606:4700::6812:dd9,HSTS,1,False,True,https://testnets-api.opensea.io/,,
rinkeby-storage.opensea.io,,403,111,rinkeby-storage.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,rinkeby-storage.opensea.io,cloudflare,443,https://rinkeby-storage.opensea.io:443,https,cloudflare,application/xml,GET,104.18.12.217,/,2028370544,2606:4700::6812:dd9,HSTS,1,False,True,,,
rinkeby.opensea.io,,403,16,testnets.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,testnets.opensea.io,cloudflare,443,https://rinkeby.opensea.io:443,https,cloudflare,text/plain,GET,104.18.13.217,/,1253481126,2606:4700::6812:dd9,HSTS,1,False,True,https://testnets.opensea.io/,,
shape.opensea.io,,404,48,shape.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,shape.opensea.io,cloudflare,443,https://shape.opensea.io:443,https,cloudflare,application/json,GET,104.18.13.217,/,834205737,2606:4700::6812:dd9,HSTS,1,False,True,,,
static.opensea.io,,403,111,static.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,static.opensea.io,cloudflare,443,https://static.opensea.io:443,https,cloudflare,application/xml,GET,104.18.13.217,/,2028370544,2606:4700::6812:dd9,HSTS,1,False,True,,,
status.opensea.io,OpenSea Status,200,121936,status.opensea.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-06T20:43:54Z,2023-08-04T20:43:53Z,CN=cddos.status.radwarecloud.com,cddos.status.radwarecloud.com,www.enspirestatus.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ee11a352ca32d778af57bf08bef20d49,cb0591018bda8f25512a529d723c166166c7f7df4efcace2678a210fccd70c16,,ctls,status.opensea.io,,443,https://status.opensea.io:443,https,,text/html,GET,52.215.192.131,/,-1840324437,52.215.192.131,HSTS,2569,False,,,,
support.opensea.io,Security check,403,7757,support.opensea.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T14:07:22Z,2023-07-19T14:07:21Z,CN=support.opensea.io,support.opensea.io,support.opensea.pro,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7b6934ca362f541a480dea0a2abe619c,17c8b7991f64cf72b5bd1d20b3b017b8f3683b728c24f8513d18f3b2bb0b9068,,ctls,support.opensea.io,cloudflare,443,https://support.opensea.io:443,https,cloudflare,text/html,GET,104.16.51.111,/,-1279294674,104.16.53.111,Cloudflare,103,False,True,https://support.opensea.io/hc/en-us,,
testnets-api.opensea.io,,404,18,testnets-api.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,testnets-api.opensea.io,cloudflare,443,https://testnets-api.opensea.io:443,https,cloudflare,application/json,GET,104.18.12.217,/,1574860551,2606:4700::6812:cd9,HSTS,1,False,True,,,
testnets.opensea.io,,403,16,testnets.opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,testnets.opensea.io,cloudflare,443,https://testnets.opensea.io:443,https,cloudflare,text/plain,GET,104.18.13.217,/,1253481126,2606:4700::6812:dd9,HSTS,1,False,True,,,
www.opensea.io,,403,16,opensea.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T01:01:51Z,2023-07-15T01:01:50Z,CN=opensea.io,opensea.io,opensea.io,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1c2b081e1696f419ff2f066c309c61c4,04a6ba4d76487b42a74b6641aa63887c0b1c9da8a69d8142415ef324b055f8fc,True,ctls,opensea.io,cloudflare,443,https://www.opensea.io:443,https,cloudflare,text/plain,GET,104.18.13.217,/,1253481126,2606:4700::6812:cd9,HSTS,1,False,True,https://opensea.io/,,
