input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_wildcard_certificate,cdn_name,tech_,cdn,webserver,tls_subject_org_,tls_self_signed,csp_domains_,tls_expired,final_url
app-sm.dev-vitaly.sm-test.qa.redislabs.com,Redis Cloud Console,200,6569,app-sm.dev-vitaly.sm-test.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-02T08:30:18Z,2024-05-01T08:30:18Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,702a99e458663066f0430580d7dcafd8,875b890ce10286e3d5cd37a88e58d05b34076635d9501e99a7cfe13a55244aba,ctls,app-sm.dev-vitaly.sm-test.qa.redislabs.com,443,https://app-sm.dev-vitaly.sm-test.qa.redislabs.com:443,https,text/html,GET,34.23.17.204,/,864611937,34.23.17.204,1,False,,google,HSTS,True,,Acme Co,True,,,
app-sm.k8s-aa.sm-qa.qa.redislabs.com,Redis Cloud Console,200,1592,app-sm.k8s-aa.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-25T16:10:37Z,2023-07-24T16:10:36Z,CN=webapi-sm.k8s-aa.sm-qa.qa.redislabs.com,webapi-sm.k8s-aa.sm-qa.qa.redislabs.com,webapi-sm.k8s-aa.sm-qa.qa.redislabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2dc38e0671d25c9aca4876ff8a95addf,a1806ecad7a897e9622c5a3455be5d3f4160d551c34ccd04dbf27cb856ef99fb,ctls,app-sm.k8s-aa.sm-qa.qa.redislabs.com,443,https://app-sm.k8s-aa.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,864611937,34.138.146.29,33,False,,google,HSTS,True,,,,,,
app-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,Redis Cloud Console,200,1592,app-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-15T13:53:54Z,2023-07-14T13:53:53Z,CN=app-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,app-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,app-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cf57a4c95d8304c365bdf02eb08c8540,6c8e49c40d97122ecc01e10740ae6e7a7c3d6fbecb8d6d58945989a05bd7000f,ctls,app-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,443,https://app-sm.k8s-billing-dev.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,864611937,34.138.146.29,33,False,,google,HSTS,True,,,,,,
app-sm.k8s-billing.sm-qa.qa.redislabs.com,Redis Cloud Console,200,1592,app-sm.k8s-billing.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-03T05:34:22Z,2023-08-01T05:34:21Z,CN=webapi-sm.k8s-billing.sm-qa.qa.redislabs.com,webapi-sm.k8s-billing.sm-qa.qa.redislabs.com,webapi-sm.k8s-billing.sm-qa.qa.redislabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8958d4ffdf5d42e234af2a9481c11734,d6d0d2898f9db1dae8287b932bac656fc71d168d26591e9737dcf384e8524bc3,ctls,app-sm.k8s-billing.sm-qa.qa.redislabs.com,443,https://app-sm.k8s-billing.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,864611937,34.138.146.29,33,False,,google,HSTS,True,,,,,,
app-sm.k8s-cloudapi.sm-qa.qa.redislabs.com,Redis Cloud Console,200,1592,app-sm.k8s-cloudapi.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-08T06:37:45Z,2023-07-07T06:37:44Z,CN=app-sm.k8s-cloudapi.sm-qa.qa.redislabs.com,app-sm.k8s-cloudapi.sm-qa.qa.redislabs.com,webapi-sm.k8s-cloudapi.sm-qa.qa.redislabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3e20d6fea8f02738528c98961753d249,6482c03fb5c67000fd86ec8d61a5be7ce09bdef66cce17e1257ea8b3edca416a,ctls,app-sm.k8s-cloudapi.sm-qa.qa.redislabs.com,443,https://app-sm.k8s-cloudapi.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,864611937,34.138.146.29,33,False,,google,HSTS,True,,,,,,
app-sm.k8s-dev-uirefresh.sm-qa.qa.redislabs.com,,404,60,app-sm.k8s-dev-uirefresh.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T22:00:32Z,2024-05-09T22:00:32Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,435e4be5d7a7c64d3e574d72a6db2cfa,a772fbf08f7a4acc0f73f1c7b963a070e61e630e7504975961ec97eeabe74794,ctls,app-sm.k8s-dev-uirefresh.sm-qa.qa.redislabs.com,443,https://app-sm.k8s-dev-uirefresh.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,791509167,34.138.146.29,1,False,,google,HSTS,True,,Acme Co,True,,,
app-sm.k8s-dev.sm-qa.qa.redislabs.com,Redis Cloud Console,200,1592,app-sm.k8s-dev.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-19T18:31:04Z,2023-07-18T18:31:03Z,CN=app-sm.k8s-dev.sm-qa.qa.redislabs.com,app-sm.k8s-dev.sm-qa.qa.redislabs.com,app-sm.k8s-dev.sm-qa.qa.redislabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8b19cfc56abc510ef3ddcdb305924138,1358004ddbfff6e48757fba4f72b77e94a984a1884605331a49a102eaf90a8d3,ctls,app-sm.k8s-dev.sm-qa.qa.redislabs.com,443,https://app-sm.k8s-dev.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,864611937,34.138.146.29,33,False,,google,HSTS,True,,,,,,
app-sm.k8s-gh.sm-qa.qa.redislabs.com,Redis Cloud Console,200,1592,app-sm.k8s-gh.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-26T11:13:09Z,2023-07-25T11:13:08Z,CN=webapi-sm.k8s-gh.sm-qa.qa.redislabs.com,webapi-sm.k8s-gh.sm-qa.qa.redislabs.com,webapi-sm.k8s-gh.sm-qa.qa.redislabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,98712f91ab4650db2426e64a529badbc,5f10dd81a7a793a9b6d7562775983668dc29fe049166907303397f15490b58b0,ctls,app-sm.k8s-gh.sm-qa.qa.redislabs.com,443,https://app-sm.k8s-gh.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,864611937,34.138.146.29,33,False,,google,HSTS,True,,,,,,
app-sm.k8s-mw.sm-qa.qa.redislabs.com,Redis Cloud,503,1013,app-sm.k8s-mw.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T22:00:32Z,2024-05-09T22:00:32Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,435e4be5d7a7c64d3e574d72a6db2cfa,a772fbf08f7a4acc0f73f1c7b963a070e61e630e7504975961ec97eeabe74794,ctls,app-sm.k8s-mw.sm-qa.qa.redislabs.com,443,https://app-sm.k8s-mw.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,-2131050060,34.138.146.29,34,False,,google,HSTS,True,,Acme Co,True,,,
app-sm.k8s-psc.sm-qa.qa.redislabs.com,Redis Cloud Console,200,1592,app-sm.k8s-psc.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-26T12:57:47Z,2023-07-25T12:57:46Z,CN=app-sm.k8s-psc.sm-qa.qa.redislabs.com,app-sm.k8s-psc.sm-qa.qa.redislabs.com,app-sm.k8s-psc.sm-qa.qa.redislabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6a88fa8d0d3faf6cd3c1d93f429e2266,40af6c6ea1c5d9af0c0831ba5a6940167b887269080cae0fce76a8008b5e7547,ctls,app-sm.k8s-psc.sm-qa.qa.redislabs.com,443,https://app-sm.k8s-psc.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,864611937,34.138.146.29,33,False,,google,HSTS,True,,,,,,
app-sm.k8s-rcp.sm-qa.qa.redislabs.com,Redis Cloud Console,200,1592,app-sm.k8s-rcp.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-25T15:42:33Z,2023-07-24T15:42:32Z,CN=webapi-sm.k8s-rcp.sm-qa.qa.redislabs.com,webapi-sm.k8s-rcp.sm-qa.qa.redislabs.com,webapi-sm.k8s-rcp.sm-qa.qa.redislabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,63d6f5c109724213e299efdc558e79e2,caf72411ef76c1dc10fde89edf4beb2099599203225b63cf8d6177750b1775a9,ctls,app-sm.k8s-rcp.sm-qa.qa.redislabs.com,443,https://app-sm.k8s-rcp.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,864611937,34.138.146.29,33,False,,google,HSTS,True,,,,,,
app-sm.mw.sm-qa.qa.redislabs.com,,404,60,app-sm.mw.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T22:00:32Z,2024-05-09T22:00:32Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,435e4be5d7a7c64d3e574d72a6db2cfa,a772fbf08f7a4acc0f73f1c7b963a070e61e630e7504975961ec97eeabe74794,ctls,app-sm.mw.sm-qa.qa.redislabs.com,443,https://app-sm.mw.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,791509167,34.138.146.29,1,False,,google,HSTS,True,,Acme Co,True,,,
appapp-sm.k8s-psc.sm-qa.qa.redislabs.com,,404,60,appapp-sm.k8s-psc.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T22:00:32Z,2024-05-09T22:00:32Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,435e4be5d7a7c64d3e574d72a6db2cfa,a772fbf08f7a4acc0f73f1c7b963a070e61e630e7504975961ec97eeabe74794,ctls,appapp-sm.k8s-psc.sm-qa.qa.redislabs.com,443,https://appapp-sm.k8s-psc.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,791509167,34.138.146.29,1,False,,google,HSTS,True,,Acme Co,True,,,
argocd.sm-qa.qa.redislabs.com,Argo CD,200,788,argocd.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-06T05:34:55Z,2023-08-04T05:34:54Z,CN=argocd.sm-qa.qa.redislabs.com,argocd.sm-qa.qa.redislabs.com,argocd.sm-qa.qa.redislabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,da27a1b23dfa869858ad885fa595df44,04545779a2891d298b49902610f831f29d06807950f4e9a30ddb0a70b6b748b8,ctls,argocd.sm-qa.qa.redislabs.com,443,https://argocd.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,-138391155,34.138.146.29,1,False,,google,HSTS,True,,,,,,
assets-university.redislabs.com,,403,243,assets-university.redislabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2019-02-12T00:00:00Z,2021-02-11T12:00:00Z,CN=assets-university.redislabs.com,assets-university.redislabs.com,assets-university.redislabs.com,"CN=RapidSSL RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL RSA CA 2018,DigiCert Inc,3b6f033cf6e3a15f8d87378b24225e8c,92eb6eb05889310d19d7698a18ed14c2cf91b7c4f1fe586c541acdcb18883e19,ctls,assets-university.redislabs.com,443,https://assets-university.redislabs.com:443,https,application/xml,GET,108.138.17.96,/,1791665299,108.138.17.8,2,False,,cloudfront,Amazon Web Services,True,AmazonS3,,,,True,
auth.qa.redislabs.com,redisauth - Sign In,200,7912,auth.qa.redislabs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-01T00:00:00Z,2024-03-19T23:59:59Z,CN=*.qa.redislabs.com,*.qa.redislabs.com,*.qa.redislabs.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8fa4cdc52055ad036bbde93900b0c54a,cba165e4b4ad36a222f74196646ce5f0e56fe90039eec37b537c493a11338d20,ctls,auth.qa.redislabs.com,443,https://auth.qa.redislabs.com:443,https,text/html,GET,13.248.244.122,/,-599803935,76.223.106.8,181,False,True,,Nginx,,nginx,,,https://oktacsp.report-uri.com/r/t/csp/reportOnly,,
auth.redis.com,redisauth - Sign In,200,16576,auth.redis.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-08T16:23:16Z,2023-08-06T16:23:15Z,CN=auth.redis.com,auth.redis.com,auth.redis.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d8c33565bc011644d97533c35134858f,d2c15a873bbd8cc9381841e9bf53935323d45f5a4132f70577131861e78cc889,ctls,auth.redis.com,443,https://auth.redis.com:443,https,text/html,GET,52.223.56.218,/,-599803935,35.71.149.114,471,False,,,Nginx,,nginx,,,https://oktacsp.report-uri.com/r/t/csp/reportOnly,,
bo-qa.qa.redislabs.com,,200,815,bo-qa.qa.redislabs.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-01T00:00:00Z,2024-03-19T23:59:59Z,CN=*.qa.redislabs.com,*.qa.redislabs.com,*.qa.redislabs.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",8fa4cdc52055ad036bbde93900b0c54a,cba165e4b4ad36a222f74196646ce5f0e56fe90039eec37b537c493a11338d20,ctls,bo-qa.qa.redislabs.com,443,https://bo-qa.qa.redislabs.com:443,https,text/html,GET,45.60.123.1,/,-1701430414,45.60.123.1,42,False,True,incapsula,Java,True,,,,url=bo_login.jsp,,
bo-sm.dev-vitaly.sm-test.qa.redislabs.com,,200,681,bo-sm.dev-vitaly.sm-test.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-12-22T10:42:31Z,2023-03-22T10:42:30Z,CN=bo-sm.dev-vitaly.sm-test.qa.redislabs.com,bo-sm.dev-vitaly.sm-test.qa.redislabs.com,bo-sm.dev-vitaly.sm-test.qa.redislabs.com,"CN=(STAGING) Artificial Apricot R3, O=(STAGING) Let's Encrypt, C=US",(STAGING) Artificial Apricot R3,(STAGING) Let's Encrypt,7d2f53d3b7cd29de2e847a3b37148792,977c34250648e975d004b7db2e96abbadb973be103f3813399f62ed52516e175,ctls,bo-sm.dev-vitaly.sm-test.qa.redislabs.com,443,https://bo-sm.dev-vitaly.sm-test.qa.redislabs.com:443,https,text/html,GET,34.23.17.204,/,-1214919640,34.23.17.204,42,False,,google,Java,True,,,,url=bo_login.jsp,True,
bo-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,,200,681,bo-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-15T11:54:24Z,2023-07-14T11:54:23Z,CN=bo-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,bo-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,bo-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c149f2b1423cf7733ff18d2690a952ed,1abe3d1c7d44e710da24bf97595ea122536631632af93b2a4b56c45ac4bbcdd7,ctls,bo-sm.k8s-billing-dev.sm-qa.qa.redislabs.com,443,https://bo-sm.k8s-billing-dev.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,-327920302,34.138.146.29,42,False,,google,Java,True,,,,url=bo_login.jsp,,
bo-sm.k8s-billing.sm-qa.qa.redislabs.com,,200,681,bo-sm.k8s-billing.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-03T05:34:03Z,2023-08-01T05:34:02Z,CN=bo-sm.k8s-billing.sm-qa.qa.redislabs.com,bo-sm.k8s-billing.sm-qa.qa.redislabs.com,bo-sm.k8s-billing.sm-qa.qa.redislabs.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4dd45a313a1f5700db22a26200adf062,8cb3208186cf6dfaef196681cc78f255bad0e4d232e8bc0bb722ac15c698657d,ctls,bo-sm.k8s-billing.sm-qa.qa.redislabs.com,443,https://bo-sm.k8s-billing.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,-327920302,34.138.146.29,42,False,,google,Java,True,,,,url=bo_login.jsp,,
bo-sm.k8s-ci-auto-dynamic.sm-qa.qa.redislabs.com,,404,60,bo-sm.k8s-ci-auto-dynamic.sm-qa.qa.redislabs.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-10T22:00:32Z,2024-05-09T22:00:32Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,435e4be5d7a7c64d3e574d72a6db2cfa,a772fbf08f7a4acc0f73f1c7b963a070e61e630e7504975961ec97eeabe74794,ctls,bo-sm.k8s-ci-auto-dynamic.sm-qa.qa.redislabs.com,443,https://bo-sm.k8s-ci-auto-dynamic.sm-qa.qa.redislabs.com:443,https,text/html,GET,34.138.146.29,/,791509167,34.138.146.29,1,False,,google,HSTS,True,,Acme Co,True,,,
