input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,final_url,tls_expired
api.circle.com,Circle,200,392339,developers.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-27T00:00:00Z,2023-10-26T23:59:59Z,"CN=developers.circle.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",developers.circle.com,"Cloudflare, Inc.",developers.circle.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5ed65f3304bf86086da02b41b402099c,548272b3f6153f79e39c342b5a00b8daafdf268fbb344d5179020a99feef8b6f,,ctls,developers.circle.com,cloudflare,443,https://api.circle.com:443,https,cloudflare,text/html,GET,104.16.31.32,/,1647716653,104.16.30.32,Heroku,457,False,True,,,https://developers.circle.com,
api2.ledger.cybavo.com,403 Forbidden,403,146,api2.ledger.cybavo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-02T00:00:00Z,2023-09-30T23:59:59Z,"CN=cybavo.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cybavo.com,"Cloudflare, Inc.",cybavo.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",458d5777837ce6c1cc21db12a70725e9,66382858f7f0e9613bb78ef9b388f3c7f8d5811fc4bcbe6ac5f1a4212d64ae03,True,ctls,api2.ledger.cybavo.com,cloudflare,443,https://api2.ledger.cybavo.com:443,https,cloudflare,text/html,GET,104.26.5.71,/,1494302000,2606:4700:20::681a:447,HSTS,8,False,True,,,,
api3.ledger.cybavo.com,403 Forbidden,403,146,api3.ledger.cybavo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2021-01-19T06:37:00Z,2036-01-16T06:37:00Z,"CN=CloudFlare Origin Certificate, OU=CloudFlare Origin CA, O=CloudFlare\, Inc.",CloudFlare Origin Certificate,"CloudFlare, Inc.",ledger.cybavo.com,"ST=California, L=San Francisco, OU=CloudFlare Origin SSL Certificate Authority, O=CloudFlare\, Inc., C=US",,"CloudFlare, Inc.",5a95d25e80f797c327e423f57804c884,df751dcc7a624189e1eac035435fd765e68b5baf1edadbb469827c4f066c6ec5,True,ctls,api3.ledger.cybavo.com,,443,https://api3.ledger.cybavo.com:443,https,cybavo,text/html,GET,172.105.238.14,/,-1561873722,172.105.238.14,HSTS,8,False,,,,,
app-data-platform.circle.com,"ZettaBlock - The First Full-stack, Real-time Web3 Data Infra",200,3116,app-data-platform.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-01-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4aeb69ad7e5d3ef56cfc2a12ab55e461,de65bc93cc904e352a78ba3ed3fb2421992f500b682afd0af74a88507dcc9840,True,ctls,app-data-platform.circle.com,cloudflare,443,https://app-data-platform.circle.com:443,https,cloudflare,text/html,GET,104.18.16.80,/,1992303103,104.18.17.80,HSTS,1,False,True,,,,
app-sandbox.circle.com,Sign Up - Circle,200,111182,app-sandbox.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-01-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4aeb69ad7e5d3ef56cfc2a12ab55e461,de65bc93cc904e352a78ba3ed3fb2421992f500b682afd0af74a88507dcc9840,True,ctls,app-sandbox.circle.com,cloudflare,443,https://app-sandbox.circle.com:443,https,cloudflare,text/html,GET,104.18.16.80,/,1146827162,104.18.17.80,webpack,1,False,True,,,,
apps.circle.com,"Circle | USDC Payments, Treasury Management, & Developer Tools",200,177787,www.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-13T00:00:00Z,2023-10-24T23:59:59Z,"CN=circle.com, O=Circle Internet Financial LLC, L=Boston, ST=Massachusetts, C=US, serialNumber=5381921, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",circle.com,Circle Internet Financial LLC,usdc.circle.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,8ce4f616f7ed487cc587d2310e6a6759,20e1ee31a712963709d5f5209587661a2e3ceb3e6a1c3d289a127a6f8f0db0f1,,ctls,www.circle.com,,443,https://apps.circle.com:443,https,cloudflare,text/html,GET,52.9.39.216,/,1274734426,52.8.156.19,HubSpot CMS Hub,4337,False,,,,https://www.circle.com/en/,
appvault.cybavo.com,CYBAVO WALLET MANAGEMENT system,200,644,appvault.cybavo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-18T12:45:35Z,2023-08-16T13:39:09Z,CN=appvault.cybavo.com,appvault.cybavo.com,,appvault.cybavo.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,511caf07b6692dfd45232567ae06a388,69bf30b2082a2add649d0519724a95ad7ccdd3f5fc3d9e689d9f147fd8ea00ad,,ctls,appvault.cybavo.com,google,443,https://appvault.cybavo.com:443,https,cybavo,text/html,GET,34.96.64.163,/,1689487197,34.96.64.163,HTTP/3,1,False,True,,,,
appvault2.cybavo.com,,200,15,appvault2.cybavo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-26T02:16:05Z,2023-08-24T03:07:38Z,CN=tg.mobi.cybavocloud.com,tg.mobi.cybavocloud.com,,tg.mobi.cybavocloud.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,3d401301a9eba38551fc2a62090cea5a,e9887a4766ddea2b896a31344158532bda8b65f69a19e0f591a1b336da25efc0,,ctls,appvault2.cybavo.com,google,443,https://appvault2.cybavo.com:443,https,cybavo,text/html,GET,35.244.236.220,/,1494302000,35.244.236.220,HTTP/3,3,False,True,True,,,
assets.checkout.circle.com,,403,243,assets.checkout.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-12T00:00:00Z,2023-12-12T23:59:59Z,CN=*.checkout.circle.com,*.checkout.circle.com,,*.checkout.circle.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7c1c8d2478838d91e60684a8070b21ae,d0333f7725a2cebee72122c32ee1d163a1ec8a428c33d09236cf170d5cc809d2,True,ctls,assets.checkout.circle.com,cloudfront,443,https://assets.checkout.circle.com:443,https,AmazonS3,application/xml,GET,13.32.27.29,/,856553073,2600:9000:211e:9c00:12:7b41:8580:93a1,Amazon Web Services,2,False,True,,,,
assets.circle.com,,403,243,assets.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-01-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4aeb69ad7e5d3ef56cfc2a12ab55e461,de65bc93cc904e352a78ba3ed3fb2421992f500b682afd0af74a88507dcc9840,True,ctls,assets.circle.com,cloudflare,443,https://assets.circle.com:443,https,cloudflare,application/xml,GET,104.18.17.80,/,-174034660,104.18.16.80,Cloudflare,2,False,True,,,,
axis.circle.com,,403,16,axis.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-01-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4aeb69ad7e5d3ef56cfc2a12ab55e461,de65bc93cc904e352a78ba3ed3fb2421992f500b682afd0af74a88507dcc9840,True,ctls,axis.circle.com,cloudflare,443,https://axis.circle.com:443,https,cloudflare,text/plain,GET,104.18.17.80,/,1268003052,104.18.16.80,Cloudflare,1,False,True,,,,
brand.circle.com,Circle - Circle Brand Guide,200,81783,brand.circle.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-08-31T23:59:59Z,CN=brand.circle.com,brand.circle.com,,brand.circle.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b63fff69ecb33cc6a3692709f9a3cb48,9eb2c0e0fb00e85d9d9eed3f6ee16f438152af94bcfa6cbb56c3b4310ea4bdd0,,ctls,brand.circle.com,,443,https://brand.circle.com:443,https,frontify,text/html,GET,18.235.223.157,/,194442309,100.24.89.198,React,823,False,,,,https://brand.circle.com/d/M9z54TaEwsWL/circle,
cbauth.sandbox.cybavo.com,AuthSec,200,712,cbauth.sandbox.cybavo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-28T10:37:32Z,2023-08-26T11:31:06Z,CN=cbauth.sandbox.cybavo.com,cbauth.sandbox.cybavo.com,,cbauth.sandbox.cybavo.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,7012522bafdd8790b3f04390e90ad2c6,135cd0969364a063587b58966d1865db58886ccdaf8d84eda1333b8b69871435,,ctls,cbauth.sandbox.cybavo.com,google,443,https://cbauth.sandbox.cybavo.com:443,https,cybavo,text/html,GET,34.120.117.137,/,1731488310,34.120.117.137,HTTP/3,1,False,True,,https://www.gstatic.com,,
cbauthdemo.sandbox.cybavo.com,demo,200,824,cbauthdemo.sandbox.cybavo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T12:39:11Z,2023-09-04T13:32:24Z,CN=cbauthdemo.sandbox.cybavo.com,cbauthdemo.sandbox.cybavo.com,,cbauthdemo.sandbox.cybavo.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,f9b2ec5edff13ebff4d7ac347a8360c8,ad84abe3ab756bd1b1d4a9aeba4744d453dc50fc2e777d244b3702f083c99c5a,,ctls,cbauthdemo.sandbox.cybavo.com,google,443,https://cbauthdemo.sandbox.cybavo.com:443,https,cybavo,text/html,GET,34.120.117.137,/,1561225473,34.120.117.137,HTTP/3,1,False,True,,https://www.gstatic.com,,
cc.cybavo.circle.com,,200,,cc.cybavo.circle.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-09T00:00:00Z,2023-12-08T23:59:59Z,CN=cybavo.circle.com,cybavo.circle.com,,*.cybavo.circle.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,58ce60129fb7b25c4e2bcc7af0ed6de4,c3691f8602e45becce4a1540e29db7041893020d402da1ea090b5b56e77d2b53,True,ctls,cc.cybavo.circle.com,,443,https://cc.cybavo.circle.com:443,https,cybavo,text/html,GET,34.212.62.149,/,1494302000,35.165.246.33,HSTS,1,False,,,,,
ccf.cybavo.com,企業比特幣資產配置論壇 Corporate Cryptocurrency Forum 2021,200,44682,ccf.cybavo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-22T20:50:08Z,2023-09-20T20:50:07Z,CN=ccf.cybavo.com,ccf.cybavo.com,,ccf.cybavo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a029ebe21d18ad5d10bb8ccf46dec3bc,e54c8d1eec349c215979a95e65b267fd391acfd2c22d8aba939961a0b1c5345f,,ctls,ccf.cybavo.com,,443,https://ccf.cybavo.com:443,https,Netlify,text/html,GET,3.72.140.173,/,681473663,2a05:d014:275:cb00::c8,Netlify,1221,False,,,,,
checkout-prod.circle.com,,404,21,checkout-prod.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-01-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4aeb69ad7e5d3ef56cfc2a12ab55e461,de65bc93cc904e352a78ba3ed3fb2421992f500b682afd0af74a88507dcc9840,True,ctls,checkout-prod.circle.com,cloudflare,443,https://checkout-prod.circle.com:443,https,cloudflare,text/plain,GET,104.18.16.80,/,-1669793162,104.18.17.80,HSTS,1,False,True,,,,
checkout.circle.com,404: This page could not be found,404,2512,checkout.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-26T00:00:00Z,2024-01-26T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4aeb69ad7e5d3ef56cfc2a12ab55e461,de65bc93cc904e352a78ba3ed3fb2421992f500b682afd0af74a88507dcc9840,True,ctls,checkout.circle.com,cloudflare,443,https://checkout.circle.com:443,https,cloudflare,text/html,GET,104.18.16.80,/,-2070047203,104.18.17.80,webpack,12,False,True,,,,
circle.com,"Circle | USDC Payments, Treasury Management, & Developer Tools",200,177753,www.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-13T00:00:00Z,2023-10-24T23:59:59Z,"CN=circle.com, O=Circle Internet Financial LLC, L=Boston, ST=Massachusetts, C=US, serialNumber=5381921, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",circle.com,Circle Internet Financial LLC,usdc.circle.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,8ce4f616f7ed487cc587d2310e6a6759,20e1ee31a712963709d5f5209587661a2e3ceb3e6a1c3d289a127a6f8f0db0f1,,ctls,www.circle.com,cloudflare,443,https://circle.com:443,https,cloudflare,text/html,GET,104.16.30.32,/,1146827162,104.16.31.32,HubSpot CMS Hub,4337,False,True,,,https://www.circle.com/en/,
cmpc-cb-test-os.sandbox.cybavo.com,CYBAVO VAULT,200,625,cmpc-cb-test-os.sandbox.cybavo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-11-03T23:59:59Z,CN=cmpc-cb-test-os.sandbox.cybavo.com,cmpc-cb-test-os.sandbox.cybavo.com,,cmpc-cb-test-os.sandbox.cybavo.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,fdf8e341dba48cf47ccc3167961e7001,d71c9e5d8cdea925f487ea4bf3e4d41133664873f14d51381d070192517a3bb1,,ctls,cmpc-cb-test-os.sandbox.cybavo.com,,443,https://cmpc-cb-test-os.sandbox.cybavo.com:443,https,cybavo,text/html,GET,52.43.214.129,/,1689487197,54.149.209.236,HSTS,1,False,,,fonts.gstatic.com,,
cmpc-cb-test.sandbox.cybavo.com,,200,,cmpc-cb-test.sandbox.cybavo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2023-10-26T23:59:59Z,CN=cmpc-cb-test.sandbox.cybavo.com,cmpc-cb-test.sandbox.cybavo.com,,cmpc-cb-test.sandbox.cybavo.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5d650a53edf7162bf8f79dbcb2d36c66,c0e446879677bce7fa9ba656bac7bb97061135307d5d846ec0c4c31e8810cf60,,ctls,cmpc-cb-test.sandbox.cybavo.com,,443,https://cmpc-cb-test.sandbox.cybavo.com:443,https,cybavo,text/html,GET,52.43.214.129,/,1494302000,54.149.209.236,HSTS,1,False,,,,,
compliance.circle.com,Sign in - Google Accounts,200,583401,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:21:21Z,2023-09-11T08:21:20Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7ca79e3005c064e43ffa55bbc2b1fe35,a7ae3b98a859a2cfbc7c67481a42916bc9762b82346d09cc612a57310ce6c82e,True,ctls,accounts.google.com,,443,https://compliance.circle.com:443,https,ESF,text/html,GET,142.250.184.243,/,1412355074,2a00:1450:4001:812::2013,HTTP/3,76,False,,,,https://accounts.google.com/v3/signin/identifier?dsh=S1107428404%3A1688696284489523&continue=https%3A%2F%2Fsites.google.com%2Fa%2Fcircle.com%2Fcompliance&followup=https%3A%2F%2Fsites.google.com%2Fa%2Fcircle.com%2Fcompliance&ifkv=AeDOFXhada_p55tcMGtMmfofZl8WapEzXx9T5YHO9Ypn9bUMvowSGKvPvEnfSyOENl5qvSgi0gmwTw&osid=1&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin,
converge.circle.com,Converge22,200,17181,converge.circle.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-03-28T23:59:59Z,CN=converge.circle.com,converge.circle.com,,converge.circle.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f4d7c69e7b9bd0aa2637593ebf6248b9,722e2542bd49de576caf33bc5da62dcda6f3645cea1e0d132197d899ba7f55c7,,ctls,converge.circle.com,cloudfront,443,https://converge.circle.com:443,https,,text/html,GET,13.32.121.82,/,142092188,13.32.121.72,HSTS,221,False,True,,,https://converge.circle.com/event/4ea0d06f-3900-4b6d-a9cd-aeaedda9ef2e,
cos.cybavo.com,CYBAVO VAULT,200,625,cos.cybavo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-25T06:39:13Z,2023-09-23T06:39:12Z,CN=cos.cybavo.com,cos.cybavo.com,,cos.cybavo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b9a22d4282c3b3e2b64e4044443716b8,5a58b9df089eabece2a7650c662fcd75a4d9b217cc407e594892b705f3714cb9,,ctls,cos.cybavo.com,,443,https://cos.cybavo.com:443,https,cybavo,text/html,GET,3.221.156.66,/,1689487197,3.221.156.66,HSTS,1,False,,,,,
