input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,final_url
m.takealot.com,Takealot.com: Online Shopping | SA's leading online store,200,4715,www.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,www.takealot.com,cloudflare,443,https://m.takealot.com:443,https,cloudflare,text/html,GET,104.19.174.61,/,296378120,2606:4700::6813:ae3d,React,101,False,True,,https://www.takealot.com/
maintenance-new.takealot.com,Temporary Technical Glitch,512,26395,maintenance-new.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,maintenance-new.takealot.com,cloudflare,443,https://maintenance-new.takealot.com:443,https,cloudflare,text/html,GET,104.19.174.61,/,1759790432,2606:4700::6813:ae3d,HSTS,90,False,True,,
media-int.takealot.com,,200,48,media-int.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,True,ctls,media-int.takealot.com,cloudfront,443,https://media-int.takealot.com:443,https,cloudflare,text/plain,GET,13.32.118.148,/,-1840324437,13.32.118.37,HSTS,1,False,True,,
media.takealot.com,,200,48,media.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,media.takealot.com,cloudflare,443,https://media.takealot.com:443,https,cloudflare,text/plain,GET,104.19.175.61,/,-1840324437,2606:4700::6813:af3d,HSTS,1,False,True,,
media0.takealot.com,,200,48,media0.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,media0.takealot.com,cloudflare,443,https://media0.takealot.com:443,https,cloudflare,text/plain,GET,104.19.174.61,/,-1840324437,2606:4700::6813:af3d,HSTS,1,False,True,,
media1.takealot.com,,200,48,media1.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,media1.takealot.com,cloudflare,443,https://media1.takealot.com:443,https,cloudflare,text/plain,GET,104.19.174.61,/,-1840324437,2606:4700::6813:af3d,HSTS,1,False,True,,
media2.takealot.com,,200,48,media2.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,media2.takealot.com,cloudflare,443,https://media2.takealot.com:443,https,cloudflare,text/plain,GET,104.19.174.61,/,-1840324437,2606:4700::6813:ae3d,HSTS,1,False,True,,
media3.takealot.com,,200,48,media3.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,media3.takealot.com,cloudflare,443,https://media3.takealot.com:443,https,cloudflare,text/plain,GET,104.19.175.61,/,-1840324437,2606:4700::6813:af3d,HSTS,1,False,True,,
media4.takealot.com,,200,48,media4.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,media4.takealot.com,cloudflare,443,https://media4.takealot.com:443,https,cloudflare,text/plain,GET,104.19.174.61,/,-1840324437,2606:4700::6813:af3d,HSTS,1,False,True,,
open.email.takealot.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,,cloudfront,80,http://open.email.takealot.com:80,http,CloudFront,text/html,GET,18.66.147.104,/,-1284282197,18.66.147.80,Amazon Web Services,20,False,True,,
openvas.takealot.com,,403,45,openvas.takealot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-04-04T00:00:00Z,2024-04-05T23:59:59Z,CN=*.eu-west-1.es.amazonaws.com,*.eu-west-1.es.amazonaws.com,*.eu-west-1.es.amazonaws.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e2bf4d249d63ebe816c5aa625be3d2db,cb214615136fd427b2d5d140c0418867981ed31af1676e2cec83492123401781,True,ctls,openvas.takealot.com,,443,https://openvas.takealot.com:443,https,,application/json,GET,54.216.209.127,/,-1851265049,54.216.209.127,,1,False,,,
oshlzg.takealot.com,,404,91,oshlzg.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-18T00:00:00Z,2023-08-11T23:59:59Z,"CN=ukgfxw.satofull.jp, O=Criteo Technology SAS, L=Paris, ST=Île-de-France, C=FR",ukgfxw.satofull.jp,ukgfxw.satofull.jp,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,69b2b4e9633c09dc2b5981acddbdea01,4b790c435ca44627c692a41e60199545c5d24318af1510e1ce5e1b1398bfe663,,ctls,oshlzg.takealot.com,,443,https://oshlzg.takealot.com:443,https,Kestrel,text/html,GET,178.250.7.13,/,-1947197333,2a02:2638:3::c,Microsoft ASP.NET,1,False,,Criteo Technology SAS,
page.takealot.com,404 - File or directory not found.,404,1245,page.takealot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-07-12T00:00:00Z,2024-08-11T23:59:59Z,"CN=page.takealot.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",page.takealot.com,page.takealot.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,a4915cf04855078e2c9c8d35c922bc39,a48d755d05d6295f1844a191de556b5830bea8a9b64a4a1daefeea832f3d6c6f,,ctls,page.takealot.com,,443,https://page.takealot.com:443,https,,text/html,GET,13.111.150.233,/,1631801191,13.111.150.233,,30,False,,"Salesforce.com, Inc.",
secure.takealot.com,Takealot.com: Online Shopping | SA's leading online store,200,4715,www.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,www.takealot.com,cloudflare,443,https://secure.takealot.com:443,https,cloudflare,text/html,GET,104.19.174.61,/,296378120,2606:4700::6813:af3d,React,101,False,True,,https://www.takealot.com
seller-api.takealot.com,,404,82,seller-api.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,seller-api.takealot.com,cloudflare,443,https://seller-api.takealot.com:443,https,cloudflare,application/json,GET,104.19.175.61,/,-417603799,2606:4700::6813:af3d,HSTS,1,False,True,,
seller.takealot.com,Seller Portal,200,8392,seller.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,seller.takealot.com,cloudflare,443,https://seller.takealot.com:443,https,cloudflare,text/html,GET,104.19.174.61,/,1868764142,2606:4700::6813:ae3d,HSTS,156,False,True,,
sellerportal.takealot.com,Seller Portal,200,8392,seller.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,seller.takealot.com,cloudflare,443,https://sellerportal.takealot.com:443,https,cloudflare,text/html,GET,104.19.174.61,/,1980056741,2606:4700::6813:ae3d,HSTS,156,False,True,,https://seller.takealot.com
sellers.takealot.com,404 Not Found,404,139,sellers.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,sellers.takealot.com,cloudflare,443,https://sellers.takealot.com:443,https,cloudflare,text/html,GET,104.19.174.61,/,-476454734,2606:4700::6813:af3d,HSTS,8,False,True,,
sentry-ingress-gcp.takealot.com,,200,,sentry-ingress-gcp.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,sentry-ingress-gcp.takealot.com,google,443,https://sentry-ingress-gcp.takealot.com:443,https,,application/octet-stream,GET,34.77.244.130,/,-1840324437,34.77.244.130,,1,False,True,,
static.takealot.com,404 Not Found,404,143,static.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,static.takealot.com,cloudflare,443,https://static.takealot.com:443,https,cloudflare,text/html,GET,104.19.174.61,/,1022194223,2606:4700::6813:af3d,HSTS,8,False,True,,
supplier.takealot.com,Supplier Portal,200,727,supplier.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,supplier.takealot.com,cloudflare,443,https://supplier.takealot.com:443,https,cloudflare,text/html,GET,104.19.174.61,/,-1270930209,2606:4700::6813:ae3d,HSTS,1,False,True,,
takealot.com,Takealot.com: Online Shopping | SA's leading online store,200,4715,www.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,www.takealot.com,cloudflare,443,https://takealot.com:443,https,cloudflare,text/html,GET,104.19.175.61,/,296378120,2606:4700::6813:af3d,React,101,False,True,,https://www.takealot.com/
www.takealot.com,Takealot.com: Online Shopping | SA's leading online store,200,4715,www.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,www.takealot.com,cloudflare,443,https://www.takealot.com:443,https,cloudflare,text/html,GET,104.19.174.61,/,296378120,2606:4700::6813:ae3d,React,101,False,True,,
zendesk1.takealot.com,,403,16,zendesk1.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,zendesk1.takealot.com,cloudflare,443,https://zendesk1.takealot.com:443,https,cloudflare,text/plain,GET,162.159.138.6,/,,162.159.128.7,HSTS,1,False,True,,
zendesk2.takealot.com,,403,16,zendesk2.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,True,ctls,zendesk2.takealot.com,cloudflare,443,https://zendesk2.takealot.com:443,https,cloudflare,text/plain,GET,162.159.138.6,/,,162.159.128.7,HSTS,1,False,True,,
