new,host,ttl,a,mx,soa,ns,txt,status_code,cname,caa,cdn,cdn-name,aaaa
,o2.email.amitree.com,1800,192.254.124.110,,"{'name': 'amitree.com', 'ns': 'dns1.easydns.com', 'mailbox': 'zone.easydns.com', 'serial': 1724688379, 'refresh': 3600, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'amitree.com', 'ns': 'dns1.easydns.com', 'mailbox': 'zone.easydns.com', 'serial': 1724688379, 'refresh': 3600, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'amitree.com', 'ns': 'dns1.easydns.com', 'mailbox': 'zone.easydns.com', 'serial': 1724688379, 'refresh': 3600, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'amitree.com', 'ns': 'dns1.easydns.com', 'mailbox': 'zone.easydns.com', 'serial': 1724688379, 'refresh': 3600, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'amitree.com', 'ns': 'dns1.easydns.com', 'mailbox': 'zone.easydns.com', 'serial': 1724688379, 'refresh': 3600, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'amitree.com', 'ns': 'dns1.easydns.com', 'mailbox': 'zone.easydns.com', 'serial': 1724688379, 'refresh': 3600, 'retry': 600, 'expire': 1209600, 'minttl': 300}",,,NOERROR,,,,,
,pages.amitree.com,1158,,,"{'name': 'unbouncepages.com', 'ns': 'aitana.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352183494, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'unbouncepages.com', 'ns': 'aitana.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352183494, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'unbouncepages.com', 'ns': 'aitana.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352183494, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR,a93d26f1ad044464b6c51add0bf554ee.unbouncepages.com,letsencrypt.org,,,
,partners.amitree.com,738,172.104.231.234,,"{'name': 'c66.me', 'ns': 'ns-1097.awsdns-09.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'c66.me', 'ns': 'ns-1097.awsdns-09.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'c66.me', 'ns': 'ns-1097.awsdns-09.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'partners.amitree.com', 'ns': 'fake-for-negative-caching.adguard.com', 'mailbox': 'hostmaster.partners.amitree.com', 'serial': 100500, 'refresh': 1800, 'retry': 900, 'expire': 604800, 'minttl': 86400}, {'name': 'c66.me', 'ns': 'ns-1097.awsdns-09.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1097.awsdns-09.org, ns-1827.awsdns-36.co.uk, ns-213.awsdns-26.com, ns-908.awsdns-49.net",,NOERROR,"proxy.firstpromoter.com, fpr-8909.c66.me",,,,
,pm-bounces.amitree.com,1800,,,"{'name': 'mtasv.net', 'ns': 'ns-1077.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'mtasv.net', 'ns': 'ns-1077.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,"v=spf1 include:spf.mtasv.net -all, yahoo-verification-key=NpNs7j2cCfA52kL7C2OJEusZCgAGbJqxMC69/lDoMZc=, google-site-verification=2ltbW8iunE_pv1YaZoVYbntlT_hNyiAaBkhcO9fgZ8s, google-site-verification=pViDNqSauXskObXnIyWwa2KxIP-CAA9GWpasGALiYek, mailru-verification: 7e478ddcd067e847",NOERROR,pm.mtasv.net,,,,
,pm-bounces.mail.amitree.com,1800,"18.189.237.69, 52.15.93.160, 3.18.57.104","p-pm-bounce-smtp01a-aws-useast2a.mtasv.net, p-pm-bounce-smtp01c-aws-useast2c.mtasv.net","{'name': 'mtasv.net', 'ns': 'ns-1077.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'mtasv.net', 'ns': 'ns-1077.awsdns-06.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,pm.mtasv.net,,,,
,support.amitree.com,636,,mail-pod-18.int.zendesk.com,"{'name': 'zendesk.com', 'ns': 'ns-1213.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'zendesk.com', 'ns': 'ns-1213.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,"pod=18, v=spf1 include:mail.zendesk.com ~all",NOERROR,amitree.zendesk.com,,,,
,thesource.amitree.com,1800,172.253.63.121,,"{'name': 'google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 677709978, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 677709978, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 677709978, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}, {'name': 'google.com', 'ns': 'ns1.google.com', 'mailbox': 'dns-admin.google.com', 'serial': 677709978, 'refresh': 900, 'retry': 900, 'expire': 1800, 'minttl': 60}",,,NOERROR,ghs.google.com,,True,google,
,www.amitree.com,1800,151.101.46.133,,"{'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}",,,NOERROR,d.sni.global.fastly.net,,True,fastly,
,www.home.amitree.com,1800,146.75.118.133,,"{'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}, {'name': 'fastly.net', 'ns': 'ns1.fastly.net', 'mailbox': 'hostmaster.fastly.com', 'serial': 2017052201, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 30}",,,NOERROR,d.sni.global.fastly.net,,True,fastly,
,www.partners.amitree.com,300,185.169.253.175,,"{'name': 'easydns.com', 'ns': 'dns1.easydns.com', 'mailbox': 'zone.easydns.com', 'serial': 1726655056, 'refresh': 3600, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'easydns.com', 'ns': 'dns1.easydns.com', 'mailbox': 'zone.easydns.com', 'serial': 1726655056, 'refresh': 3600, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'easydns.com', 'ns': 'dns1.easydns.com', 'mailbox': 'zone.easydns.com', 'serial': 1726655056, 'refresh': 3600, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'easydns.com', 'ns': 'dns1.easydns.com', 'mailbox': 'zone.easydns.com', 'serial': 1726655056, 'refresh': 3600, 'retry': 600, 'expire': 1209600, 'minttl': 300}, {'name': 'easydns.com', 'ns': 'dns1.easydns.com', 'mailbox': 'zone.easydns.com', 'serial': 1726655056, 'refresh': 3600, 'retry': 600, 'expire': 1209600, 'minttl': 300}",,,NOERROR,url-fwd.easydns.com,,,,
