input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_subject_org_
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-19T12:57:42Z,2023-08-11T12:57:41Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,b5a3f1a6025d2831a2025cd1229f5eb1,f6b217e7058f30b38cd19c0de67bd0f1d0b366b2c020708621bee2781b99d2ff,True,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,142.250.186.42,/,-606046040,2a00:1450:4001:803::200a,HTTP/3,1,False,,,,
https://fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-19T12:57:42Z,2023-08-11T12:57:41Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7413746c808fa873a6032a283da87fcb,9cad9ade4fa8573dbf2182c566b17175d505d1fed535f7d0c044893d195081b5,True,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,142.250.186.35,/,302920777,2a00:1450:4001:800::2003,HTTP/3,12,False,,,,
https://github.com/login/oauth/authorize,Sign in to GitHub · GitHub,200,32509,github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,"CN=github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",github.com,www.github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d7f89274a26995baaf99c5aac4ebe7d2,92a37fbd5e21a53a95c716e1144f442f582b94d0fafc673eb6717a4eb51a88a7,,ctls,github.com,,443,https://github.com:443/login/oauth/authorize,https,GitHub.com,text/html,GET,140.82.121.3,/login/oauth/authorize,1848946384,140.82.121.3,HSTS,426,False,,*.githubusercontent.com,https://github.com/login?return_to=%2Flogin%2Foauth%2Fauthorize,"GitHub, Inc."
https://gravatar.com,Gravatar - Globally Recognized Avatars,200,84607,en.gravatar.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-24T23:59:59Z,CN=*.gravatar.com,*.gravatar.com,gravatar.com,"CN=Sectigo ECC Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Domain Validation Secure Server CA,Sectigo Limited,eab84d628994346ce07e523bf9941866,3707397f4d5cdabfe11c2949663fff5dfe2ca29ec27dadbc6232ceb38f5738af,True,ctls,en.gravatar.com,,443,https://gravatar.com:443,https,nginx,text/html,GET,192.0.80.242,/,73337656,192.0.80.239,WordPress,757,False,,fonts.gstatic.com,https://en.gravatar.com/,
https://s3-us-west-2.amazonaws.com/rubygems-dumps/,,200,270053,s3-us-west-2.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-28T23:59:59Z,CN=*.s3-us-west-2.amazonaws.com,*.s3-us-west-2.amazonaws.com,s3-deprecated.us-west-2.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4c5943f3868e788b9bebd073fb792ce8,85d34ef0417d142afc707c81223d336c6aa7c97b1173d51d9d4fa5190af158be,True,ctls,s3-us-west-2.amazonaws.com,,443,https://s3-us-west-2.amazonaws.com:443/rubygems-dumps/,https,AmazonS3,application/xml,GET,52.218.177.32,/rubygems-dumps/,562117632,52.92.149.40,Amazon Web Services,2,False,,,,
https://secure.gaug.es,Real Time Web Analytics & Marketing Attribution Tools - Gauges,200,180376,get.gaug.es,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-09T06:24:51Z,2023-09-07T06:24:50Z,CN=get.gaug.es,get.gaug.es,get.gaug.es,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,29e7f96ab5e59687a5e87b79398565c5,65961edb425c08609f1b822d4708773915d43491c557c6816c50e3bfde511b89,,ctls,get.gaug.es,,443,https://secure.gaug.es:443,https,nginx,text/html,GET,52.71.12.253,/,-1664112165,3.228.27.127,Yoast SEO:5.9.2,864,False,,,https://get.gaug.es/,
https://secure.gravatar.com,Gravatar - Globally Recognized Avatars,200,84611,secure.gravatar.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-24T23:59:59Z,CN=*.gravatar.com,*.gravatar.com,gravatar.com,"CN=Sectigo ECC Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Domain Validation Secure Server CA,Sectigo Limited,eab84d628994346ce07e523bf9941866,3707397f4d5cdabfe11c2949663fff5dfe2ca29ec27dadbc6232ceb38f5738af,True,ctls,secure.gravatar.com,,443,https://secure.gravatar.com:443,https,nginx,text/html,GET,192.0.73.2,/,73337656,2a04:fa87:fffe::c000:4902,WordPress,757,False,,*.wp.com,,
https://www.fastly-insights.com,Fastly Insights,200,19673,insights.fastlylabs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T01:48:41Z,2024-05-23T01:48:40Z,CN=fastlylabs.com,fastlylabs.com,*.wasm.fastlylabs.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,1b4a86101a684566fb2ba495945e4291,314e4a5feb29488efa7a67048dadce10364a9e6bfb64cd5357f4d0fbe32a620c,True,ctls,insights.fastlylabs.com,fastly,443,https://www.fastly-insights.com:443,https,,text/html,GET,151.101.2.91,/,-738705486,151.101.194.91,Varnish,3,False,True,*.fastly-insights.com,https://insights.fastlylabs.com/,
https://www.gravatar.com,Gravatar - Globally Recognized Avatars,200,84607,en.gravatar.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-24T23:59:59Z,CN=*.gravatar.com,*.gravatar.com,gravatar.com,"CN=Sectigo ECC Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Domain Validation Secure Server CA,Sectigo Limited,eab84d628994346ce07e523bf9941866,3707397f4d5cdabfe11c2949663fff5dfe2ca29ec27dadbc6232ceb38f5738af,True,ctls,en.gravatar.com,,443,https://www.gravatar.com:443,https,nginx,text/html,GET,192.0.73.2,/,73337656,2a04:fa87:fffe::c000:4902,WordPress,757,False,,fonts.googleapis.com,https://en.gravatar.com/,
index.rubygems.org,RubyGems.org | your community gem host,200,11077,index.rubygems.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T17:42:30Z,2023-11-27T17:42:29Z,CN=rubygems.org,rubygems.org,staging.rubygems.org,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,c33fe48694ce77c74f404196676d6ff1,823ac565599f6cc29b93e011cee31261c41c804fc13cb7f70fa91aa8626c4760,True,ctls,index.rubygems.org,fastly,443,https://index.rubygems.org:443,https,RubyGems.org,text/html,GET,151.101.1.227,/,-825614509,2a04:4e42:600::483,Varnish,203,False,True,https://fonts.googleapis.com,,
index.staging.rubygems.org,401 Authorization Required,401,179,index.staging.rubygems.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-26T17:42:30Z,2023-11-27T17:42:29Z,CN=rubygems.org,rubygems.org,staging.rubygems.org,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,c33fe48694ce77c74f404196676d6ff1,823ac565599f6cc29b93e011cee31261c41c804fc13cb7f70fa91aa8626c4760,True,ctls,index.staging.rubygems.org,fastly,443,https://index.staging.rubygems.org:443,https,RubyGems.org,text/html,GET,151.101.1.227,/,902050205,2a04:4e42:600::483,Varnish,8,False,True,,,
oidc-api-token.rubygems.org,RubyGems.org | your community gem host,200,11081,oidc-api-token.rubygems.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-19T20:01:54Z,2023-07-18T20:01:53Z,CN=oidc-api-token.rubygems.org,oidc-api-token.rubygems.org,oidc-api-token.rubygems.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1e84755edf546019e6bace2c9c19848c,d7ae1b87c039206b027dcf8c7e0715666a9e62d0438ed63f53da0894d56aba93,,ctls,oidc-api-token.rubygems.org,fastly,443,https://oidc-api-token.rubygems.org:443,https,RubyGems.org,text/html,GET,151.101.1.227,/,-825614509,2a04:4e42:600::483,Varnish,203,False,True,http://localhost:*,,
production.cf.rubygems.org,RubyGems.org | your community gem host,200,11065,rubygems.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T17:42:30Z,2023-11-27T17:42:29Z,CN=rubygems.org,rubygems.org,staging.rubygems.org,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,c33fe48694ce77c74f404196676d6ff1,823ac565599f6cc29b93e011cee31261c41c804fc13cb7f70fa91aa8626c4760,True,ctls,rubygems.org,fastly,443,https://production.cf.rubygems.org:443,https,RubyGems.org,text/html,GET,151.101.1.227,/,-825614509,2a04:4e42:600::483,Varnish,203,False,True,https://github.com/login/oauth/authorize,https://rubygems.org/,
rubygems.org,RubyGems.org | your community gem host,200,11065,rubygems.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T17:42:30Z,2023-11-27T17:42:29Z,CN=rubygems.org,rubygems.org,staging.rubygems.org,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,c33fe48694ce77c74f404196676d6ff1,823ac565599f6cc29b93e011cee31261c41c804fc13cb7f70fa91aa8626c4760,True,ctls,rubygems.org,fastly,443,https://rubygems.org:443,https,RubyGems.org,text/html,GET,151.101.129.227,/,-825614509,2a04:4e42:200::483,Varnish,203,False,True,https://api.github.com,,
shipit.rubygems.org,Sign in to GitHub · GitHub,200,33922,github.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-14T00:00:00Z,2024-03-14T23:59:59Z,"CN=github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",github.com,www.github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,d7f89274a26995baaf99c5aac4ebe7d2,92a37fbd5e21a53a95c716e1144f442f582b94d0fafc673eb6717a4eb51a88a7,,ctls,github.com,,443,https://shipit.rubygems.org:443,https,GitHub.com,text/html,GET,50.112.11.36,/,-1840324437,54.69.37.177,HSTS,434,False,,productionresultssa3.blob.core.windows.net/,https://github.com/login?client_id=Iv1.b2dd3efe087b5e4a&return_to=%2Flogin%2Foauth%2Fauthorize%3Fclient_id%3DIv1.b2dd3efe087b5e4a%26redirect_uri%3Dhttps%253A%252F%252Fshipit.rubygems.org%252Fgithub%252Fauth%252Fgithub%252Fcallback%26response_type%3Dcode%26state%3De710f1e03132d5f4955fb0e07c3c6b43aac6e5eef7d75a2f,"GitHub, Inc."
staging-origin.rubygems.org,401 Authorization Required,401,179,staging-origin.rubygems.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-19T00:00:00Z,2024-03-19T23:59:59Z,CN=staging.rubygems.org,staging.rubygems.org,staging-origin.rubygems.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b6a0ed2a4869ee8820a3287694443272,b9bc3eaa6aa988e0c8dad211c41698f4a5216bff035a906850f276e6732b0724,,ctls,staging-origin.rubygems.org,,443,https://staging-origin.rubygems.org:443,https,nginx/1.19.7,text/html,GET,54.191.204.175,/,902050205,18.236.40.215,Nginx:1.19.7,8,False,,,,
staging.rubygems.org,401 Authorization Required,401,179,staging.rubygems.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-26T17:42:30Z,2023-11-27T17:42:29Z,CN=rubygems.org,rubygems.org,staging.rubygems.org,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,c33fe48694ce77c74f404196676d6ff1,823ac565599f6cc29b93e011cee31261c41c804fc13cb7f70fa91aa8626c4760,True,ctls,staging.rubygems.org,fastly,443,https://staging.rubygems.org:443,https,RubyGems.org,text/html,GET,151.101.1.227,/,902050205,2a04:4e42:600::483,Varnish,8,False,True,,,
stats.rubygems.org,RubyGems.org stats,200,28790,stats.rubygems.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-23T04:24:12Z,2023-08-21T04:24:11Z,CN=stats.rubygems.org,stats.rubygems.org,stats.rubygems.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,36b6fcf5f48395a593a9a0a6ff49655c,bbaa061f076f352230f71c9f49d0f5287674f1ec6c8c1eec188418e00fdcd76c,,ctls,stats.rubygems.org,,443,https://stats.rubygems.org:443,https,Cowboy,text/html,GET,34.201.80.84,/,-1840324437,54.196.16.164,Ruby on Rails,948,False,,fonts.googleapis.com,,
status.rubygems.org,RubyGems.org Status,200,168639,status.rubygems.org,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-28T16:45:03Z,2023-07-27T16:45:02Z,CN=apistatus.pitneybowes.com,apistatus.pitneybowes.com,www.ntiretystatus.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,af36616f8d272ca685cb64716f0274ca,2287caaa818391a20a3ed4e902166e167cecf7477496fc24e13c2f8a79d008ca,,ctls,status.rubygems.org,,443,https://status.rubygems.org:443,https,,text/html,GET,52.215.192.133,/,-1840324437,52.215.192.133,HSTS,4112,False,,,,
support.rubygems.org,The page you were looking for doesn't exist (404),404,4869,support.rubygems.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-28T23:43:24Z,2023-07-27T23:43:23Z,CN=support.rubygems.org,support.rubygems.org,support.rubygems.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cdeb919b161641a60430460871fc1a22,fea8ab36696fd6e413fc0a1207c40972e97ff1c798fff27517aab7ea1757e753,,ctls,support.rubygems.org,cloudflare,443,https://support.rubygems.org:443,https,cloudflare,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,Zendesk,169,False,True,,https://support.rubygems.org/hc,
www.rubygems.org,RubyGems.org | your community gem host,200,11065,rubygems.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-26T17:42:30Z,2023-11-27T17:42:29Z,CN=rubygems.org,rubygems.org,staging.rubygems.org,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,c33fe48694ce77c74f404196676d6ff1,823ac565599f6cc29b93e011cee31261c41c804fc13cb7f70fa91aa8626c4760,True,ctls,rubygems.org,fastly,443,https://www.rubygems.org:443,https,RubyGems.org,text/html,GET,151.101.1.227,/,-825614509,2a04:4e42:400::483,Varnish,203,False,True,https://www.fastly-insights.com,https://rubygems.org/,
zendesk1.rubygems.org,,409,16,,,,,,,,,,,,,,,,,,,cloudflare,80,http://zendesk1.rubygems.org:80,http,cloudflare,text/plain,GET,162.159.138.6,/,1000520165,162.159.128.7,Cloudflare,1,False,True,,,
zendesk2.rubygems.org,,409,16,,,,,,,,,,,,,,,,,,,cloudflare,80,http://zendesk2.rubygems.org:80,http,cloudflare,text/plain,GET,162.159.138.6,/,1000520165,162.159.128.7,Cloudflare,1,False,True,,,
zendesk3.rubygems.org,,409,16,,,,,,,,,,,,,,,,,,,cloudflare,80,http://zendesk3.rubygems.org:80,http,cloudflare,text/plain,GET,162.159.128.7,/,1000520165,162.159.138.6,Cloudflare,1,False,True,,,
zendesk4.rubygems.org,,409,16,,,,,,,,,,,,,,,,,,,cloudflare,80,http://zendesk4.rubygems.org:80,http,cloudflare,text/plain,GET,162.159.128.7,/,1000520165,162.159.138.6,Cloudflare,1,False,True,,,
