input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_expired,tls_mismatched,tls_subject_org_,csp_domains_,location,final_url,tls_self_signed
eagle-prodgac-rds-external-readonly-preprod.snappublisher.snapchat.com,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,,80,http://eagle-prodgac-rds-external-readonly-preprod.snappublisher.snapchat.com:80,http,ghs,text/html,GET,216.58.212.179,/,302920777,2a00:1450:4001:828::2013,,12,False,,,,,,,,
familieberichten.ad.nl,DPG Media Privacy Gate,200,8803,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,,80,http://familieberichten.ad.nl:80,http,,text/html,GET,146.185.53.23,/,2022006080,146.185.53.23,Google Tag Manager,278,False,,,,DPG Media Services nv,,,https://myprivacy.dpgmedia.nl/consent?siteKey=V9f6VUvlHxq9wKIN&callbackUrl=https%3A%2F%2Fwww.ad.nl%2Fprivacy-gate%2Faccept-tcf2%3FredirectUri%3D%252F,
fbweb.ad.nl,DPG Media Privacy Gate,200,8803,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,,80,http://fbweb.ad.nl:80,http,,text/html,GET,146.185.53.23,/,2022006080,146.185.53.23,Google Tag Manager,278,False,,,,DPG Media Services nv,,,https://myprivacy.dpgmedia.nl/consent?siteKey=V9f6VUvlHxq9wKIN&callbackUrl=https%3A%2F%2Fwww.ad.nl%2Fprivacy-gate%2Faccept-tcf2%3FredirectUri%3D%252F,
gac-rds-external-readonly-preprod.account.fr.cloud.gov,,404,106,gac-rds-external-readonly-preprod.account.fr.cloud.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-19T16:55:17Z,2023-07-18T16:55:16Z,CN=*.fr.cloud.gov,*.fr.cloud.gov,*.fr.cloud.gov,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bd9d4ebd9d60645431e2f5118a28259d,ad9b4582949ad03bf3ec951188515e5b30f5d4cfa2f1d8063c829758079ec0e1,True,ctls,gac-rds-external-readonly-preprod.account.fr.cloud.gov,,443,https://gac-rds-external-readonly-preprod.account.fr.cloud.gov:443,https,,text/plain,GET,15.205.11.215,/,-1792872570,2600:1f12:18a:7d00:2329:5200:62d9:20bb,HSTS,2,False,,,True,,,,,
gac-rds-external-readonly-preprod.admin.fr.cloud.gov,,404,104,gac-rds-external-readonly-preprod.admin.fr.cloud.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-19T16:55:17Z,2023-07-18T16:55:16Z,CN=*.fr.cloud.gov,*.fr.cloud.gov,*.fr.cloud.gov,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bd9d4ebd9d60645431e2f5118a28259d,ad9b4582949ad03bf3ec951188515e5b30f5d4cfa2f1d8063c829758079ec0e1,True,ctls,gac-rds-external-readonly-preprod.admin.fr.cloud.gov,,443,https://gac-rds-external-readonly-preprod.admin.fr.cloud.gov:443,https,,text/plain,GET,160.1.93.218,/,1256198509,2600:1f12:18a:7d01:f27c:9787:253b:82ac,HSTS,2,False,,,True,,,,,
gac-rds-external-readonly-preprod.api.binance.com,"Binance - Cryptocurrency Exchange for Bitcoin, Ethereum & Altcoins",200,360274,www.binance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2024-02-16T23:59:59Z,"CN=*.binance.com, O=Binance Holdings Limited, L=West Bay, C=KY",*.binance.com,binance.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,b41bee1f9c411051c5a7b723ba661ced,9307deddaf3a78771db1b7683e9f188e2883aea1775887d45cf6f9c8711a7249,True,ctls,www.binance.com,,80,http://gac-rds-external-readonly-preprod.api.binance.com:80,http,Tengine,text/html,GET,52.192.116.67,/,-1882315990,52.69.120.135,Tengine,15,False,,,,Binance Holdings Limited,*.google.com.cy,,https://www.binance.com/en,
gac-rds-external-readonly-preprod.api.fr.cloud.gov,,404,102,gac-rds-external-readonly-preprod.api.fr.cloud.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-19T16:55:17Z,2023-07-18T16:55:16Z,CN=*.fr.cloud.gov,*.fr.cloud.gov,*.fr.cloud.gov,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bd9d4ebd9d60645431e2f5118a28259d,ad9b4582949ad03bf3ec951188515e5b30f5d4cfa2f1d8063c829758079ec0e1,True,ctls,gac-rds-external-readonly-preprod.api.fr.cloud.gov,,443,https://gac-rds-external-readonly-preprod.api.fr.cloud.gov:443,https,,text/plain,GET,160.1.93.218,/,1555397442,2600:1f12:18a:7d01:f27c:9787:253b:82ac,HSTS,2,False,,,True,,,,,
gac-rds-external-readonly-preprod.app.sandbox.directly.com,Sign up | Directly,200,10530,gac-rds-external-readonly-preprod.app.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,gac-rds-external-readonly-preprod.app.sandbox.directly.com,,443,https://gac-rds-external-readonly-preprod.app.sandbox.directly.com:443,https,Apache,text/html,GET,52.0.241.167,/,1899044793,3.224.175.215,Pure CSS,283,False,,,True,,*.quantserve.com,,https://gac-rds-external-readonly-preprod.app.sandbox.directly.com/login/auth,
gac-rds-external-readonly-preprod.binance.com,"Binance - Cryptocurrency Exchange for Bitcoin, Ethereum & Altcoins",200,360023,www.binance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2024-02-16T23:59:59Z,"CN=*.binance.com, O=Binance Holdings Limited, L=West Bay, C=KY",*.binance.com,binance.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,b41bee1f9c411051c5a7b723ba661ced,9307deddaf3a78771db1b7683e9f188e2883aea1775887d45cf6f9c8711a7249,True,ctls,www.binance.com,,443,https://gac-rds-external-readonly-preprod.binance.com:443,https,Tengine,text/html,GET,52.192.116.67,/,-2120702832,52.69.120.135,Tengine,15,False,,,,Binance Holdings Limited,*.google.co.za,,https://www.binance.com/en,
gac-rds-external-readonly-preprod.ci.fr.cloud.gov,,404,101,gac-rds-external-readonly-preprod.ci.fr.cloud.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-19T16:55:17Z,2023-07-18T16:55:16Z,CN=*.fr.cloud.gov,*.fr.cloud.gov,*.fr.cloud.gov,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bd9d4ebd9d60645431e2f5118a28259d,ad9b4582949ad03bf3ec951188515e5b30f5d4cfa2f1d8063c829758079ec0e1,True,ctls,gac-rds-external-readonly-preprod.ci.fr.cloud.gov,,443,https://gac-rds-external-readonly-preprod.ci.fr.cloud.gov:443,https,,text/plain,GET,15.205.11.215,/,1645608402,2600:1f12:18a:7d01:f27c:9787:253b:82ac,HSTS,2,False,,,True,,,,,
gac-rds-external-readonly-preprod.dashboard-beta.fr.cloud.gov,,404,113,gac-rds-external-readonly-preprod.dashboard-beta.fr.cloud.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-19T16:55:17Z,2023-07-18T16:55:16Z,CN=*.fr.cloud.gov,*.fr.cloud.gov,*.fr.cloud.gov,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bd9d4ebd9d60645431e2f5118a28259d,ad9b4582949ad03bf3ec951188515e5b30f5d4cfa2f1d8063c829758079ec0e1,True,ctls,gac-rds-external-readonly-preprod.dashboard-beta.fr.cloud.gov,,443,https://gac-rds-external-readonly-preprod.dashboard-beta.fr.cloud.gov:443,https,,text/plain,GET,160.1.93.218,/,-1698776958,2600:1f12:18a:7d01:f27c:9787:253b:82ac,HSTS,2,False,,,True,,,,,
gac-rds-external-readonly-preprod.dashboard.fr.cloud.gov,,404,108,gac-rds-external-readonly-preprod.dashboard.fr.cloud.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-19T16:55:17Z,2023-07-18T16:55:16Z,CN=*.fr.cloud.gov,*.fr.cloud.gov,*.fr.cloud.gov,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bd9d4ebd9d60645431e2f5118a28259d,ad9b4582949ad03bf3ec951188515e5b30f5d4cfa2f1d8063c829758079ec0e1,True,ctls,gac-rds-external-readonly-preprod.dashboard.fr.cloud.gov,,443,https://gac-rds-external-readonly-preprod.dashboard.fr.cloud.gov:443,https,,text/plain,GET,160.1.93.218,/,-2090536771,2600:1f12:18a:7d01:f27c:9787:253b:82ac,HSTS,2,False,,,True,,,,,
gac-rds-external-readonly-preprod.donations.livestream.com,Login to Livestream,200,24760,livestream.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-19T00:00:00Z,2023-10-18T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",40f0a7164beb42f54b00d60ce0f61f93,3be2a8749710a618e778b6353b40352ba45ab232d4f22bbc40de3c7a89c1733e,,ctls,livestream.com,fastly,443,https://gac-rds-external-readonly-preprod.donations.livestream.com:443,https,cloudflare,text/html,GET,151.101.2.29,/,973546752,151.101.194.29,Varnish,557,False,True,,,"Cloudflare, Inc.",,,https://livestream.com/session/new,
gac-rds-external-readonly-preprod.events.dewarmsteweek.be,Home | De Warmste Week,200,26695,dewarmsteweek.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-02-10T23:59:59Z,CN=*.dewarmsteweek.be,*.dewarmsteweek.be,dewarmsteweek.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7154e180daff39c67da42d4778255115,ccb7fde7fc4a2b5155d6894b003a5405a8ac970be384b496faff6eff5fb1d49e,True,ctls,dewarmsteweek.be,,443,https://gac-rds-external-readonly-preprod.events.dewarmsteweek.be:443,https,nginx,text/html,GET,86.39.65.98,/,1910289007,2a00:6ec0:101:1:0:98:0:1,Nginx,296,False,,,,,,,https://dewarmsteweek.be/,
gac-rds-external-readonly-preprod.federalist-proxy.app.cloud.gov,,404,116,gac-rds-external-readonly-preprod.federalist-proxy.app.cloud.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-18T16:55:12Z,2023-07-17T16:55:11Z,CN=*.app.cloud.gov,*.app.cloud.gov,*.app.cloud.gov,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,78adbdaeebd5a7ec0c28fb4c065e446c,8bfde0ae9ef144948465e1bedb66cf01e31634abce065654ea762a006472d46a,True,ctls,gac-rds-external-readonly-preprod.federalist-proxy.app.cloud.gov,,443,https://gac-rds-external-readonly-preprod.federalist-proxy.app.cloud.gov:443,https,,text/plain,GET,15.205.11.151,/,-1899682216,2600:1f12:18a:7d01:824e:517:fe84:322,HSTS,2,False,,,True,,,,,
gac-rds-external-readonly-preprod.host120.udemy.com,403 Forbidden,403,553,gac-rds-external-readonly-preprod.host120.udemy.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2020-04-07T00:00:00Z,2020-10-14T23:59:59Z,CN=ssl826386.cloudflaressl.com,ssl826386.cloudflaressl.com,ssl826386.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,651266b29091fb462badf4c1766cabcc,8aa186031abb4b4cf06016b7a42fc42c5058b72dacfe402eca8f497e3264a4bf,,ctls,gac-rds-external-readonly-preprod.host120.udemy.com,cloudflare,443,https://gac-rds-external-readonly-preprod.host120.udemy.com:443,https,cloudflare,text/html,GET,104.18.160.90,/,-861110197,2606:4700::6810:e25b,Cloudflare,14,False,True,True,True,,,,,
gac-rds-external-readonly-preprod.idp.fr.cloud.gov,,404,102,gac-rds-external-readonly-preprod.idp.fr.cloud.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-19T16:55:17Z,2023-07-18T16:55:16Z,CN=*.fr.cloud.gov,*.fr.cloud.gov,*.fr.cloud.gov,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bd9d4ebd9d60645431e2f5118a28259d,ad9b4582949ad03bf3ec951188515e5b30f5d4cfa2f1d8063c829758079ec0e1,True,ctls,gac-rds-external-readonly-preprod.idp.fr.cloud.gov,,443,https://gac-rds-external-readonly-preprod.idp.fr.cloud.gov:443,https,,text/plain,GET,160.1.93.218,/,-1192046163,2600:1f12:18a:7d00:2329:5200:62d9:20bb,HSTS,2,False,,,True,,,,,
gac-rds-external-readonly-preprod.login.fr.cloud.gov,cloud.gov,404,16605,gac-rds-external-readonly-preprod.login.fr.cloud.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-19T16:55:17Z,2023-07-18T16:55:16Z,CN=*.fr.cloud.gov,*.fr.cloud.gov,*.fr.cloud.gov,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bd9d4ebd9d60645431e2f5118a28259d,ad9b4582949ad03bf3ec951188515e5b30f5d4cfa2f1d8063c829758079ec0e1,True,ctls,gac-rds-external-readonly-preprod.login.fr.cloud.gov,,443,https://gac-rds-external-readonly-preprod.login.fr.cloud.gov:443,https,,text/html,GET,15.205.11.215,/,-833244735,2600:1f12:18a:7d01:f27c:9787:253b:82ac,HSTS,50,False,,,True,,,,,
gac-rds-external-readonly-preprod.logs-platform.fr.cloud.gov,,404,112,gac-rds-external-readonly-preprod.logs-platform.fr.cloud.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-19T16:55:17Z,2023-07-18T16:55:16Z,CN=*.fr.cloud.gov,*.fr.cloud.gov,*.fr.cloud.gov,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bd9d4ebd9d60645431e2f5118a28259d,ad9b4582949ad03bf3ec951188515e5b30f5d4cfa2f1d8063c829758079ec0e1,True,ctls,gac-rds-external-readonly-preprod.logs-platform.fr.cloud.gov,,443,https://gac-rds-external-readonly-preprod.logs-platform.fr.cloud.gov:443,https,,text/plain,GET,15.205.11.215,/,1265031094,2600:1f12:18a:7d00:2329:5200:62d9:20bb,HSTS,2,False,,,True,,,,,
gac-rds-external-readonly-preprod.logs.fr.cloud.gov,,404,103,gac-rds-external-readonly-preprod.logs.fr.cloud.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-19T16:55:17Z,2023-07-18T16:55:16Z,CN=*.fr.cloud.gov,*.fr.cloud.gov,*.fr.cloud.gov,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bd9d4ebd9d60645431e2f5118a28259d,ad9b4582949ad03bf3ec951188515e5b30f5d4cfa2f1d8063c829758079ec0e1,True,ctls,gac-rds-external-readonly-preprod.logs.fr.cloud.gov,,443,https://gac-rds-external-readonly-preprod.logs.fr.cloud.gov:443,https,,text/plain,GET,15.205.11.215,/,-1433668542,2600:1f12:18a:7d01:f27c:9787:253b:82ac,HSTS,2,False,,,True,,,,,
gac-rds-external-readonly-preprod.mailfoogae.appspot.com,Streak - CRM for Gmail,200,110594,gac-rds-external-readonly-preprod.mailfoogae.appspot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:55:43Z,2023-07-17T11:55:42Z,CN=*.appspot-preview.com,*.appspot-preview.com,*.app.google,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,36d1833ce54286e4593696e0979d6fe2,7b100ed7d5eef7c75ff28ac36712a40e9daaca1f4575d7f007995485fd88a1b0,True,ctls,gac-rds-external-readonly-preprod.mailfoogae.appspot.com,,443,https://gac-rds-external-readonly-preprod.mailfoogae.appspot.com:443,https,nginx/1.13.12,,GET,142.250.185.244,/,918633918,2a00:1450:4001:813::2014,Webflow,691,False,,,True,,,,,
gac-rds-external-readonly-preprod.media.muslimpro.com,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,,80,http://gac-rds-external-readonly-preprod.media.muslimpro.com:80,http,ghs,text/html,GET,172.217.16.147,/,302920777,2a00:1450:4001:808::2013,,12,False,,,,,,,,
gac-rds-external-readonly-preprod.opslogin.fr.cloud.gov,,404,107,gac-rds-external-readonly-preprod.opslogin.fr.cloud.gov,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-19T16:55:17Z,2023-07-18T16:55:16Z,CN=*.fr.cloud.gov,*.fr.cloud.gov,*.fr.cloud.gov,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bd9d4ebd9d60645431e2f5118a28259d,ad9b4582949ad03bf3ec951188515e5b30f5d4cfa2f1d8063c829758079ec0e1,True,ctls,gac-rds-external-readonly-preprod.opslogin.fr.cloud.gov,,443,https://gac-rds-external-readonly-preprod.opslogin.fr.cloud.gov:443,https,,text/plain,GET,15.205.11.215,/,-828572457,2600:1f12:18a:7d00:2329:5200:62d9:20bb,HSTS,2,False,,,True,,,,,
