input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,content_type,csp_domains_,tls_wildcard_certificate,tls_mismatched,final_url
callback-uat.upstox.com,,404,9,callback-uat.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-07-11T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",callback-uat.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",0d25d03aa11c1a7fcdcf821e2c362bbf,07bb33be842d29f033231771d3a9aa84a500e9d2c0ab3c8a646c13cac9ec5bec,ctls,callback-uat.upstox.com,cloudflare,443,https://callback-uat.upstox.com:443,https,cloudflare,GET,104.18.1.212,/,-738705486,2606:4700::6812:1d4,HSTS,1,False,True,text/plain,,,,
callback.upstox.com,,404,,callback.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-07-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c40b4b4349004fd6d4460670d96caffd,677721fffc84c2d65190df4042d669f91252dd17e78f80a11b4f39a0b6cc42d1,ctls,callback.upstox.com,cloudflare,443,https://callback.upstox.com:443,https,cloudflare,GET,104.18.1.212,/,-1840324437,2606:4700::6812:d4,HSTS,1,False,True,,,,,
cdsl.upstox.com,Upstox - CDSL Authorisation,200,1223,cdsl.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-28T00:00:00Z,2024-06-24T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a2f487b1674dd2b22b1ef420b483cbe3,cd05c45f27ea5538b14b3c551340921318ac375fdbedd2a9545256fdd4ba18f1,ctls,cdsl.upstox.com,,443,https://cdsl.upstox.com:443,https,nginx,GET,3.111.172.211,/,1733561871,52.66.137.118,Nginx,1,False,,text/html,,True,,
cf.upstox.com,Trading - Online Share Market Trading App in India - Best Stock Trading Platform,200,349705,cf.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T00:00:00Z,2024-05-17T23:59:59Z,CN=upstox.com,upstox.com,,*.upstox.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6b371175fc468158e3ef0df29471d704,94eba1e20247c24b056d3262fae72fd145dfda2d124d6ce8ddcbd83ed86df078,ctls,cf.upstox.com,cloudfront,443,https://cf.upstox.com:443,https,nginx,GET,52.222.236.53,/,-1840324437,2600:9000:223e:1e00:14:3757:8c00:93a1,WordPress,2720,False,True,text/html,,True,,
community.upstox.com,Upstox Community,200,412876,community.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-30T00:00:04Z,2023-08-28T00:00:03Z,CN=community.upstox.com,community.upstox.com,,community.upstox.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6fa157f9c0379ec659035ac655f8a207,371b06b22d9d8e516ff2d76fe5029cc28fbf9899463d3b49647e9b14e08c5547,ctls,community.upstox.com,,443,https://community.upstox.com:443,https,nginx,GET,184.104.178.43,/,-1840324437,2602:fd3f:1:ff01::2b,Ruby on Rails,754,False,,text/html,https://europe1.discourse-cdn.com/standard20/brotli_asset/,,,
console.upstox.com,,523,,console.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-07-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",1aba09a9ba5f956208f6c1a3db9ec15a,7560a8c77adae2c573c77a46d7bbbd1d572a2cf365a97f01ef8a61402195aeec,ctls,console.upstox.com,cloudflare,443,https://console.upstox.com:443,https,cloudflare,GET,104.18.1.212,/,-1840324437,2606:4700::6812:1d4,HSTS,1,False,True,,,,,
dev-validate.upstox.com,,200,49,dev-validate.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-07-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6d8126f0de43eef3a726ec5c7ac93f0c,ed0388b13df351b5ed31ed27cda6ea8603de5ff8007ceb2d9cc082ee4aa8e9c4,ctls,dev-validate.upstox.com,cloudflare,443,https://dev-validate.upstox.com:443,https,cloudflare,GET,104.18.0.212,/,1733561871,2606:4700::6812:d4,HSTS,1,False,True,application/json,*.upstox.com,,,
developer.upstox.com,Upstox API,200,3147,developer.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-13T00:00:00Z,2024-03-11T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",developer.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ca69b3977747f7341c4db5533ff85f41,c8736d47d931fa7f0bff7070e3f2debf8de261bf75a742ca47cfc6cfdcfc025a,ctls,developer.upstox.com,cloudflare,443,https://developer.upstox.com:443,https,cloudflare,GET,104.18.0.212,/,-1743001978,2606:4700::6812:1d4,HSTS,70,False,True,text/html,,,,
edis.upstox.com,,200,66,edis.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-28T00:00:00Z,2024-06-24T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a2f487b1674dd2b22b1ef420b483cbe3,cd05c45f27ea5538b14b3c551340921318ac375fdbedd2a9545256fdd4ba18f1,ctls,edis.upstox.com,,443,https://edis.upstox.com:443,https,,GET,15.206.57.75,/,596030801,13.233.175.162,,1,False,,application/json,,True,,
enterpriseregistration.upstox.com,Service,404,1565,enterpriseregistration.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-07-03T00:00:00Z,2024-07-03T23:59:59Z,"CN=graph.windows.net, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",graph.windows.net,Microsoft Corporation,sts.windows.net,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,e7df1f16e52638c1dfeed42ec0ca9590,2ac4f3864729a635125d556395e9307bc2967b6675fdc970a1d9e7daad887c7f,ctls,enterpriseregistration.upstox.com,azure,443,https://enterpriseregistration.upstox.com:443,https,,GET,40.126.32.129,/,-2070773535,2603:1027:1:148::b,HSTS,14,False,True,text/html,,True,True,
fwdkim1.upstox.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://fwdkim1.upstox.com:80,http,CloudFront,GET,13.225.78.59,/,1948171041,13.225.78.58,Amazon Web Services,20,False,True,text/html,,,,
help.upstox.com,Upstox Help Center - Upstox Support,200,44503,help.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-07-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",help.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",d6319b0bd7129da0034d7a85716e204a,d473d53624a37f49992b389a77b7dc1b9889c95b1598b18b1f02c2a169a9a425,ctls,help.upstox.com,cloudflare,443,https://help.upstox.com:443,https,cloudflare,GET,104.18.0.212,/,-1611011004,2606:4700::6812:1d4,Ruby on Rails,799,False,True,text/html,https://*.upstox.com,,,https://help.upstox.com/support/home
https://endpoint6.collection.us2.sumologic.com/receiver/v1/http/ZaVnC4dhaV2rhVeK_8-2O11aIYbmIoR_QbMhUbG_a9x_T4UXzexbVytyX4hCAFolrKKge1yc6fZyJy0flgJWX0Vh_3EPIK_Qgw1GdpGtV8nMPxnr5Jmd6g==,,200,,endpoint6.collection.us2.sumologic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-12T00:00:00Z,2024-07-10T23:59:59Z,CN=endpoint1.collection.us2.sumologic.com,endpoint1.collection.us2.sumologic.com,,endpoint5.collection.us2.sumologic.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f7ec7fd2acf1a2f296555a41e83f5f0a,1dbcf85965ec2cbc193ed263ca593b49fa8437dc7f31803955999dafb9cbd923,ctls,endpoint6.collection.us2.sumologic.com,,443,https://endpoint6.collection.us2.sumologic.com:443/receiver/v1/http/ZaVnC4dhaV2rhVeK_8-2O11aIYbmIoR_QbMhUbG_a9x_T4UXzexbVytyX4hCAFolrKKge1yc6fZyJy0flgJWX0Vh_3EPIK_Qgw1GdpGtV8nMPxnr5Jmd6g==,https,,GET,52.89.35.87,/receiver/v1/http/ZaVnC4dhaV2rhVeK_8-2O11aIYbmIoR_QbMhUbG_a9x_T4UXzexbVytyX4hCAFolrKKge1yc6fZyJy0flgJWX0Vh_3EPIK_Qgw1GdpGtV8nMPxnr5Jmd6g==,1967067233,54.189.239.211,HSTS,1,False,,,,,,
invest.upstox.com,IPO – Upcoming IPO in India – IPO Watch - Allotment Status,200,290022,upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-05-09T23:59:59Z,CN=upstox.com,upstox.com,,*.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,fa7215293b6fb43a5df522b1145ffc18,a6f957d555d4d4ce3c46174d8e99e238968d908caca98d8b6afdd73c3dd1eb1a,ctls,upstox.com,cloudflare,443,https://invest.upstox.com:443,https,nginx,GET,104.18.0.212,/,-1501653920,2606:4700::6812:d4,Nginx,57,False,True,text/html,,True,,https://upstox.com:443/ipo-initial-public-offering
keystone.upstox.com,Upstox Accounts,200,5564,account.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-28T00:00:00Z,2024-06-24T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a2f487b1674dd2b22b1ef420b483cbe3,cd05c45f27ea5538b14b3c551340921318ac375fdbedd2a9545256fdd4ba18f1,ctls,account.upstox.com,,443,https://keystone.upstox.com:443,https,nginx,GET,65.1.62.251,/,1601036772,3.7.49.7,Nginx,1,False,,text/html,,True,,https://account.upstox.com:443/reports
link.upstox.com,Invalid Dynamic Link,400,9233,link.upstox.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-04T18:56:40Z,2023-10-02T19:55:12Z,CN=v2.spoki.it,v2.spoki.it,,torrent.glass,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,980e7545c4a8fc9d397e49bb7ae60570,9e58e48c0cc653473147197cf2de5e466b647cddc457e47c0fb9e24a6f46229c,ctls,link.upstox.com,,443,https://link.upstox.com:443,https,,GET,199.36.158.100,/,1905170354,199.36.158.100,HTTP/3,1,False,,text/html,,,,
login-v2.upstox.com,Login to Upstox,200,3645,login.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-07-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",login.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8f1abb3e992e3253100b081cdb63d4ad,fa391d4a83204623b2a58fd19bdd64d7fa93423038ebe2c2ded9278c14f80f21,ctls,login.upstox.com,,443,https://login-v2.upstox.com:443,https,cloudflare,GET,13.232.250.157,/,754949814,13.127.58.58,HSTS,5,False,,text/html,https://upstox.com,,,https://login.upstox.com:443/
login.upstox.com,Login to Upstox,200,3645,login.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-07-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",login.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8f1abb3e992e3253100b081cdb63d4ad,fa391d4a83204623b2a58fd19bdd64d7fa93423038ebe2c2ded9278c14f80f21,ctls,login.upstox.com,cloudflare,443,https://login.upstox.com:443,https,cloudflare,GET,104.18.0.212,/,1733561871,2606:4700::6812:1d4,HSTS,5,False,True,text/html,https://*.upstox.com,,,
lyncdiscover.upstox.com,,404,34,lyncdiscover.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,Microsoft Corporation,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,ctls,lyncdiscover.upstox.com,,443,https://lyncdiscover.upstox.com:443,https,,GET,52.112.192.14,/,561381128,2603:1027:0:48::21,Azure,1,False,,application/json,,True,True,
my.upstox.com,My Upstox Account,200,404,my.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-28T00:00:00Z,2024-06-24T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a2f487b1674dd2b22b1ef420b483cbe3,cd05c45f27ea5538b14b3c551340921318ac375fdbedd2a9545256fdd4ba18f1,ctls,my.upstox.com,,443,https://my.upstox.com:443,https,nginx,GET,13.235.220.17,/,1733561871,35.154.219.147,Nginx,1,False,,text/html,,True,,
origin-lite-services-cf.upstox.com,,523,,origin-lite-services-cf.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-07-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9ba7d69129e922f1e0b8374e3f47108f,ae9f34232b373a5cd8ec0b38413adc764790bbefa954c8fe82cb2e0459050d4d,ctls,origin-lite-services-cf.upstox.com,cloudflare,443,https://origin-lite-services-cf.upstox.com:443,https,cloudflare,GET,104.18.0.212,/,-1840324437,2606:4700::6812:1d4,HSTS,1,False,True,,,,,
origin-service-uat.uat1.upstox.com,Origin DNS error | origin-service-uat.uat1.upstox.com | Cloudflare,530,6252,origin-service-uat.uat1.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-03-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",b3d18fc45fa749991e4fcd3a206c8404,68411e8c42f611202e15e936b44e95f489845eadf70ad6293401604995525c36,ctls,origin-service-uat.uat1.upstox.com,cloudflare,443,https://origin-service-uat.uat1.upstox.com:443,https,cloudflare,GET,104.18.18.25,/,-1451969240,2606:4700::6812:1319,Cloudflare,92,False,True,text/html,,,,
partner.upstox.com,Partner Dashboard,200,5464,partner.upstox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-28T00:00:00Z,2024-06-24T23:59:59Z,CN=*.upstox.com,*.upstox.com,,*.prod.upstox.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,a2f487b1674dd2b22b1ef420b483cbe3,cd05c45f27ea5538b14b3c551340921318ac375fdbedd2a9545256fdd4ba18f1,ctls,partner.upstox.com,,443,https://partner.upstox.com:443,https,nginx,GET,15.207.171.179,/,1733561871,3.109.253.234,Nginx,114,False,,text/html,,True,,
policy.upstox.com,Sign in - Google Accounts,200,585707,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:21:21Z,2023-09-11T08:21:20Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7ca79e3005c064e43ffa55bbc2b1fe35,a7ae3b98a859a2cfbc7c67481a42916bc9762b82346d09cc612a57310ce6c82e,ctls,accounts.google.com,,443,https://policy.upstox.com:443,https,ESF,GET,35.154.18.148,/,1709477424,43.204.69.86,HTTP/3,76,False,,text/html,,True,,https://accounts.google.com/v3/signin/identifier?dsh=S1258669658%3A1689651211317451&continue=https%3A%2F%2Fsites.google.com%2Frksv.in%2Fpolicy-center%2Fhome&followup=https%3A%2F%2Fsites.google.com%2Frksv.in%2Fpolicy-center%2Fhome&ifkv=AeDOFXjJ7GmDqrvDpFxkyuqHK7vsNR5OVd5emVIeQSMWPILUApQ5MiaGuf4OBae3B5JBZMaxr4QWMQ&osid=1&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin
pro-beta.upstox.com,Upstox Pro,200,4371,pro.upstox.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-13T00:00:00Z,2024-07-12T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",pro.upstox.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",711c28996221bd15dfc26552924b4b1a,e38ea7060f15b173a026c12b63b81ace30faf214944efcbae63f72b0d4a8d344,ctls,pro.upstox.com,cloudflare,443,https://pro-beta.upstox.com:443,https,cloudflare,GET,104.18.0.212,/,1733561871,2606:4700::6812:1d4,HSTS,1,False,True,text/html,,,,https://pro.upstox.com
