input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_mismatched
bluegreen.securityscorecard.io,ERROR: The request could not be satisfied,503,1019,bluegreen.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-24T23:59:59Z,CN=*.securityscorecard.io,*.securityscorecard.io,,*.securityscorecard.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d1b78878b867666e944f607eb34969e1,05e94c01233a081ef5d6e2e212f1b00e0b5ca1c4944ba26a4469bc070183f277,True,ctls,bluegreen.securityscorecard.io,cloudfront,443,https://bluegreen.securityscorecard.io:443,https,CloudFront,text/html,GET,13.224.189.19,/,1372134633,13.224.189.23,Amazon Web Services,20,False,True,,,
connect.securityscorecard.com,Security check,403,7987,support.securityscorecard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T07:51:48Z,2023-06-18T07:51:47Z,CN=support.securityscorecard.com,support.securityscorecard.com,,support.securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,010e38240488622678528f3e84941239,e11f8a78ab3c9f8fa80337169c1896ff45be14d6d9a98103c86a068d8a6ea346,,ctls,support.securityscorecard.com,cloudflare,443,https://connect.securityscorecard.com:443,https,cloudflare,text/html,GET,104.25.39.102,/,365142252,2606:4700:20::ac43:43fa,Cloudflare,103,False,True,,https://support.securityscorecard.com/hc/en-us/community/topics,
explore.securityscorecard.com,Security Ratings & Cybersecurity Risk Management | SecurityScorecard,200,377823,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T18:27:37Z,2023-08-01T18:27:36Z,CN=securityscorecard.com,securityscorecard.com,,securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a14125a6ca37011ad4bb269bd80c743d,1d5976367b3ad7ce7ec73c8040300fa835f988c4209d7ac426fbdb0d7fc1e989,,ctls,securityscorecard.com,cloudflare,443,https://explore.securityscorecard.com:443,https,cloudflare,text/html,GET,104.25.39.102,/,-1425244387,2606:4700:20::ac43:43fa,WordPress,4447,False,True,https://*.browser-intake-datadoghq.com,https://securityscorecard.com,
go.securityscorecard.com,Security Ratings & Cybersecurity Risk Management | SecurityScorecard,200,440403,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T18:27:37Z,2023-08-01T18:27:36Z,CN=securityscorecard.com,securityscorecard.com,,securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a14125a6ca37011ad4bb269bd80c743d,1d5976367b3ad7ce7ec73c8040300fa835f988c4209d7ac426fbdb0d7fc1e989,,ctls,securityscorecard.com,cloudflare,443,https://go.securityscorecard.com:443,https,cloudflare,text/html,GET,104.25.39.102,/,-1688355691,2606:4700:20::ac43:43fa,WordPress,5924,False,True,securityscorecard.pathfactory.com,https://securityscorecard.com,
https://cdn.heapanalytics.com,,200,112549,cdn.heapanalytics.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-08-27T23:59:59Z,CN=cdn.heapanalytics.com,cdn.heapanalytics.com,,cdn.heapanalytics.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1bf815c1fbe0de90adc8bbd1502cc3b5,61aaeb6d6948b891986aab6a83e6ef5d4ec06bc04c992712f550229eaccf039d,,ctls,cdn.heapanalytics.com,cloudfront,443,https://cdn.heapanalytics.com:443,https,nginx,application/javascript,GET,13.32.27.5,/,794463496,13.32.27.116,React,1,False,True,,,
https://fonts.googleapis.com/,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=upload.video.google.com,upload.video.google.com,,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f5e19b0c15918f4e4bcfa456133d1ad7,2d3b52058a876e74ebd8c6b8f539d46ff307058680fed77df5bfad75473dab9c,True,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,142.250.185.106,/,-606046040,2a00:1450:4001:80f::200a,HTTP/3,1,False,,,,
https://fonts.gstatic.com/,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,True,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,142.250.185.195,/,302920777,2a00:1450:4001:809::2003,HTTP/3,12,False,,,,
https://fullstory.com/,Build a More Perfect Digital Experience | FullStory,200,408914,www.fullstory.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T15:20:58Z,2023-08-02T15:20:57Z,CN=bionic.fullstory.com,bionic.fullstory.com,,www.thefullstory.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ee36873494e8d069f2cea0bc26dfdbe7,31713fc31dcccd6aa9add9864970c51b39980cf3c4791af385ae4391a8da9fdf,,ctls,www.fullstory.com,,443,https://fullstory.com:443,https,Netlify,text/html,GET,147.75.40.150,/,1666129026,147.75.40.150,webpack,51,False,,,https://www.fullstory.com/,
https://heapanalytics.com,Heap - Better Insights. Faster. | Heap,200,509824,www.heap.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T21:00:29Z,2023-08-05T21:00:28Z,CN=heap.io,heap.io,,www.heap.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,571c824b8b60920b5832abc8d42a765e,5bf9c0991f27b0a91399a1c162c8aa4e8b5bb45919c0bc9f418fc8dfbc789b3d,,ctls,www.heap.io,,443,https://heapanalytics.com:443,https,Netlify,text/html,GET,34.205.51.22,/,322181805,34.201.212.66,Netlify,30,False,,,https://www.heap.io/,
https://js.stripe.com/,,404,243,js.stripe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-12T00:00:00Z,2023-08-13T23:59:59Z,"CN=a.stripecdn.com, O=Stripe\, Inc, L=South San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",a.stripecdn.com,"Stripe, Inc",buy.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,4847f7c9065466a22f3357a84129e1f5,622f5ea9749dbd139aed865260e6acab8fbf2cc55fc04ec68bbb59c3b6d5fd8f,,ctls,js.stripe.com,cloudfront,443,https://js.stripe.com:443,https,Cloudfront,application/xml,GET,108.138.189.104,/,-1653093672,108.138.189.120,Amazon Web Services,2,False,True,,,
https://rs.fullstory.com,Build a More Perfect Digital Experience | FullStory,200,408914,www.fullstory.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T15:20:58Z,2023-08-02T15:20:57Z,CN=bionic.fullstory.com,bionic.fullstory.com,,www.thefullstory.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ee36873494e8d069f2cea0bc26dfdbe7,31713fc31dcccd6aa9add9864970c51b39980cf3c4791af385ae4391a8da9fdf,,ctls,www.fullstory.com,google,443,https://rs.fullstory.com:443,https,Netlify,text/html,GET,35.186.194.58,/,1016170382,35.186.194.58,webpack,51,False,True,,https://www.fullstory.com,
https://rum.browser-intake-datadoghq.com,,404,81,rum.browser-intake-datadoghq.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-21T00:00:00Z,2023-07-22T23:59:59Z,"CN=*.browser-intake-datadoghq.com, O=Datadog\, Inc., L=New York, ST=New York, C=US",*.browser-intake-datadoghq.com,"Datadog, Inc.",browser-intake-datadoghq.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0e4468e15261b02f2240132bc08c641c,4513e2f8450fd6f5b723d461d3619f0b0d7825723d64fbf29fe67b9b79b38952,True,ctls,rum.browser-intake-datadoghq.com,,443,https://rum.browser-intake-datadoghq.com:443,https,,application/json,GET,3.233.155.112,/,1077183267,2600:1f18:24e6:b902:3ad6:dbea:763c:116e,HSTS,1,False,,,,
https://s3.amazonaws.com/ssc-static/,,200,258661,s3.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-20T23:59:59Z,CN=s3.amazonaws.com,s3.amazonaws.com,,s3-deprecated.us-east-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e6c74e7bcc0a301938b7a3509ca3ace,31494611b3e6659b4e9a3af805171907756aee7e37d017bcc27104768c785fbd,True,ctls,s3.amazonaws.com,,443,https://s3.amazonaws.com:443/ssc-static/,https,AmazonS3,application/xml,GET,52.216.84.117,/ssc-static/,1136960127,54.231.196.248,Amazon Web Services,2,False,,,,
https://sentry.io,Application Performance Monitoring & Error Tracking Software | Sentry,200,327998,sentry.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-06-03T00:00:00Z,2023-07-04T23:59:59Z,"CN=sentry.io, O=Sentry, L=San Francisco, ST=California, C=US",sentry.io,Sentry,docs.getsentry.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,6b174547e8f703712daa649b8a08a4bd,de3519d9d81936d595ed94c7d2ffbda0e48bf16e4f3c4e3465091448ea8865c9,,ctls,sentry.io,google,443,https://sentry.io:443,https,nginx,text/html,GET,35.188.42.15,/,-1840324437,35.188.42.15,webpack,72,False,True,i.ytimg.com,https://sentry.io/welcome/,
https://stats.g.doubleclick.net/,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,,443,https://stats.g.doubleclick.net:443,https,sffe,text/html,GET,108.177.15.156,/,302920777,2a00:1450:400c:c0c::9c,HTTP/3,1831,False,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/,
https://www.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,,443,https://www.google-analytics.com:443,https,sffe,text/html,GET,142.250.185.142,/,302920777,2a00:1450:4001:810::200e,HTTP/3,1831,False,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/,
info.securityscorecard.com,502 Bad Gateway,502,143,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T18:27:37Z,2023-08-01T18:27:36Z,CN=securityscorecard.com,securityscorecard.com,,securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a14125a6ca37011ad4bb269bd80c743d,1d5976367b3ad7ce7ec73c8040300fa835f988c4209d7ac426fbdb0d7fc1e989,,ctls,securityscorecard.com,cloudflare,443,https://info.securityscorecard.com:443,https,cloudflare,text/html,GET,104.25.40.102,/,-1407804258,2606:4700:20::6819:2766,HSTS,8,False,True,,https://securityscorecard.com,
instant-test.securityscorecard.com,Origin DNS error | instant-test.securityscorecard.com | Cloudflare,530,6255,instant-test.securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ded773f0b3a99e8cc40106bf2287d49f,0a70d5d1e26d8aff6f8927a115888358eb9992c55da2a97cf67855241332a514,True,ctls,instant-test.securityscorecard.com,cloudflare,443,https://instant-test.securityscorecard.com:443,https,cloudflare,text/html,GET,172.67.67.250,/,-502252643,2606:4700:20::ac43:43fa,HSTS,93,False,True,,,
instant.securityscorecard.com,Instant security scorecard | SecurityScorecard,200,361515,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T18:27:37Z,2023-08-01T18:27:36Z,CN=securityscorecard.com,securityscorecard.com,,securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a14125a6ca37011ad4bb269bd80c743d,1d5976367b3ad7ce7ec73c8040300fa835f988c4209d7ac426fbdb0d7fc1e989,,ctls,securityscorecard.com,cloudflare,443,https://instant.securityscorecard.com:443,https,cloudflare,text/html,GET,172.67.67.250,/,-476454734,2606:4700:20::6819:2766,WordPress,5038,False,True,wss://*.qualified.com,https://securityscorecard.com/instant-security-scorecard/,
meet.securityscorecard.io,,204,,meet.securityscorecard.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-05T10:19:30Z,2023-07-04T10:19:29Z,CN=meet.securityscorecard.io,meet.securityscorecard.io,,meet.securityscorecard.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1d3214bf1d8d1e392f89c3ef2528a392,fe82d1b1a5e83d2f0edf5e246ac6b43a02250d4289afbea6d47f051c23e304a3,,ctls,meet.securityscorecard.io,,443,https://meet.securityscorecard.io:443,https,,,GET,52.204.250.160,/,-1840324437,54.84.201.235,HSTS,1,False,,,,
partners.securityscorecard.com,SecurityScorecard Partner Portal | Home,200,60412,partners.securityscorecard.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-09T19:48:02Z,2023-07-08T19:48:01Z,CN=partners.securityscorecard.com,partners.securityscorecard.com,,partners.securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,48c4281d69298790246360ae2fa92105,16b8968aa86b469b04659c183e1eb6563f0cdadc65a0b056d4f46bb744b225bc,,ctls,partners.securityscorecard.com,,443,https://partners.securityscorecard.com:443,https,,text/html,GET,209.170.205.126,/,1688248701,209.170.205.126,Microsoft ASP.NET,743,False,,,https://partners.securityscorecard.com/English/,
pendo-io-static.storage.googleapis.com,,403,300,pendo-io-static.storage.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:11Z,2023-07-17T12:00:10Z,CN=*.storage.googleapis.com,*.storage.googleapis.com,,*.storage-download.googleapis.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,da7852378318e50a234a6d21ec8d0161,272b97eaaaef1ba3672d55ac2b3bff137246c12d5d0b403493b997a4396ddcb5,True,ctls,pendo-io-static.storage.googleapis.com,,443,https://pendo-io-static.storage.googleapis.com:443,https,UploadServer,application/xml,GET,142.250.185.240,/,501560377,2a00:1450:4001:813::2010,HTTP/3,1,False,,,,
pendo-static-5689581948633088.storage.googleapis.com,,404,133,pendo-static-5689581948633088.storage.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:11Z,2023-07-17T12:00:10Z,CN=*.storage.googleapis.com,*.storage.googleapis.com,,*.storage-download.googleapis.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,da7852378318e50a234a6d21ec8d0161,272b97eaaaef1ba3672d55ac2b3bff137246c12d5d0b403493b997a4396ddcb5,True,ctls,pendo-static-5689581948633088.storage.googleapis.com,,443,https://pendo-static-5689581948633088.storage.googleapis.com:443,https,UploadServer,application/xml,GET,142.250.186.48,/,867864438,2a00:1450:4001:80b::2010,HTTP/3,1,False,,,,
platform-api.securityscorecard.io,Error,404,139,platform-api.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-24T23:59:59Z,CN=*.securityscorecard.io,*.securityscorecard.io,,*.securityscorecard.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d1b78878b867666e944f607eb34969e1,05e94c01233a081ef5d6e2e212f1b00e0b5ca1c4944ba26a4469bc070183f277,True,ctls,platform-api.securityscorecard.io,cloudfront,443,https://platform-api.securityscorecard.io:443,https,,text/html,GET,18.66.196.11,/,1593207841,18.66.196.88,HSTS,11,False,True,,,
platform.securityscorecard.io,SecurityScorecard,200,45424,platform.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-24T23:59:59Z,CN=*.securityscorecard.io,*.securityscorecard.io,,*.securityscorecard.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d1b78878b867666e944f607eb34969e1,05e94c01233a081ef5d6e2e212f1b00e0b5ca1c4944ba26a4469bc070183f277,True,ctls,platform.securityscorecard.io,cloudfront,443,https://platform.securityscorecard.io:443,https,AmazonS3,text/html,GET,13.249.9.39,/,1716415891,13.249.9.113,HSTS,382,False,True,https://stonly.com,,
pm-bounces.securityscorecard.io,Postmark — Email delivery for web apps,200,4374,,,,,,,,,,,,,,,,,,,,,80,http://pm-bounces.securityscorecard.io:80,http,AmazonS3,text/html,GET,138.197.30.54,/,-1457628171,138.197.30.54,Amazon Web Services,85,False,,,,
portal.team.securityscorecard.io,Sign in - Google Accounts,200,487072,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,True,ctls,accounts.google.com,,443,https://portal.team.securityscorecard.io:443,https,ESF,text/html,GET,142.250.181.243,/,1620433484,2a00:1450:4001:82f::2013,HTTP/3,124,False,,https://www.gstatic.com,https://accounts.google.com/v3/signin/identifier?dsh=S-200722612%3A1684530264070518&continue=https%3A%2F%2Fsites.google.com%2Fsecurityscorecard.io%2Fportal&followup=https%3A%2F%2Fsites.google.com%2Fsecurityscorecard.io%2Fportal&ifkv=Af_xneH4s7_DYMrlCm8PsQOzSHxhpkUErjxe-pdcPgrZt4FDy0A4CfI23_MRJavzs8eIdowCGXmH&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin,
