input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,cdn_name,cdn,final_url,csp_domains_,tls_mismatched,tls_expired
api.simulation.device.arrival.co,403 Forbidden,403,1374,api.simulation.device.arrival.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-01T00:00:00Z,2024-02-01T23:59:59Z,"CN=arrival.co, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",arrival.co,ui-kit.simulation.device.arrival.co,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2d88d5f10d521443169687fc5bcdc456,e35a82f5a93ed00afc124d3bab118c768f541a543162aaba26d3e3cf10f9837b,,ctls,api.simulation.device.arrival.co,443,https://api.simulation.device.arrival.co:443,https,cloudflare,text/html,GET,104.18.37.13,/,-1940935510,2606:4700:4400::ac40:96f3,HSTS,8,False,"Cloudflare, Inc.",cloudflare,True,,,,
api.stage.cloud.arrival.co,Sign in to Arrival,400,1789,id.integration.cloud.core.arrival.co,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-15T03:42:34Z,2023-07-14T03:42:33Z,CN=id.integration.cloud.core.arrival.co,id.integration.cloud.core.arrival.co,id.integration.cloud.core.arrival.co,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,444e27df677172ba91ee1e3a5fb8f631,2d5f9a666e4b9bdaf736099e6168612af28aff98bba34ac0d91623645e8a5904,,ctls,id.integration.cloud.core.arrival.co,443,https://api.stage.cloud.arrival.co:443,https,,text/html,GET,172.64.150.243,/,1961086022,2606:4700:4400::6812:250d,HSTS,46,False,,cloudflare,True,https://id.integration.cloud.core.arrival.co/auth/realms/Arrival/protocol/openid-connect/auth?response_type=code&client_id=api-documentation-portal&redirect_uri=https%3A%2F%2Fapi.stage.cloud.arrival.co%2F&state=10729b4d-5b38-4488-b1c9-b7dc061e4dc5&login=true&scope=openid,,,
app.dah.arrival.com,Digital Asset Hub,200,1936,app.dah.arrival.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-02-08T23:59:59Z,"CN=arrival.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",arrival.com,app.dah.arrival.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6ea1525dfce2354a934bac2002a7b3a3,8e64650de640c4bffe67fffbab2bf69f46a99a10b61afd8e13e323b2faa625fc,,ctls,app.dah.arrival.com,443,https://app.dah.arrival.com:443,https,cloudflare,text/html,GET,104.18.38.227,/,-269152450,2606:4700:4400::ac40:951d,HSTS,1,False,"Cloudflare, Inc.",cloudflare,True,,,,
arc.arrival.co,Arrival Arc,200,62711,readymag.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-16T00:00:00Z,2023-10-02T23:59:59Z,CN=*.readymag.com,*.readymag.com,readymag.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,47f5f6704fe5d9f18c17805f5479a83b,120ca5dbe92b3a871ff625760896f9aba8003652b9f9af87eefb085b9b404a30,True,ctls,readymag.com,443,https://arc.arrival.co:443,https,nginx,text/html,GET,104.18.37.13,/,1464560402,2606:4700:4400::ac40:96f3,Readymag,83,False,,cloudflare,True,https://readymag.com/u621708689/arrivalarc/,,,
arrival.com,Arrival | Zero-emission solutions,200,84174,arrival.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T00:00:00Z,2024-06-01T23:59:59Z,"CN=arrival.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",arrival.com,*.api.arrival.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4f9128fd51bb3fa667ad8f98c072d54c,b138d49c8d5aed201a1ddb4d56a35350e084854ca7e514dcd9cbc4ed19c0fa63,True,ctls,arrival.com,443,https://arrival.com:443,https,cloudflare,text/html,GET,104.18.38.227,/,-1177736415,2606:4700:4400::ac40:951d,HSTS,224,False,"Cloudflare, Inc.",cloudflare,True,,,,
astdd.cloud.arrival.com,,404,21,astdd.cloud.arrival.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T12:46:12Z,2023-08-31T12:46:11Z,CN=*.arrival.com,*.arrival.com,*.cloud.arrival.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,afd91caee3af24d8e03e40330c0d8a39,bf387630bb515b50ae4b9604f9230ae36fdc48bc5f2c08dc9c85679f9dc520af,True,ctls,astdd.cloud.arrival.com,443,https://astdd.cloud.arrival.com:443,https,nginx/1.19.1,text/plain,GET,52.18.188.118,/,-1669793162,52.215.100.35,Nginx:1.19.1,1,False,,,,,,,
auth.arrival.com,,404,21,auth.arrival.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T12:46:12Z,2023-08-31T12:46:11Z,CN=*.arrival.com,*.arrival.com,*.cloud.arrival.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,afd91caee3af24d8e03e40330c0d8a39,bf387630bb515b50ae4b9604f9230ae36fdc48bc5f2c08dc9c85679f9dc520af,True,ctls,auth.arrival.com,443,https://auth.arrival.com:443,https,nginx/1.19.1,text/plain,GET,52.18.188.118,/,-1669793162,52.215.100.35,Nginx:1.19.1,1,False,,,,,,,
auth.firstbus.device.arrival.co,Origin DNS error | auth.firstbus.device.arrival.co | Cloudflare,530,6246,auth.firstbus.device.arrival.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-16T00:00:00Z,2023-08-15T23:59:59Z,"CN=arrival.co, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",arrival.co,cloud-v2.staging-ups.device.arrival.co,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",81c73693b5d2d7f1a253f13f27c43e9c,f1ccdab9d2a793a20e1d6006e28419b8f99793444a8a203f70978de91989fa64,,ctls,auth.firstbus.device.arrival.co,443,https://auth.firstbus.device.arrival.co:443,https,cloudflare,text/html,GET,104.18.37.13,/,965532949,2606:4700:4400::ac40:96f3,Cloudflare,93,False,"Cloudflare, Inc.",cloudflare,True,,,,
auth.simulation.device.arrival.co,,404,21,auth.simulation.device.arrival.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-01T00:00:00Z,2024-02-01T23:59:59Z,"CN=arrival.co, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",arrival.co,ui-kit.simulation.device.arrival.co,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2d88d5f10d521443169687fc5bcdc456,e35a82f5a93ed00afc124d3bab118c768f541a543162aaba26d3e3cf10f9837b,,ctls,auth.simulation.device.arrival.co,443,https://auth.simulation.device.arrival.co:443,https,cloudflare,text/plain,GET,172.64.150.243,/,-1669793162,2606:4700:4400::6812:250d,HSTS,1,False,"Cloudflare, Inc.",cloudflare,True,,,,
auth.stage.cloud.arrival.co,,404,21,auth.stage.cloud.arrival.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-02-27T23:59:59Z,"CN=arrival.co, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",arrival.co,cloud-v2.stage.cloud.arrival.co,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",efa18a501b00142d02262199032c3642,3ba4c4bd97a663f4fb9b28ac5d5f178618613c05aa2aab1876c1a221ae902b1c,,ctls,auth.stage.cloud.arrival.co,443,https://auth.stage.cloud.arrival.co:443,https,cloudflare,text/plain,GET,104.18.37.13,/,-1669793162,2606:4700:4400::6812:250d,HSTS,1,False,"Cloudflare, Inc.",cloudflare,True,,,,
autodiscover.red.arrival.co,,401,,autodiscover-service.mail.eu-west-1.awsapps.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-14T23:59:59Z,CN=autodiscover-service.mail.eu-west-1.awsapps.com,autodiscover-service.mail.eu-west-1.awsapps.com,autodiscover-service.mail.eu-west-1.awsapps.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e433d3e4f05c3e7c3c4564911c3ac91f,37aa93c95eae10fd381e10acfc10aee90ffdece15a93c33684bfd939084f022f,,ctls,autodiscover-service.mail.eu-west-1.awsapps.com,80,http://autodiscover.red.arrival.co:80,http,,,GET,18.202.180.220,/,-1840324437,54.75.83.238,Basic,1,False,,,,https://autodiscover-service.mail.eu-west-1.awsapps.com:443/,,,
bamboohr.arrival.com,Sign in ・ Cloudflare Access,200,28767,arrival.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,arrival.cloudflareaccess.com,443,https://bamboohr.arrival.com:443,https,cloudflare,text/html,GET,104.18.38.227,/,-55560423,2606:4700:4400::6812:26e3,HSTS,67,False,,cloudflare,True,https://arrival.cloudflareaccess.com/cdn-cgi/access/login/arrival.cloudflareaccess.com?kid=860b81f8cbab0976e9971d87e6b32b91917b98d48d063f601dfb9e02c99f72a6&meta=eyJhbGciOiJSUzI1NiIsImtpZCI6ImNhOTJhYTAwZWI1MzQyNGU3MzliOTM3MjgwNDEwMzg0NmJhYzA3NjgxMjAxODMxNThkZWVlMzJkMmQ4Yjg5YTIifQ.eyJpYXQiOjE2ODU3MzkzNDQsImV4cCI6MTY4NTczOTY0NCwiYXVkIjoiODYwYjgxZjhjYmFiMDk3NmU5OTcxZDg3ZTZiMzJiOTE5MTdiOThkNDhkMDYzZjYwMWRmYjllMDJjOTlmNzJhNiIsInNhYXNTU09Ob25jZSI6InE1RnNFZHUzR1lQTnRiTnppWHlkcnZhb3V6SG93WVg3IiwiaXNEYXNoU1NPVGVzdCI6ZmFsc2UsInJlYWxfY291bnRyeSI6IkRFIiwiaXNfZ2F0ZXdheSI6ZmFsc2UsInR5cGUiOiJzYWFzTWV0YSIsImlzX3dhcnAiOmZhbHNlfQ.su-15OHeSAYsmtlOr2Raq0x1ginmXrGIYjRHoZcPp8FfbZ7HMNe4_4nGJ2V_oKplGYOoo0gby4w1-H08lmAC9KcJzGmod2q8eQ3lE-t4rnXNtCmT_lEEmAjLF1v7yaFGIve3G6BP0RzxOrpTTvutCh-9_Z4nsZFDIRxAfZG0gsznmKBE_bXo54F3bZCWzD_ufur9ZPWH9OzErF-iom_lGMLtbH_A9nfa6bvdq2HczGkGHQrXPYagaqx2s71i1RgSnvFPFOyHGVCcEZCemyS_dtt3Lmkn3Dw8n2Aub6OP3QNoEPf0xYFqUYeL41_C-mKGIH6_EpnEPu_YCkzlA7mCVA&redirect_url=%2F,https:,,
bandsports.cloud.arrival.com,,404,21,bandsports.cloud.arrival.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T12:46:12Z,2023-08-31T12:46:11Z,CN=*.arrival.com,*.arrival.com,*.cloud.arrival.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,afd91caee3af24d8e03e40330c0d8a39,bf387630bb515b50ae4b9604f9230ae36fdc48bc5f2c08dc9c85679f9dc520af,True,ctls,bandsports.cloud.arrival.com,443,https://bandsports.cloud.arrival.com:443,https,nginx/1.19.1,text/plain,GET,52.215.100.35,/,-1669793162,52.18.188.118,Nginx:1.19.1,1,False,,,,,,,
bff.dah.arrival.com,Error,404,1360,bff.dah.arrival.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-02-08T23:59:59Z,"CN=arrival.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",arrival.com,app.dah.arrival.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",6ea1525dfce2354a934bac2002a7b3a3,8e64650de640c4bffe67fffbab2bf69f46a99a10b61afd8e13e323b2faa625fc,,ctls,bff.dah.arrival.com,443,https://bff.dah.arrival.com:443,https,cloudflare,text/html,GET,104.18.38.227,/,1593207841,2606:4700:4400::ac40:951d,Node.js,11,False,"Cloudflare, Inc.",cloudflare,True,,,,
blog.arrival.com,Arrival | News,200,104061,arrival.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-02T00:00:00Z,2024-06-01T23:59:59Z,"CN=arrival.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",arrival.com,*.api.arrival.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4f9128fd51bb3fa667ad8f98c072d54c,b138d49c8d5aed201a1ddb4d56a35350e084854ca7e514dcd9cbc4ed19c0fa63,True,ctls,arrival.com,443,https://blog.arrival.com:443,https,cloudflare,text/html,GET,104.18.38.227,/,466104265,2606:4700:4400::ac40:951d,HSTS,181,False,"Cloudflare, Inc.",cloudflare,True,https://arrival.com/topic/news,,,
blog.cloud.arrival.com,,404,21,blog.cloud.arrival.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T12:46:12Z,2023-08-31T12:46:11Z,CN=*.arrival.com,*.arrival.com,*.cloud.arrival.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,afd91caee3af24d8e03e40330c0d8a39,bf387630bb515b50ae4b9604f9230ae36fdc48bc5f2c08dc9c85679f9dc520af,True,ctls,blog.cloud.arrival.com,443,https://blog.cloud.arrival.com:443,https,nginx/1.19.1,text/plain,GET,52.215.100.35,/,-1669793162,52.18.188.118,Nginx:1.19.1,1,False,,,,,,,
bnb.gb.in.arrival.com,Fireware XTM User Authentication,200,727,bnb.gb.in.arrival.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2021-08-30T10:59:48Z,2021-11-28T10:59:47Z,CN=in.arrival.com,in.arrival.com,in.arrival.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2b25282a37e0a38aac2244f2d6a90298,73d524b944d87b3132c2f969b667413fa06ad6a4d37f0ccb16a6236fcf6a9b8d,True,ctls,bnb.gb.in.arrival.com,443,https://bnb.gb.in.arrival.com:443,https,,text/html,GET,188.39.230.132,/,2087014467,185.152.10.99,HSTS,25,False,,,,,,True,True
bnb.vpn.arrival.com,Forbidden,403,103,bnb.vpn.arrival.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-21T06:05:16Z,2023-08-19T06:05:15Z,CN=vpn.arrival.com,vpn.arrival.com,vpn.arrival.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b755d5e6ae988f6996bbfd07b765f4d6,53149f60a748965433bfefee639224a569ec9bcef3effc9081d0ab4f0d887e3b,,ctls,bnb.vpn.arrival.com,443,https://bnb.vpn.arrival.com:443,https,nginx,text/html,GET,188.39.230.133,/,396533629,188.39.230.133,Nginx,1,False,,,,https://bnb.vpn.arrival.com/__session_start__,,True,
boundary.test.core.arrival.co,502 Bad Gateway,502,122,boundary.test.core.arrival.co,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-09-27T23:59:59Z,CN=boundary.test.core.arrival.co,boundary.test.core.arrival.co,boundary.test.core.arrival.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,53b75bfa5b1a29bdc48be611b341ca25,276a31e6ddc626da32c26c5ab5318f90ca62d04b564872e6646e3d6408aa1dea,,ctls,boundary.test.core.arrival.co,443,https://boundary.test.core.arrival.co:443,https,awselb/2.0,text/html,GET,63.34.178.118,/,590066698,52.208.131.185,,7,False,,,,,,,
calendar.arrival.com,Sign in - Google Accounts,200,1410,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-19T12:58:13Z,2023-08-11T12:58:12Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,a9b90802fa5b6e6c4195301909ae98ad,de323320be6ab0baf76489cc96737ba3816b45e3b0fedd1fd52322421615e027,,ctls,www.google.com,80,http://calendar.arrival.com:80,http,GSE,text/html,GET,142.250.186.179,/,-1829476326,2a00:1450:4001:82a::2013,OpenGSE,32,False,,,,https://www.google.com/a/arrival.com/ServiceLogin?service=cl&continue=https://calendar.google.com/calendar/&followup=https://calendar.google.com/calendar/&osid=1&passive=1209600,url=https://www.google.com/accounts/AccountChooser?hd=arrival.com&continue=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&followup=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&osid=1&service=cl,,
capmed-47-63-22.cloud.arrival.com,,404,21,capmed-47-63-22.cloud.arrival.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T12:46:12Z,2023-08-31T12:46:11Z,CN=*.arrival.com,*.arrival.com,*.cloud.arrival.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,afd91caee3af24d8e03e40330c0d8a39,bf387630bb515b50ae4b9604f9230ae36fdc48bc5f2c08dc9c85679f9dc520af,True,ctls,capmed-47-63-22.cloud.arrival.com,443,https://capmed-47-63-22.cloud.arrival.com:443,https,nginx/1.19.1,text/plain,GET,52.18.188.118,/,-1669793162,52.215.100.35,Nginx:1.19.1,1,False,,,,,,,
capmed-47-70-71.cloud.arrival.com,,404,21,capmed-47-70-71.cloud.arrival.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-02T12:46:12Z,2023-08-31T12:46:11Z,CN=*.arrival.com,*.arrival.com,*.cloud.arrival.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,afd91caee3af24d8e03e40330c0d8a39,bf387630bb515b50ae4b9604f9230ae36fdc48bc5f2c08dc9c85679f9dc520af,True,ctls,capmed-47-70-71.cloud.arrival.com,443,https://capmed-47-70-71.cloud.arrival.com:443,https,nginx/1.19.1,text/plain,GET,52.18.188.118,/,-1669793162,52.215.100.35,Nginx:1.19.1,1,False,,,,,,,
