input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,webserver,tech_,cdn_name,cdn,tls_subject_org_,final_url
155-9-203-44.dev.buffer.com,404 Not Found,404,146,155-9-203-44.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,155-9-203-44.dev.buffer.com,443,https://155-9-203-44.dev.buffer.com:443,https,text/html,GET,54.210.73.90,/,1494302000,3.208.104.154,8,False,,,,,,
155-9-226-81.dev.buffer.com,404 Not Found,404,146,155-9-226-81.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,155-9-226-81.dev.buffer.com,443,https://155-9-226-81.dev.buffer.com:443,https,text/html,GET,52.207.64.248,/,1494302000,3.208.104.154,8,False,,,,,,
155-9-240-74.dev.buffer.com,404 Not Found,404,146,155-9-240-74.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,155-9-240-74.dev.buffer.com,443,https://155-9-240-74.dev.buffer.com:443,https,text/html,GET,3.208.104.154,/,1494302000,54.163.118.235,8,False,,,,,,
155-9-241-90.dev.buffer.com,404 Not Found,404,146,155-9-241-90.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,155-9-241-90.dev.buffer.com,443,https://155-9-241-90.dev.buffer.com:443,https,text/html,GET,52.207.64.248,/,1494302000,54.163.118.235,8,False,,,,,,
155-9-56-91.dev.buffer.com,404 Not Found,404,146,155-9-56-91.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,155-9-56-91.dev.buffer.com,443,https://155-9-56-91.dev.buffer.com:443,https,text/html,GET,54.163.118.235,/,1494302000,3.208.104.154,8,False,,,,,,
155-9-56-97.dev.buffer.com,404 Not Found,404,146,155-9-56-97.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,155-9-56-97.dev.buffer.com,443,https://155-9-56-97.dev.buffer.com:443,https,text/html,GET,52.207.64.248,/,1494302000,54.210.73.90,8,False,,,,,,
155-9-71-15.dev.buffer.com,404 Not Found,404,146,155-9-71-15.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,155-9-71-15.dev.buffer.com,443,https://155-9-71-15.dev.buffer.com:443,https,text/html,GET,52.207.64.248,/,1494302000,3.208.104.154,8,False,,,,,,
155-9-71-37.dev.buffer.com,404 Not Found,404,146,155-9-71-37.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,155-9-71-37.dev.buffer.com,443,https://155-9-71-37.dev.buffer.com:443,https,text/html,GET,52.207.64.248,/,1494302000,3.208.104.154,8,False,,,,,,
155-9-72-18.dev.buffer.com,404 Not Found,404,146,155-9-72-18.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,155-9-72-18.dev.buffer.com,443,https://155-9-72-18.dev.buffer.com:443,https,text/html,GET,54.210.73.90,/,1494302000,54.163.118.235,8,False,,,,,,
155-9-77-37.dev.buffer.com,404 Not Found,404,146,155-9-77-37.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,155-9-77-37.dev.buffer.com,443,https://155-9-77-37.dev.buffer.com:443,https,text/html,GET,3.208.104.154,/,1494302000,54.210.73.90,8,False,,,,,,
158-7-251-23.dev.buffer.com,404 Not Found,404,146,158-7-251-23.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,158-7-251-23.dev.buffer.com,443,https://158-7-251-23.dev.buffer.com:443,https,text/html,GET,3.208.104.154,/,1494302000,54.210.73.90,8,False,,,,,,
158-7-252-21.dev.buffer.com,404 Not Found,404,146,158-7-252-21.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,158-7-252-21.dev.buffer.com,443,https://158-7-252-21.dev.buffer.com:443,https,text/html,GET,52.207.64.248,/,1494302000,54.210.73.90,8,False,,,,,,
16-courier2.dev.buffer.com,404 Not Found,404,146,16-courier2.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,16-courier2.dev.buffer.com,443,https://16-courier2.dev.buffer.com:443,https,text/html,GET,54.163.118.235,/,1494302000,3.208.104.154,8,False,,,,,,
17-121-112-2.dev.buffer.com,404 Not Found,404,146,17-121-112-2.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,17-121-112-2.dev.buffer.com,443,https://17-121-112-2.dev.buffer.com:443,https,text/html,GET,52.207.64.248,/,1494302000,54.163.118.235,8,False,,,,,,
17-121-112-25.dev.buffer.com,404 Not Found,404,146,17-121-112-25.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,17-121-112-25.dev.buffer.com,443,https://17-121-112-25.dev.buffer.com:443,https,text/html,GET,3.208.104.154,/,1494302000,54.210.73.90,8,False,,,,,,
17-121-112-36.dev.buffer.com,404 Not Found,404,146,17-121-112-36.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,17-121-112-36.dev.buffer.com,443,https://17-121-112-36.dev.buffer.com:443,https,text/html,GET,54.210.73.90,/,1494302000,52.207.64.248,8,False,,,,,,
17-121-112-40.dev.buffer.com,404 Not Found,404,146,17-121-112-40.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,17-121-112-40.dev.buffer.com,443,https://17-121-112-40.dev.buffer.com:443,https,text/html,GET,54.210.73.90,/,1494302000,54.163.118.235,8,False,,,,,,
17-121-112-58.dev.buffer.com,404 Not Found,404,146,17-121-112-58.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,17-121-112-58.dev.buffer.com,443,https://17-121-112-58.dev.buffer.com:443,https,text/html,GET,52.207.64.248,/,1494302000,3.208.104.154,8,False,,,,,,
17-121-114-16.dev.buffer.com,404 Not Found,404,146,17-121-114-16.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,17-121-114-16.dev.buffer.com,443,https://17-121-114-16.dev.buffer.com:443,https,text/html,GET,54.210.73.90,/,1494302000,54.163.118.235,8,False,,,,,,
17-121-114-3.dev.buffer.com,404 Not Found,404,146,17-121-114-3.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,17-121-114-3.dev.buffer.com,443,https://17-121-114-3.dev.buffer.com:443,https,text/html,GET,3.208.104.154,/,1494302000,54.210.73.90,8,False,,,,,,
17-121-114-6.dev.buffer.com,404 Not Found,404,146,17-121-114-6.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,17-121-114-6.dev.buffer.com,443,https://17-121-114-6.dev.buffer.com:443,https,text/html,GET,3.208.104.154,/,1494302000,54.210.73.90,8,False,,,,,,
17-121-114-86.dev.buffer.com,404 Not Found,404,146,17-121-114-86.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,17-121-114-86.dev.buffer.com,443,https://17-121-114-86.dev.buffer.com:443,https,text/html,GET,52.207.64.248,/,1494302000,3.208.104.154,8,False,,,,,,
17-121-114-95.dev.buffer.com,404 Not Found,404,146,17-121-114-95.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,17-121-114-95.dev.buffer.com,443,https://17-121-114-95.dev.buffer.com:443,https,text/html,GET,54.163.118.235,/,1494302000,3.208.104.154,8,False,,,,,,
17-121-115-21.dev.buffer.com,404 Not Found,404,146,17-121-115-21.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,17-121-115-21.dev.buffer.com,443,https://17-121-115-21.dev.buffer.com:443,https,text/html,GET,54.163.118.235,/,1494302000,52.207.64.248,8,False,,,,,,
17-121-115-23.dev.buffer.com,404 Not Found,404,146,17-121-115-23.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,17-121-115-23.dev.buffer.com,443,https://17-121-115-23.dev.buffer.com:443,https,text/html,GET,3.208.104.154,/,1494302000,52.207.64.248,8,False,,,,,,
17-121-115-44.dev.buffer.com,404 Not Found,404,146,17-121-115-44.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,17-121-115-44.dev.buffer.com,443,https://17-121-115-44.dev.buffer.com:443,https,text/html,GET,52.207.64.248,/,1494302000,3.208.104.154,8,False,,,,,,
17-121-116-4.dev.buffer.com,404 Not Found,404,146,17-121-116-4.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,17-121-116-4.dev.buffer.com,443,https://17-121-116-4.dev.buffer.com:443,https,text/html,GET,54.163.118.235,/,1494302000,3.208.104.154,8,False,,,,,,
17-121-116-45.dev.buffer.com,404 Not Found,404,146,17-121-116-45.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,17-121-116-45.dev.buffer.com,443,https://17-121-116-45.dev.buffer.com:443,https,text/html,GET,3.208.104.154,/,1494302000,54.163.118.235,8,False,,,,,,
17-121-116-57.dev.buffer.com,404 Not Found,404,146,17-121-116-57.dev.buffer.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-05-03T00:00:00Z,2024-05-30T23:59:59Z,CN=*.buffer.com,*.buffer.com,*.reply.buffer.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8776a0b18563b324f26256b5520e5178,95a467fa073a3dc677f7e10911e7af6497039c8c5b05748b8d5c204c601bd574,True,ctls,17-121-116-57.dev.buffer.com,443,https://17-121-116-57.dev.buffer.com:443,https,text/html,GET,54.210.73.90,/,1494302000,54.163.118.235,8,False,,,,,,
