input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,tls_expired,tls_subject_org_,final_url
firehose-sink.g2.sentiance.com,,404,19,firehose-sink.g2.sentiance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-08-09T23:59:59Z,CN=*.g2.sentiance.com,*.g2.sentiance.com,g2.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,669decd336d82c8a1c63ab5d9daecd8c,cd43d6dc2b64f9f96c311e83ef5885c8a847b1551302b9ca2343cb950bfe339c,True,ctls,firehose-sink.g2.sentiance.com,,443,https://firehose-sink.g2.sentiance.com:443,https,,text/plain,GET,52.51.238.149,/,-138391155,52.51.238.149,,2,False,,,,,,
firehose-sink.h11.sentiance.com,,404,19,firehose-sink.h11.sentiance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-01-21T00:00:00Z,2023-01-21T23:59:59Z,CN=*.h11.sentiance.com,*.h11.sentiance.com,h11.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,dbed0c2ffb891c455ad1597c785e0fb1,b1043e3f6546a03d0bd2300335746a4298ed20ef5393b91549a69baf175f015c,True,ctls,firehose-sink.h11.sentiance.com,,443,https://firehose-sink.h11.sentiance.com:443,https,,text/plain,GET,13.229.43.172,/,-138391155,13.229.43.172,,2,False,,,,True,,
firehose-sink.p9.sentiance.com,,404,19,firehose-sink.p9.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-03T00:00:00Z,2024-01-03T23:59:59Z,CN=*.p9.sentiance.com,*.p9.sentiance.com,p9.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,7f43ebeb796c3ee3e8fa9f686433cb6f,c1da609e39ddb87197247a4dc5aa588b3448381191eaa7c988ba6f49278ada96,True,ctls,firehose-sink.p9.sentiance.com,,443,https://firehose-sink.p9.sentiance.com:443,https,,text/plain,GET,3.224.116.61,/,-138391155,44.208.250.178,,2,False,,,,,,
firehose-sink.sentiance.com,,404,19,firehose-sink.sentiance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-28T23:59:59Z,CN=*.sentiance.com,*.sentiance.com,sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,ccd6dce2bca5877859d2af572403dff1,64be0d6851484273c00629fcbba90b25451b84e042ae70d0d9d17bde147c50f1,True,ctls,firehose-sink.sentiance.com,,443,https://firehose-sink.sentiance.com:443,https,,text/plain,GET,63.35.18.209,/,-138391155,63.35.18.209,,2,False,,,,,,
firehose.h11.sentiance.com,,404,105,firehose.h11.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-13T00:00:00Z,2024-01-13T23:59:59Z,CN=*.h11.sentiance.com,*.h11.sentiance.com,h11.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,6bfb0e55267365b80073ccb9777fc6ae,7000ebb59f5116b962fb59e3a8d7427251832de9fe9d821a7d8fe08386ff1dbd,True,ctls,firehose.h11.sentiance.com,,443,https://firehose.h11.sentiance.com:443,https,,application/json,GET,52.77.72.100,/,1505294202,13.213.150.222,,1,False,,,,,,
firehose.p9.sentiance.com,,404,105,firehose.p9.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-03T00:00:00Z,2024-01-03T23:59:59Z,CN=*.p9.sentiance.com,*.p9.sentiance.com,p9.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,7f43ebeb796c3ee3e8fa9f686433cb6f,c1da609e39ddb87197247a4dc5aa588b3448381191eaa7c988ba6f49278ada96,True,ctls,firehose.p9.sentiance.com,,443,https://firehose.p9.sentiance.com:443,https,,application/json,GET,18.215.23.81,/,-2139864822,3.224.116.61,,1,False,,,,,,
firehose.sentiance.com,,404,105,firehose.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-28T23:59:59Z,CN=*.sentiance.com,*.sentiance.com,sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,ccd6dce2bca5877859d2af572403dff1,64be0d6851484273c00629fcbba90b25451b84e042ae70d0d9d17bde147c50f1,True,ctls,firehose.sentiance.com,,443,https://firehose.sentiance.com:443,https,,application/json,GET,52.49.29.101,/,315845668,34.252.162.201,,1,False,,,,,,
frontend-components.sentiance.com,Sentiance Graphql V4,200,397931,frontend-components.sentiance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-28T23:59:59Z,CN=*.sentiance.com,*.sentiance.com,sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,ccd6dce2bca5877859d2af572403dff1,64be0d6851484273c00629fcbba90b25451b84e042ae70d0d9d17bde147c50f1,True,ctls,frontend-components.sentiance.com,cloudfront,443,https://frontend-components.sentiance.com:443,https,AmazonS3,text/html,GET,143.204.215.29,/,620406314,143.204.215.48,HSTS,6599,False,True,,,,,
insights.h11.sentiance.com,Insights,200,1652,insights.h11.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-13T00:00:00Z,2024-01-13T23:59:59Z,CN=*.h11.sentiance.com,*.h11.sentiance.com,h11.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,6bfb0e55267365b80073ccb9777fc6ae,7000ebb59f5116b962fb59e3a8d7427251832de9fe9d821a7d8fe08386ff1dbd,True,ctls,insights.h11.sentiance.com,,443,https://insights.h11.sentiance.com:443,https,nginx/1.20.2,text/html,GET,3.1.170.2,/,-1011005232,13.213.150.222,Nginx:1.20.2,1,False,,,*.sentiance.com,,,
insights.p9.sentiance.com,Insights,200,1209,insights.p9.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-03T00:00:00Z,2024-01-03T23:59:59Z,CN=*.p9.sentiance.com,*.p9.sentiance.com,p9.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,7f43ebeb796c3ee3e8fa9f686433cb6f,c1da609e39ddb87197247a4dc5aa588b3448381191eaa7c988ba6f49278ada96,True,ctls,insights.p9.sentiance.com,,443,https://insights.p9.sentiance.com:443,https,nginx,text/html,GET,3.224.116.61,/,273629067,18.215.23.81,Nginx,1,False,,,*.sentiance.com,,,
insights.sentiance.com,Insights,200,1652,insights.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-28T23:59:59Z,CN=*.sentiance.com,*.sentiance.com,sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,ccd6dce2bca5877859d2af572403dff1,64be0d6851484273c00629fcbba90b25451b84e042ae70d0d9d17bde147c50f1,True,ctls,insights.sentiance.com,,443,https://insights.sentiance.com:443,https,nginx/1.20.2,text/html,GET,18.200.83.152,/,231627084,52.49.29.101,Nginx:1.20.2,1,False,,,*.sentiance.com,,,
jobs.sentiance.com,Home - Sentiance,200,1018042,sentiance.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-03T08:28:44Z,2023-07-02T08:28:43Z,CN=sentiance.com,sentiance.com,www.sentiance.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,aa87af722d3b34e3b3a5d35c8f7ab520,660cabe568c1dc2d094104a258bc0cfce440a5902130d835363320eb267e4ddc,,ctls,sentiance.com,cloudflare,443,https://jobs.sentiance.com:443,https,nginx,text/html,GET,188.114.96.3,/,-1840324437,2a06:98c1:3120::3,Yoast SEO:20.7,3381,False,True,,,,,https://sentiance.com
journeys-api.sentiance.com,,404,19,journeys-api.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-02-03T23:59:59Z,CN=journeys-api.sentiance.com,journeys-api.sentiance.com,www.journeys-api.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,018a0c057338661323ad0910c31222e2,a9e0ed4017ea0b87f804387c5b62b3646bd64bb241ce886df9491b1345792149,,ctls,journeys-api.sentiance.com,,443,https://journeys-api.sentiance.com:443,https,,text/plain,GET,54.195.177.230,/,-138391155,99.80.59.43,,2,False,,,,,,
journeys-coaching-preprod.sentiance.com,,404,19,journeys-coaching-preprod.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-28T23:59:59Z,CN=*.sentiance.com,*.sentiance.com,sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,ccd6dce2bca5877859d2af572403dff1,64be0d6851484273c00629fcbba90b25451b84e042ae70d0d9d17bde147c50f1,True,ctls,journeys-coaching-preprod.sentiance.com,,443,https://journeys-coaching-preprod.sentiance.com:443,https,,text/plain,GET,54.246.206.193,/,-138391155,54.77.88.52,,2,False,,,,,,
journeys-coaching.sentiance.com,,404,19,journeys-coaching.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-28T23:59:59Z,CN=*.sentiance.com,*.sentiance.com,sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,ccd6dce2bca5877859d2af572403dff1,64be0d6851484273c00629fcbba90b25451b84e042ae70d0d9d17bde147c50f1,True,ctls,journeys-coaching.sentiance.com,,443,https://journeys-coaching.sentiance.com:443,https,,text/plain,GET,52.49.29.101,/,-138391155,18.200.83.152,,2,False,,,,,,
journeys-preprod-api.sentiance.com,,404,19,journeys-preprod-api.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-02-03T23:59:59Z,CN=journeys-preprod-api.sentiance.com,journeys-preprod-api.sentiance.com,www.journeys-preprod-api.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,42bf6c352a639e9b3c842a7bfb8de55f,159ad5d4c099ce625dbcc21eac71088fd7269f05425f3ef145cd2bbfeadeb16d,,ctls,journeys-preprod-api.sentiance.com,,443,https://journeys-preprod-api.sentiance.com:443,https,,text/plain,GET,18.202.140.41,/,-138391155,54.75.165.136,,2,False,,,,,,
preprod-firehose-sink.sentiance.com,,404,19,preprod-firehose-sink.sentiance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-08-09T23:59:59Z,CN=*.g2.sentiance.com,*.g2.sentiance.com,g2.sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,669decd336d82c8a1c63ab5d9daecd8c,cd43d6dc2b64f9f96c311e83ef5885c8a847b1551302b9ca2343cb950bfe339c,True,ctls,preprod-firehose-sink.sentiance.com,,443,https://preprod-firehose-sink.sentiance.com:443,https,,text/plain,GET,52.51.238.149,/,-138391155,52.51.238.149,,2,False,,True,,,,
preprod-firehose.sentiance.com,,404,105,preprod-firehose.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-28T23:59:59Z,CN=*.sentiance.com,*.sentiance.com,sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,ccd6dce2bca5877859d2af572403dff1,64be0d6851484273c00629fcbba90b25451b84e042ae70d0d9d17bde147c50f1,True,ctls,preprod-firehose.sentiance.com,,443,https://preprod-firehose.sentiance.com:443,https,,application/json,GET,54.77.88.52,/,-2068267210,54.72.13.65,,1,False,,,,,,
preprod-insights.sentiance.com,Insights,200,1652,preprod-insights.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-28T23:59:59Z,CN=*.sentiance.com,*.sentiance.com,sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,ccd6dce2bca5877859d2af572403dff1,64be0d6851484273c00629fcbba90b25451b84e042ae70d0d9d17bde147c50f1,True,ctls,preprod-insights.sentiance.com,,443,https://preprod-insights.sentiance.com:443,https,nginx/1.20.2,text/html,GET,54.72.13.65,/,231627084,54.77.88.52,Nginx:1.20.2,1,False,,,*.sentiance.com,,,
repository.sentiance.com,Index of /,200,359,repository.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-28T23:59:59Z,CN=*.sentiance.com,*.sentiance.com,sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,ccd6dce2bca5877859d2af572403dff1,64be0d6851484273c00629fcbba90b25451b84e042ae70d0d9d17bde147c50f1,True,ctls,repository.sentiance.com,,443,https://repository.sentiance.com:443,https,nginx,text/html,GET,34.252.162.201,/,566218143,52.49.29.101,Nginx,9,False,,,,,,
sentiance.com,Home - Sentiance,200,1018042,sentiance.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-03T08:28:44Z,2023-07-02T08:28:43Z,CN=sentiance.com,sentiance.com,www.sentiance.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,aa87af722d3b34e3b3a5d35c8f7ab520,660cabe568c1dc2d094104a258bc0cfce440a5902130d835363320eb267e4ddc,,ctls,sentiance.com,,443,https://sentiance.com:443,https,nginx,text/html,GET,5.134.4.211,/,1198047028,2a00:1c98:1000:1213:0:2:d658:a5fc,Yoast SEO:20.7,3381,False,,,,,,
staging3.sentiance.com,,526,,staging3.sentiance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T01:14:36Z,2023-08-15T01:14:35Z,CN=sentiance.com,sentiance.com,sentiance.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,09cfdd437f27ae83e4d711466d317fb5,972dff04e4814486aeb049a81d716b6280aea56ea00047430796b9d1eb7746f2,True,ctls,staging3.sentiance.com,cloudflare,443,https://staging3.sentiance.com:443,https,cloudflare,,GET,188.114.97.3,/,-1840324437,2a06:98c1:3120::3,HTTP/3,1,False,True,,,,,
tiles-integration.sentiance.com,,403,146,tiles-integration.sentiance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-28T23:59:59Z,CN=*.sentiance.com,*.sentiance.com,sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,ccd6dce2bca5877859d2af572403dff1,64be0d6851484273c00629fcbba90b25451b84e042ae70d0d9d17bde147c50f1,True,ctls,tiles-integration.sentiance.com,cloudfront,443,https://tiles-integration.sentiance.com:443,https,CloudFront,text/xml,GET,13.32.121.29,/,-13968365,13.32.121.88,Amazon Web Services,1,False,True,,,,,
tiles.sentiance.com,,403,146,tiles.sentiance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-28T23:59:59Z,CN=*.sentiance.com,*.sentiance.com,sentiance.com,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,ccd6dce2bca5877859d2af572403dff1,64be0d6851484273c00629fcbba90b25451b84e042ae70d0d9d17bde147c50f1,True,ctls,tiles.sentiance.com,cloudfront,443,https://tiles.sentiance.com:443,https,CloudFront,text/xml,GET,13.32.121.32,/,-13968365,13.32.121.24,Amazon Web Services,1,False,True,,,,,
track.sentiance.com,Log in to Mandrill,200,2935,track.sentiance.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-15T00:00:00Z,2023-12-14T23:59:59Z,"CN=mandrillapp.com, O=The Rocket Science Group LLC, L=Atlanta, ST=Georgia, C=US",mandrillapp.com,*.mandrillapp.com,"CN=Thawte RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte RSA CA 2018,DigiCert Inc,cfaa09239e5a9df19711094b3a4f24c8,941925ec72042660ad13fd678b1217ba9de12cf370ad4ce1f669b21b99f8c445,True,ctls,track.sentiance.com,,443,https://track.sentiance.com:443,https,nginx/1.12.2,text/html,GET,54.78.186.219,/,-248533138,34.241.27.172,PHP,58,False,,True,,,The Rocket Science Group LLC,https://track.sentiance.com/login/?referrer=%2F
www.staging3.sentiance.com,,520,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://www.staging3.sentiance.com:80,http,cloudflare,,GET,188.114.97.3,/,-1840324437,2a06:98c1:3121::3,HTTP/3,1,False,True,,,,,
