input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_subject_org_,tls_mismatched,final_url,csp_domains_
branding.cdn.magisto.com,,403,243,branding.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,branding.cdn.magisto.com,cloudfront,443,https://branding.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,13.32.99.75,/,-1031600784,13.32.99.104,Amazon Web Services,2,False,True,True,,,,
docs.magisto.com,Loading...,200,27577,docs.magisto.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-05-08T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",78615c9d6c3c8bae48b9804f62fcc386,47bd0ef0609e13966cc683bbd9997151c4ddf8419b7b470f40e01d3962d96eba,ctls,docs.magisto.com,cloudflare,443,https://docs.magisto.com:443,https,cloudflare,text/html,GET,104.18.18.84,/,350226215,104.18.19.84,Handlebars,670,False,True,,"Cloudflare, Inc.",,https://docs.magisto.com/v3/docs/index.html,
docs2.magisto.com,Vimeo / Something went wrong,530,5234,docs2.magisto.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-17T00:00:00Z,2024-05-15T23:59:59Z,"CN=magisto.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",magisto.com,*.vimeoent.magisto.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7f13ccde91be9a062396331594bc31c4,b36e927a59fea61b49c9b8333c3c34c4c9f401bcf6f202c74d39e5047d8ca3fd,ctls,docs2.magisto.com,cloudflare,443,https://docs2.magisto.com:443,https,cloudflare,text/html,GET,104.18.18.84,/,-1244256860,104.18.19.84,Cloudflare,31,False,True,True,"Cloudflare, Inc.",,,
feed.magisto.com,,403,243,feed.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,feed.magisto.com,cloudfront,443,https://feed.magisto.com:443,https,AmazonS3,application/xml,GET,99.86.4.22,/,1689787131,99.86.4.54,Amazon Web Services,2,False,True,True,,True,,
help.magisto.com,Security check,403,7776,help.magisto.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-25T23:39:11Z,2023-08-23T23:39:10Z,CN=help.magisto.com,help.magisto.com,help.magisto.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b90610b3b3c2aea042ddfa0779335d0b,6502ef996322539f702cf9bab95247a57db44523d48cec93c475c2f806aead08,ctls,help.magisto.com,cloudflare,443,https://help.magisto.com:443,https,cloudflare,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,Cloudflare,103,False,True,,,,https://help.magisto.com/hc/en-us,
ioslgr.magisto.com,,404,18,ioslgr.magisto.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-05-08T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c719866d4943459a08ef299065bc3669,311ebd510d7165462a5b27f7fe4b91e1b973a69bffb2c0d9b4b979ad4501b2db,ctls,ioslgr.magisto.com,cloudflare,443,https://ioslgr.magisto.com:443,https,cloudflare,application/json,GET,104.18.19.84,/,-63917700,104.18.18.84,Cloudflare Bot Management,1,False,True,,"Cloudflare, Inc.",,,
m.magisto.com,Sign in - Google Accounts,200,1333,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:25:18Z,2023-07-31T08:25:17Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,6d20e0dbb4ec708878643b98c3dab7c0,fe533bafa6d4fa380bc8b5bafade084b21264bd2601c5f581bf9730db96e6d04,ctls,www.google.com,,80,http://m.magisto.com:80,http,GSE,text/html,GET,142.250.185.115,/,-1561791208,2a00:1450:4001:80e::2013,OpenGSE,32,False,,,,,https://www.google.com/a/magisto.com/ServiceLogin?service=mail&passive=true&continue=https://mail.google.com/mail/&ss=1&ltmpl=ecobh&nui=5&btmpl=mobile&emr=1&osid=1,url=https://www.google.com/accounts/AccountChooser?hd=magisto.com&btmpl=mobile&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&osid=1&service=mail&ss=1&ltmpl=ecobh
magisto.com,Vimeo / CAPTCHA Challenge,429,10544,,,,,,,,,,,,,,,,,,,443,https://magisto.com:443,https,cloudflare,text/html,GET,18.211.87.252,/,131108,18.233.189.242,Cloudflare Bot Management,91,False,,,,,http://www.magisto.com/,
mail.magisto.com,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,80,http://mail.magisto.com:80,http,ghs,text/html,GET,142.250.185.147,/,302920777,2a00:1450:4001:827::2013,,12,False,,,,,,
medialib.cdn.magisto.com,,403,243,medialib.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,medialib.cdn.magisto.com,cloudfront,443,https://medialib.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,13.32.99.50,/,-960458533,13.32.99.27,Amazon Web Services,2,False,True,True,,,,
musiclib.cdn.magisto.com,,403,243,musiclib.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,musiclib.cdn.magisto.com,cloudfront,443,https://musiclib.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,108.138.17.111,/,612861084,108.138.17.91,Amazon Web Services,2,False,True,True,,,,
musiclib.magisto.com,,403,243,musiclib.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,musiclib.magisto.com,cloudfront,443,https://musiclib.magisto.com:443,https,AmazonS3,application/xml,GET,108.138.17.111,/,612861084,108.138.17.91,Amazon Web Services,2,False,True,True,,True,,
ntdc.magisto.com,404 Not Found,404,162,ntdc.magisto.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,ctls,ntdc.magisto.com,,443,https://ntdc.magisto.com:443,https,nginx,text/html,GET,167.89.115.120,/,190856733,167.89.123.54,Nginx,8,False,,True,,True,,
push.magisto.com,Vimeo / CAPTCHA Challenge,429,10544,,,,,,,,,,,,,,,,,,,443,https://push.magisto.com:443,https,cloudflare,text/html,GET,3.212.135.18,/,736212412,54.81.251.128,Cloudflare Bot Management,91,False,,,,,http://www.magisto.com,
res.magisto.com,,200,,res.magisto.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2022-10-19T00:00:00Z,2023-10-18T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,res.magisto.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f29bd89dcb49edfb525fd03b6e29161e,643dfc045c4949f111098f09e10ee8a623ba7e39ec32aca821aea25d803cef9b,ctls,res.magisto.com,cloudflare,443,https://res.magisto.com:443,https,cloudflare,text/html,GET,104.18.18.84,/,-1292046302,104.18.19.84,Cloudflare Bot Management,1,False,True,,"Cloudflare, Inc.",,,
res2.magisto.com,Vimeo / Something went wrong,530,5232,res2.magisto.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-17T00:00:00Z,2024-05-15T23:59:59Z,"CN=magisto.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",magisto.com,*.vimeoent.magisto.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7f13ccde91be9a062396331594bc31c4,b36e927a59fea61b49c9b8333c3c34c4c9f401bcf6f202c74d39e5047d8ca3fd,ctls,res2.magisto.com,cloudflare,443,https://res2.magisto.com:443,https,cloudflare,text/html,GET,104.18.19.84,/,805232221,104.18.18.84,Cloudflare,31,False,True,True,"Cloudflare, Inc.",,,
result-ireland.cdn.magisto.com,,403,243,result-ireland.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,result-ireland.cdn.magisto.com,cloudfront,443,https://result-ireland.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,99.86.4.50,/,1116493806,99.86.4.21,Amazon Web Services,2,False,True,True,,,,
result.cdn.magisto.com,,403,243,result.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,result.cdn.magisto.com,cloudfront,443,https://result.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,13.32.121.46,/,-638617052,13.32.121.88,Amazon Web Services,2,False,True,True,,,,
result.magisto.com,,403,243,result.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,result.magisto.com,cloudfront,443,https://result.magisto.com:443,https,AmazonS3,application/xml,GET,13.32.121.88,/,-638617052,13.32.121.8,Amazon Web Services,2,False,True,True,,True,,
result2-frankfurt.cdn.magisto.com,,403,243,result2-frankfurt.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,result2-frankfurt.cdn.magisto.com,cloudfront,443,https://result2-frankfurt.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,143.204.215.59,/,680528260,143.204.215.41,Amazon Web Services,2,False,True,True,,,,
result3-frankfurt.cdn.magisto.com,,403,243,result3-frankfurt.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,result3-frankfurt.cdn.magisto.com,cloudfront,443,https://result3-frankfurt.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,143.204.215.47,/,680528260,143.204.215.41,Amazon Web Services,2,False,True,True,,,,
result3-ireland.cdn.magisto.com,,403,243,result3-ireland.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,result3-ireland.cdn.magisto.com,cloudfront,443,https://result3-ireland.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,99.86.4.21,/,1116493806,99.86.4.28,Amazon Web Services,2,False,True,True,,,,
result3.cdn.magisto.com,,403,243,result3.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,result3.cdn.magisto.com,cloudfront,443,https://result3.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,13.32.121.91,/,-638617052,13.32.121.8,Amazon Web Services,2,False,True,True,,,,
result4-ireland.cdn.magisto.com,,403,243,result4-ireland.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,result4-ireland.cdn.magisto.com,cloudfront,443,https://result4-ireland.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,99.86.4.102,/,1116493806,99.86.4.21,Amazon Web Services,2,False,True,True,,,,
result4.cdn.magisto.com,,403,243,result4.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,result4.cdn.magisto.com,cloudfront,443,https://result4.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,13.32.121.46,/,-638617052,13.32.121.91,Amazon Web Services,2,False,True,True,,,,
source.magisto.com,,403,243,source.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-08-07T23:59:59Z,CN=*.magisto.com,*.magisto.com,*.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,37f5021ee96715bb61a90b0cac30f26c,25aa40a0618f533f684cdaec908a711550680d1be1426369e4da33834b09966b,ctls,source.magisto.com,cloudfront,443,https://source.magisto.com:443,https,AmazonS3,application/xml,GET,143.204.215.69,/,1684451408,143.204.215.27,Amazon Web Services,2,False,True,True,,,,
source1.cdn.magisto.com,,403,243,source1.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,source1.cdn.magisto.com,cloudfront,443,https://source1.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,13.32.99.32,/,-72113613,13.32.99.75,Amazon Web Services,2,False,True,True,,,,
source1.magisto.com,,403,243,source1.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-08-07T23:59:59Z,CN=*.magisto.com,*.magisto.com,*.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,37f5021ee96715bb61a90b0cac30f26c,25aa40a0618f533f684cdaec908a711550680d1be1426369e4da33834b09966b,ctls,source1.magisto.com,cloudfront,443,https://source1.magisto.com:443,https,AmazonS3,application/xml,GET,13.224.189.90,/,-806537708,13.224.189.3,Amazon Web Services,2,False,True,True,,,,
source3.cdn.magisto.com,,403,243,source3.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-07T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,233b4f234427f020ab0999a2f95d392b,563dd0971db272c980961cdaf5cfb5dddc2bdd3aade6565de8fee7fa801cc909,ctls,source3.cdn.magisto.com,cloudfront,443,https://source3.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,18.66.122.60,/,-547052446,18.66.122.10,Amazon Web Services,2,False,True,True,,,,
