input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_mismatched,final_url,csp_domains_
docs.magisto.com,Loading...,200,27577,docs.magisto.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-05-08T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",78615c9d6c3c8bae48b9804f62fcc386,47bd0ef0609e13966cc683bbd9997151c4ddf8419b7b470f40e01d3962d96eba,,ctls,docs.magisto.com,cloudflare,443,https://docs.magisto.com:443,https,cloudflare,text/html,GET,104.18.19.84,/,-1044317550,104.18.18.84,Handlebars,670,False,True,"Cloudflare, Inc.",,https://docs.magisto.com/v3/docs/index.html,
feed.cdn.magisto.com,,403,243,feed.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,feed.cdn.magisto.com,cloudfront,443,https://feed.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,99.86.4.13,/,-925617559,99.86.4.54,Amazon Web Services,2,False,True,,,,
feed.magisto.com,,403,243,feed.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,feed.magisto.com,cloudfront,443,https://feed.magisto.com:443,https,AmazonS3,application/xml,GET,99.86.4.54,/,-925617559,99.86.4.13,Amazon Web Services,2,False,True,,True,,
help.magisto.com,Security check,403,7315,help.magisto.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-25T23:39:11Z,2023-08-23T23:39:10Z,CN=help.magisto.com,help.magisto.com,help.magisto.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b90610b3b3c2aea042ddfa0779335d0b,6502ef996322539f702cf9bab95247a57db44523d48cec93c475c2f806aead08,,ctls,help.magisto.com,cloudflare,443,https://help.magisto.com:443,https,cloudflare,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,Cloudflare,98,False,True,,,https://help.magisto.com/hc/en-us,
ioslgr.magisto.com,,404,18,ioslgr.magisto.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-05-08T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c719866d4943459a08ef299065bc3669,311ebd510d7165462a5b27f7fe4b91e1b973a69bffb2c0d9b4b979ad4501b2db,,ctls,ioslgr.magisto.com,cloudflare,443,https://ioslgr.magisto.com:443,https,cloudflare,application/json,GET,104.18.18.84,/,1365286151,104.18.19.84,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",,,
m.magisto.com,Sign in - Google Accounts,200,1339,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T08:24:30Z,2023-09-25T08:24:29Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,90c1776d1b7ef241c50aad84716d534d,2504ea6baf835e94400e327c00399d37238fcd5b969d65932f72ec3e63b9f51c,,ctls,www.google.com,,80,http://m.magisto.com:80,http,GSE,text/html,GET,142.250.74.211,/,168145736,2a00:1450:4001:829::2013,OpenGSE,32,False,,,,https://www.google.com/a/magisto.com/ServiceLogin?service=mail&passive=true&continue=https://mail.google.com/mail/&ss=1&ltmpl=ecobhgm&nui=5&btmpl=mobile&emr=1&osid=1,url=https://www.google.com/accounts/AccountChooser?hd=magisto.com&btmpl=mobile&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&osid=1&service=mail&ss=1&ltmpl=ecobhgm
magisto.com,Vimeo / CAPTCHA Challenge,429,10106,,,,,,,,,,,,,,,,,,,,443,https://magisto.com:443,https,cloudflare,text/html,GET,18.204.159.204,/,431157349,44.207.162.114,Cloudflare Bot Management,86,False,,,,http://www.magisto.com/,
mail.magisto.com,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,,80,http://mail.magisto.com:80,http,ghs,text/html,GET,172.217.23.115,/,302920777,2a00:1450:4001:80f::2013,,12,False,,,,,
musiclib.cdn.magisto.com,,403,243,musiclib.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,musiclib.cdn.magisto.com,cloudfront,443,https://musiclib.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,108.138.17.32,/,-1976196472,108.138.17.111,Amazon Web Services,2,False,True,,,,
musiclib.magisto.com,,403,243,musiclib.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,musiclib.magisto.com,cloudfront,443,https://musiclib.magisto.com:443,https,AmazonS3,application/xml,GET,108.138.17.32,/,-1976196472,108.138.17.98,Amazon Web Services,2,False,True,,True,,
ntdc.magisto.com,404 Not Found,404,162,ntdc.magisto.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,ntdc.magisto.com,,443,https://ntdc.magisto.com:443,https,nginx,text/html,GET,167.89.115.120,/,190856733,167.89.118.52,Nginx,8,False,,,True,,
premium.cdn.magisto.com,,403,243,premium.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,premium.cdn.magisto.com,cloudfront,443,https://premium.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,108.138.17.69,/,-2128775366,108.138.17.19,Amazon Web Services,2,False,True,,,,
res.magisto.com,,200,,res.magisto.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2022-10-19T00:00:00Z,2023-10-18T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,res.magisto.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f29bd89dcb49edfb525fd03b6e29161e,643dfc045c4949f111098f09e10ee8a623ba7e39ec32aca821aea25d803cef9b,,ctls,res.magisto.com,cloudflare,443,https://res.magisto.com:443,https,cloudflare,text/html,GET,104.18.18.84,/,-1292046302,104.18.19.84,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",,,
res2.magisto.com,Vimeo / Something went wrong,530,5231,res2.magisto.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-17T00:00:00Z,2024-05-15T23:59:59Z,"CN=magisto.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",magisto.com,*.vimeoent.magisto.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",7f13ccde91be9a062396331594bc31c4,b36e927a59fea61b49c9b8333c3c34c4c9f401bcf6f202c74d39e5047d8ca3fd,True,ctls,res2.magisto.com,cloudflare,443,https://res2.magisto.com:443,https,cloudflare,text/html,GET,104.18.18.84,/,728331998,104.18.19.84,Cloudflare,31,False,True,"Cloudflare, Inc.",,,
result-frankfurt.cdn.magisto.com,,403,243,result-frankfurt.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,result-frankfurt.cdn.magisto.com,cloudfront,443,https://result-frankfurt.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,143.204.215.59,/,689002820,143.204.215.47,Amazon Web Services,2,False,True,,,,
result.cdn.magisto.com,,403,243,result.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,result.cdn.magisto.com,cloudfront,443,https://result.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,13.32.121.91,/,2145593062,13.32.121.88,Amazon Web Services,2,False,True,,,,
result.magisto.com,,403,243,result.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,result.magisto.com,cloudfront,443,https://result.magisto.com:443,https,AmazonS3,application/xml,GET,13.32.121.8,/,2145593062,13.32.121.46,Amazon Web Services,2,False,True,,True,,
result2-frankfurt.cdn.magisto.com,,403,243,result2-frankfurt.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,result2-frankfurt.cdn.magisto.com,cloudfront,443,https://result2-frankfurt.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,143.204.215.47,/,-1594067059,143.204.215.17,Amazon Web Services,2,False,True,,,,
result2-ireland.cdn.magisto.com,,403,243,result2-ireland.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,result2-ireland.cdn.magisto.com,cloudfront,443,https://result2-ireland.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,99.86.4.102,/,-729314517,99.86.4.21,Amazon Web Services,2,False,True,,,,
result2.cdn.magisto.com,,403,243,result2.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,result2.cdn.magisto.com,cloudfront,443,https://result2.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,13.32.121.88,/,2145593062,13.32.121.91,Amazon Web Services,2,False,True,,,,
result3-ireland.cdn.magisto.com,,403,243,result3-ireland.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,result3-ireland.cdn.magisto.com,cloudfront,443,https://result3-ireland.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,99.86.4.102,/,-729314517,99.86.4.50,Amazon Web Services,2,False,True,,,,
result4-frankfurt.cdn.magisto.com,,403,243,result4-frankfurt.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,result4-frankfurt.cdn.magisto.com,cloudfront,443,https://result4-frankfurt.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,143.204.215.17,/,-148287706,143.204.215.59,Amazon Web Services,2,False,True,,,,
result4-ireland.cdn.magisto.com,,403,243,result4-ireland.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,result4-ireland.cdn.magisto.com,cloudfront,443,https://result4-ireland.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,99.86.4.28,/,-729314517,99.86.4.21,Amazon Web Services,2,False,True,,,,
result4.cdn.magisto.com,,403,243,result4.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,result4.cdn.magisto.com,cloudfront,443,https://result4.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,13.32.121.46,/,2145593062,13.32.121.88,Amazon Web Services,2,False,True,,,,
source.cdn.magisto.com,,403,243,source.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,source.cdn.magisto.com,cloudfront,443,https://source.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,143.204.215.30,/,-1693073734,143.204.215.76,Amazon Web Services,2,False,True,,,,
source1.magisto.com,,403,243,source1.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.magisto.com,*.magisto.com,*.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,753583293a85aa74f5c91fead3fe17e5,72f770de8d179c46e97ce1eb9c739c15088675003f3774f8e8dd69690dbc03ca,True,ctls,source1.magisto.com,cloudfront,443,https://source1.magisto.com:443,https,AmazonS3,application/xml,GET,13.224.189.128,/,1929814269,13.224.189.105,Amazon Web Services,2,False,True,,,,
source2.cdn.magisto.com,,403,243,source2.cdn.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.cdn.magisto.com,*.cdn.magisto.com,*.cdn.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f041644c03d31ce04c9f4609ed64d635,6be05f73b48b4c9ddeb966857e83f1a815b0dbed5913cf9a09551d0a7cc9fabc,True,ctls,source2.cdn.magisto.com,cloudfront,443,https://source2.cdn.magisto.com:443,https,AmazonS3,application/xml,GET,13.32.121.23,/,1864951317,13.32.121.75,Amazon Web Services,2,False,True,,,,
source2.magisto.com,,403,243,source2.magisto.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T00:00:00Z,2024-07-22T23:59:59Z,CN=*.magisto.com,*.magisto.com,*.magisto.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,753583293a85aa74f5c91fead3fe17e5,72f770de8d179c46e97ce1eb9c739c15088675003f3774f8e8dd69690dbc03ca,True,ctls,source2.magisto.com,cloudfront,443,https://source2.magisto.com:443,https,AmazonS3,application/xml,GET,143.204.215.82,/,-647665559,143.204.215.42,Amazon Web Services,2,False,True,,,,
