input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,csp_domains_,tls_wildcard_certificate,final_url,cdn_name,cdn,tls_expired
apauc1-cih.dm1-apau.informaticacloud.com,,200,124,apauc1-cih.dm1-apau.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-01-30T14:36:12Z,2024-02-24T14:35:12Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apauc1-ias.dm1-apau.informaticacloud.com",apauc1-ias.dm1-apau.informaticacloud.com,Informatica LLC,apauc1-b2bgw.dm1-apau.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,23b1254f63784aa816ef42f1c7fbb7e2,4b2f9741a42345dc8e94562cf6fe3359a76b0c0bc5ff1b30a845e01496e562c7,ctls,apauc1-cih.dm1-apau.informaticacloud.com,443,https://apauc1-cih.dm1-apau.informaticacloud.com:443,https,unknown,text/html,GET,20.70.0.91,/,1793249149,20.70.0.91,8,False,,URL=/dih-console/login.jsp,,,,,
apauc1-dqcloud.dm1-apau.informaticacloud.com,,503,107,apauc1-dqcloud.dm1-apau.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-07T14:40:04Z,2024-03-03T14:39:04Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apauc1-dqcloud.dm1-apau.informaticacloud.com",apauc1-dqcloud.dm1-apau.informaticacloud.com,Informatica LLC,apauc1-dqcloud.dm1-apau.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,750a7d98c3114a5298051df70f40637f,91a8bcdc2270bd6e379ccfcc933a46f5f1f8e55046337630a691cd07ab09a424,ctls,apauc1-dqcloud.dm1-apau.informaticacloud.com,443,https://apauc1-dqcloud.dm1-apau.informaticacloud.com:443,https,,text/html,GET,20.213.233.1,/,-1654418437,20.213.233.1,4,False,,,,,,,
apauc1-dqprofile.dm1-apau.informaticacloud.com,,503,107,apauc1-dqprofile.dm1-apau.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-07T14:40:27Z,2024-03-03T14:39:27Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apauc1-dqprofile.dm1-apau.informaticacloud.com",apauc1-dqprofile.dm1-apau.informaticacloud.com,Informatica LLC,apauc1-dqprofile.dm1-apau.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,04f0f718bc5370f761362efe52559635,bf8a872a2c23357e896bd90147b1957656f84c3e04c60e9d92590e0826695d2a,ctls,apauc1-dqprofile.dm1-apau.informaticacloud.com,443,https://apauc1-dqprofile.dm1-apau.informaticacloud.com:443,https,,text/html,GET,20.213.233.6,/,-1654418437,20.213.233.6,4,False,,,,,,,
apauc1-ias.dm1-apau.informaticacloud.com,,503,107,apauc1-ias.dm1-apau.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2023-01-30T14:36:12Z,2024-02-24T14:35:12Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apauc1-ias.dm1-apau.informaticacloud.com",apauc1-ias.dm1-apau.informaticacloud.com,Informatica LLC,apauc1-b2bgw.dm1-apau.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,23b1254f63784aa816ef42f1c7fbb7e2,4b2f9741a42345dc8e94562cf6fe3359a76b0c0bc5ff1b30a845e01496e562c7,ctls,apauc1-ias.dm1-apau.informaticacloud.com,443,https://apauc1-ias.dm1-apau.informaticacloud.com:443,https,,text/html,GET,20.70.0.230,/,-1654418437,20.70.0.230,4,False,,,,,,,
apauc1-ing.dm1-apau.informaticacloud.com,,404,,apauc1-ing.dm1-apau.informaticacloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-30T14:36:12Z,2024-02-24T14:35:12Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apauc1-ias.dm1-apau.informaticacloud.com",apauc1-ias.dm1-apau.informaticacloud.com,Informatica LLC,apauc1-b2bgw.dm1-apau.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,23b1254f63784aa816ef42f1c7fbb7e2,4b2f9741a42345dc8e94562cf6fe3359a76b0c0bc5ff1b30a845e01496e562c7,ctls,apauc1-ing.dm1-apau.informaticacloud.com,443,https://apauc1-ing.dm1-apau.informaticacloud.com:443,https,,,GET,20.70.26.70,/,-1840324437,20.70.26.70,1,False,,,,,,,
apauc1-opsinsights.dm1-apau.informaticacloud.com,,404,,apauc1-opsinsights.dm1-apau.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-22T06:44:09Z,2024-03-18T06:43:09Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apauc1-opsinsights.dm1-apau.informaticacloud.com",apauc1-opsinsights.dm1-apau.informaticacloud.com,Informatica LLC,apauc1-opsinsights.dm1-apau.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,d1a70f3b3a810fc1401b5eb7293fbf73,e3f9f1b2813ad99f0d8d6acf4eb262f7cddd42ce88f01c53922125125116c789,ctls,apauc1-opsinsights.dm1-apau.informaticacloud.com,443,https://apauc1-opsinsights.dm1-apau.informaticacloud.com:443,https,istio-envoy,,GET,20.37.8.222,/,-1840324437,20.37.8.222,1,False,,,,,azure,True,
apauc1-sfdc-cai.dm1-apau.informaticacloud.com,HTTP Status 404 – Not Found,404,653,apauc1-sfdc-cai.dm1-apau.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2023-02-06T04:20:12Z,2024-03-02T04:19:12Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apauc1-cai.dm1-apau.informaticacloud.com",apauc1-cai.dm1-apau.informaticacloud.com,Informatica LLC,apauc1-sfdc-cai.dm1-apau.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,857913aa325ed71634f6497f7b94ca05,917dfdbeb8acb852c87aa704773e2482c97842e7bea67a32ed0a3db7f4e65c26,ctls,apauc1-sfdc-cai.dm1-apau.informaticacloud.com,443,https://apauc1-sfdc-cai.dm1-apau.informaticacloud.com:443,https,,text/html,GET,20.70.10.85,/,-429556307,20.70.10.85,1,False,HSTS,,,,,,
apauc1.dm1-apau.informaticacloud.com,,503,107,apauc1.dm1-apau.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2023-01-20T11:29:53Z,2024-02-14T11:28:53Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=dm1-apau.informaticacloud.com",dm1-apau.informaticacloud.com,Informatica LLC,content.dm1-apau.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,4ce581173c99602704b1a0a2066ac0fa,577cfc3973d877e2195a2677098ad2b279ef3cab21616695620ff77b4bc3f6c6,ctls,apauc1.dm1-apau.informaticacloud.com,443,https://apauc1.dm1-apau.informaticacloud.com:443,https,,text/html,GET,20.70.26.25,/,-679384095,20.70.26.25,4,False,,,,,,,
apigw-pod1.dm-us.informaticacloud.com,,200,302,apigw-pod1.dm-us.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-10-31T16:32:04Z,2023-11-25T16:31:04Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apim-pod1.dm-us.informaticacloud.com",apim-pod1.dm-us.informaticacloud.com,Informatica LLC,apigw-pod1.dm-us.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,0554f94d9887cba95815b23683202412,0d1f750ea17bb6dd1567799ab483dd269bb11853af3cc518b7f256c3766b7df3,ctls,apigw-pod1.dm-us.informaticacloud.com,443,https://apigw-pod1.dm-us.informaticacloud.com:443,https,,text/html,GET,52.89.4.77,/,-1655234758,54.201.53.101,1,False,,,,,,,
apigw-pod2.dm-us.informaticacloud.com,,200,302,apigw-pod2.dm-us.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-01-24T12:43:53Z,2024-02-18T12:42:53Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apim-pod2.dm-us.informaticacloud.com",apim-pod2.dm-us.informaticacloud.com,Informatica LLC,apigw-pod2.dm-us.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,cb8367fc9fa1257fc2bb770948c4b64f,743f44965eafb94e870882fd6c9fe4ba4c7943b32514fcfaf4d455d3a37e595f,ctls,apigw-pod2.dm-us.informaticacloud.com,443,https://apigw-pod2.dm-us.informaticacloud.com:443,https,,text/html,GET,54.85.118.63,/,-1655234758,54.165.213.114,1,False,,,,,,,
apigw.informaticacloud.com,,200,302,apigw.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2022-10-31T16:34:38Z,2023-11-25T16:33:38Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=use4-apim.dm-us.informaticacloud.com",use4-apim.dm-us.informaticacloud.com,Informatica LLC,use4-apigw.dm-us.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,f0749142a3f1fa0221c59224992f74e1,318ea1a357937d19e8c15c2cd8681735bde9677b133b9c7bd02504a76294beb0,ctls,apigw.informaticacloud.com,443,https://apigw.informaticacloud.com:443,https,,text/html,GET,52.206.101.207,/,-1655234758,18.235.213.78,1,False,,,,,,,
apim-pod1.dm-us.informaticacloud.com,HTTP Status 404 – Not Found,404,431,apim-pod1.dm-us.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-10-31T16:32:04Z,2023-11-25T16:31:04Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apim-pod1.dm-us.informaticacloud.com",apim-pod1.dm-us.informaticacloud.com,Informatica LLC,apigw-pod1.dm-us.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,0554f94d9887cba95815b23683202412,0d1f750ea17bb6dd1567799ab483dd269bb11853af3cc518b7f256c3766b7df3,ctls,apim-pod1.dm-us.informaticacloud.com,443,https://apim-pod1.dm-us.informaticacloud.com:443,https,apimgm,text/html,GET,52.10.79.11,/,-230353730,44.241.101.53,1,False,,,,,,,
apim-pod2.dm-us.informaticacloud.com,HTTP Status 404 – Not Found,404,431,apim-pod2.dm-us.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-01-24T12:43:53Z,2024-02-18T12:42:53Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apim-pod2.dm-us.informaticacloud.com",apim-pod2.dm-us.informaticacloud.com,Informatica LLC,apigw-pod2.dm-us.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,cb8367fc9fa1257fc2bb770948c4b64f,743f44965eafb94e870882fd6c9fe4ba4c7943b32514fcfaf4d455d3a37e595f,ctls,apim-pod2.dm-us.informaticacloud.com,443,https://apim-pod2.dm-us.informaticacloud.com:443,https,apimgm,text/html,GET,54.91.105.2,/,-230353730,18.213.180.25,1,False,,,,,,,
apiregistry.informaticacloud.com,,404,,apiregistry.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-10-11T05:26:02Z,2023-11-05T05:25:02Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=na1.ai.dm-us.informaticacloud.com",na1.ai.dm-us.informaticacloud.com,Informatica LLC,na1.sfdc-ai.dm-us.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,a2c7c7c3a55c3cf49acdec9a8a47c79e,e008313f9a6c6753ad871815ec079a56abe797f4a24473bcacdbd744606dc524,ctls,apiregistry.informaticacloud.com,443,https://apiregistry.informaticacloud.com:443,https,istio-envoy,,GET,52.24.208.187,/,-1840324437,54.201.85.98,1,False,,,,,,,
apne1-apigw.dm1-ap.informaticacloud.com,,200,302,apne1-apigw.dm1-ap.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-12-13T06:01:30Z,2024-01-07T06:00:30Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apne1-apim.dm1-ap.informaticacloud.com",apne1-apim.dm1-ap.informaticacloud.com,Informatica LLC,apne1-apigw.dm1-ap.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,0329c9e6dc0edcf8b11b8e94958fc7c1,9d8f12fc6b5a7b18d93f7071cd344ec48a97f76c9afd4b2d851d3e313902afbf,ctls,apne1-apigw.dm1-ap.informaticacloud.com,443,https://apne1-apigw.dm1-ap.informaticacloud.com:443,https,,text/html,GET,20.44.136.108,/,-1655234758,20.44.136.108,1,False,,,,,azure,True,
apne1-apim.dm1-ap.informaticacloud.com,HTTP Status 404 – Not Found,404,431,apne1-apim.dm1-ap.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-12-13T06:01:30Z,2024-01-07T06:00:30Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apne1-apim.dm1-ap.informaticacloud.com",apne1-apim.dm1-ap.informaticacloud.com,Informatica LLC,apne1-apigw.dm1-ap.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,0329c9e6dc0edcf8b11b8e94958fc7c1,9d8f12fc6b5a7b18d93f7071cd344ec48a97f76c9afd4b2d851d3e313902afbf,ctls,apne1-apim.dm1-ap.informaticacloud.com,443,https://apne1-apim.dm1-ap.informaticacloud.com:443,https,apimgm,text/html,GET,20.44.128.144,/,-230353730,20.44.128.144,1,False,,,,,azure,True,
apne1-b2bgw.dm1-ap.informaticacloud.com,,200,126,apne1-b2bgw.dm1-ap.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-08-16T05:08:04Z,2023-08-16T05:18:00Z,"CN=apne1.dm1-ap.informaticacloud.com, O=Informatica LLC, L=Redwood City, ST=California, C=US",apne1.dm1-ap.informaticacloud.com,Informatica LLC,cdig.dm1-ap.informaticacloud.com,"CN=HydrantID SSL CA G3, O=HydrantID (Avalanche Cloud Corporation), C=US",HydrantID SSL CA G3,HydrantID (Avalanche Cloud Corporation),3e012f45d37af05d7e3210571bc5bae2,f67b2ce56422e2cd5d8ae0504f0b127b481edd0e9999e381c469ea0bcb0ca1e2,ctls,apne1-b2bgw.dm1-ap.informaticacloud.com,443,https://apne1-b2bgw.dm1-ap.informaticacloud.com:443,https,unknown,text/html,GET,20.48.84.91,/,1788855989,20.48.84.91,8,False,,URL=/b2b-gw/login.jsp,,,azure,True,
apne1-cai.dm1-ap.informaticacloud.com,HTTP Status 404 – Not Found,404,653,apne1-cai.dm1-ap.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2022-10-23T01:27:21Z,2023-11-17T01:26:21Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apne1-cai.dm1-ap.informaticacloud.com",apne1-cai.dm1-ap.informaticacloud.com,Informatica LLC,apne1-sfdc-cai.dm1-ap.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,61bde17d8bfcef594d36f3f2617cb651,b3f20e5a0b492dcb1dde935df3bfc7c310821eb22695df371ba92666228deb03,ctls,apne1-cai.dm1-ap.informaticacloud.com,443,https://apne1-cai.dm1-ap.informaticacloud.com:443,https,,text/html,GET,20.43.88.63,/,-429556307,20.43.88.63,1,False,HSTS,,,,azure,True,
apne1-cih.dm1-ap.informaticacloud.com,,200,124,apne1-cih.dm1-ap.informaticacloud.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-23T05:55:47Z,2024-03-19T05:54:47Z,"C=US, ST=California, L=Redwood City, O=Informatica LLC, CN=apne1.dm1-ap.informaticacloud.com",apne1.dm1-ap.informaticacloud.com,Informatica LLC,apne1-b2bgw.dm1-ap.informaticacloud.com,"CN=HydrantID Server CA O1, OU=HydrantID Trusted Certificate Service, O=IdenTrust, C=US",HydrantID Server CA O1,IdenTrust,e285698a58646a4d9c3b39fb97389ea7,4ce338cf8accd9694049e0e58ae3bd4b6bd7a04e559d7fb3ce726d703f035f9c,ctls,apne1-cih.dm1-ap.informaticacloud.com,443,https://apne1-cih.dm1-ap.informaticacloud.com:443,https,unknown,text/html,GET,20.44.170.244,/,1793249149,20.44.170.244,8,False,,URL=/dih-console/login.jsp,,,azure,True,
